dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,5.166500,0.000029,0.005714,0.571429,57.142857,0.000000
0.010000,0.000000,5.166500,0.000029,0.000000,-0.571429,-114.285714,0.000000
0.010000,0.000250,5.166500,0.000279,0.025000,2.500000,307.142857,0.000000
0.010000,0.000707,5.166500,0.000736,0.045714,2.071429,-42.857143,0.000000
0.010000,0.001421,5.166500,0.001450,0.071429,2.571429,50.000000,0.000000
0.010000,0.002450,5.166500,0.002479,0.102857,3.142857,57.142857,0.000000
0.010000,0.003850,5.166500,0.003879,0.140000,3.714286,57.142857,0.000000
0.010000,0.005679,5.166500,0.005707,0.182857,4.285714,57.142857,0.000000
0.010000,0.007993,5.166500,0.008021,0.231429,4.857143,57.142857,0.000000
0.010000,0.010850,5.166500,0.010879,0.285714,5.428571,57.142857,0.000000
0.010000,0.014307,5.166500,0.014336,0.345714,6.000000,57.142857,0.000000
0.010000,0.018421,5.166500,0.018450,0.411429,6.571429,57.142857,0.000000
0.010000,0.023250,5.166500,0.023279,0.482857,7.142857,57.142857,0.000000
0.010000,0.028850,5.166500,0.028879,0.560000,7.714286,57.142857,0.000000
0.010000,0.035250,5.166500,0.035279,0.640000,8.000000,28.571429,0.000000
0.010000,0.042450,5.166500,0.042479,0.720000,8.000000,0.000000,0.000000
0.010000,0.050450,5.166500,0.050479,0.800000,8.000000,-0.000000,0.000000
0.010000,0.059250,5.166500,0.059279,0.880000,8.000000,0.000000,0.000000
0.010000,0.068850,5.166500,0.068879,0.960000,8.000000,0.000000,0.000000
0.010000,0.079250,5.166500,0.079279,1.040000,8.000000,-0.000000,0.000000
0.010000,0.090450,5.166500,0.090479,1.120000,8.000000,-0.000000,0.000000
0.010000,0.102450,5.166500,0.102479,1.200000,8.000000,0.000000,0.000000
0.010000,0.115250,5.166500,0.115279,1.280000,8.000000,0.000000,0.000000
0.010000,0.128850,5.166500,0.128879,1.360000,8.000000,-0.000000,0.000000
0.010000,0.143250,5.166500,0.143279,1.440000,8.000000,0.000000,0.000000
0.010000,0.158450,5.166500,0.158479,1.520000,8.000000,-0.000000,0.000000
0.010000,0.174450,5.166500,0.174479,1.600000,8.000000,0.000000,0.000000
0.010000,0.191250,5.166500,0.191279,1.680000,8.000000,-0.000000,0.000000
0.010000,0.208850,5.166500,0.208879,1.760000,8.000000,-0.000000,0.000000
0.010000,0.227250,5.166500,0.227279,1.840000,8.000000,0.000000,0.000000
0.010000,0.246450,5.166500,0.246479,1.920000,8.000000,-0.000000,0.000000
0.010000,0.266450,5.166500,0.266479,2.000000,8.000000,0.000000,0.000000
0.010000,0.287250,5.166500,0.287279,2.080000,8.000000,0.000000,0.000000
0.010000,0.308850,5.166500,0.308879,2.160000,8.000000,-0.000000,0.000000
0.010000,0.331250,5.166500,0.331279,2.240000,8.000000,0.000000,0.000000
0.010000,0.354450,5.166500,0.354479,2.320000,8.000000,0.000000,0.000000
0.010000,0.378450,5.166500,0.378479,2.400000,8.000000,0.000000,0.000000
0.010000,0.403250,5.166500,0.403279,2.480000,8.000000,0.000000,0.000000
0.010000,0.428850,5.166500,0.428879,2.560000,8.000000,-0.000000,0.000000
0.010000,0.455250,5.166500,0.455279,2.640000,8.000000,-0.000000,0.000000
0.010000,0.482450,5.166500,0.482479,2.720000,8.000000,-0.000000,0.000000
0.010000,0.510450,5.166500,0.510479,2.800000,8.000000,-0.000000,0.000000
0.010000,0.539250,5.166500,0.539279,2.880000,8.000000,0.000000,0.000000
0.010000,0.568850,5.166500,0.568879,2.960000,8.000000,-0.000000,0.000000
0.010000,0.599250,5.166500,0.599279,3.040000,8.000000,0.000000,0.000000
0.010000,0.630450,5.166500,0.630479,3.120000,8.000000,0.000000,0.000000
0.010000,0.662450,5.166500,0.662479,3.200000,8.000000,0.000000,0.000000
0.010000,0.695250,5.166500,0.695279,3.280000,8.000000,-0.000000,0.000000
0.010000,0.728850,5.166500,0.728879,3.360000,8.000000,0.000000,0.000000
0.010000,0.763250,5.166500,0.763279,3.440000,8.000000,0.000000,0.000000
0.010000,0.798450,5.166500,0.798479,3.520000,8.000000,0.000000,0.000000
0.010000,0.834450,5.166500,0.834479,3.600000,8.000000,0.000000,0.000000
0.010000,0.871250,5.166500,0.871279,3.680000,8.000000,-0.000000,0.000000
0.010000,0.908850,5.166500,0.908879,3.760000,8.000000,-0.000000,0.000000
0.010000,0.947250,5.166500,0.947279,3.840000,8.000000,0.000000,0.000000
0.010000,0.986450,5.166500,0.986479,3.920000,8.000000,0.000000,0.000000
0.010000,1.026450,5.166500,1.026479,4.000000,8.000000,-0.000000,0.000000
0.010000,1.067250,5.166500,1.067279,4.080000,8.000000,-0.000000,0.000000
0.010000,1.108850,5.166500,1.108879,4.160000,8.000000,0.000000,0.000000
0.010000,1.151250,5.166500,1.151279,4.240000,8.000000,-0.000000,0.000000
0.010000,1.194450,5.166500,1.194479,4.320000,8.000000,0.000000,0.000000
0.010000,1.238450,5.166500,1.238479,4.400000,8.000000,0.000000,0.000000
0.010000,1.283250,5.166500,1.283279,4.480000,8.000000,-0.000000,0.000000
0.010000,1.328850,5.166500,1.328879,4.560000,8.000000,0.000000,0.000000
0.010000,1.375250,5.166500,1.375279,4.640000,8.000000,0.000000,0.000000
0.010000,1.422450,5.166500,1.422479,4.720000,8.000000,0.000000,0.000000
0.010000,1.470450,5.166500,1.470479,4.800000,8.000000,-0.000000,0.000000
0.010000,1.519250,5.166500,1.519279,4.880000,8.000000,0.000000,0.000000
0.010000,1.568850,5.166500,1.568879,4.960000,8.000000,-0.000000,0.000000
0.010000,1.619250,5.166500,1.619279,5.040000,8.000000,0.000000,0.000000
0.010000,1.670450,5.166500,1.670479,5.120000,8.000000,-0.000000,0.000000
0.010000,1.722450,5.166500,1.722479,5.200000,8.000000,0.000000,0.000000
0.010000,1.775250,5.166500,1.775279,5.280000,8.000000,-0.000000,0.000000
0.010000,1.828850,5.166500,1.828879,5.360000,8.000000,0.000000,0.000000
0.010000,1.883250,5.166500,1.883279,5.440000,8.000000,-0.000000,0.000000
0.010000,1.938450,5.166500,1.938479,5.520000,8.000000,-0.000000,0.000000
0.010000,1.994450,5.166500,1.994479,5.600000,8.000000,0.000000,0.000000
0.010000,2.051250,5.166500,2.051279,5.680000,8.000000,-0.000000,0.000000
0.010000,2.108850,5.166500,2.108879,5.760000,8.000000,0.000000,0.000000
0.010000,2.167250,5.166500,2.167279,5.840000,8.000000,-0.000000,0.000000
0.010000,2.226450,5.166500,2.226479,5.920000,8.000000,0.000000,0.000000
0.010000,2.286450,5.166500,2.286479,6.000000,8.000000,-0.000000,0.000000
0.010000,2.347250,5.166500,2.347279,6.080000,8.000000,-0.000000,0.000000
0.010000,2.408850,5.166500,2.408879,6.160000,8.000000,0.000000,0.000000
0.010000,2.471250,5.166500,2.471279,6.240000,8.000000,-0.000000,0.000000
0.010000,2.534450,5.166500,2.534479,6.320000,8.000000,0.000000,0.000000
0.010000,2.598450,5.166500,2.598479,6.400000,8.000000,0.000000,0.000000
0.010000,2.663250,5.166500,2.663279,6.480000,8.000000,0.000000,0.000000
0.010000,2.728850,5.166500,2.728879,6.560000,8.000000,-0.000000,0.000000
0.010000,2.795250,5.166500,2.795279,6.640000,8.000000,0.000000,0.000000
0.010000,2.862450,5.166500,2.862479,6.720000,8.000000,0.000000,0.000000
0.010000,2.930450,5.166500,2.930479,6.800000,8.000000,-0.000000,0.000000
0.010000,2.999250,5.166500,2.999279,6.880000,8.000000,0.000000,0.000000
0.010000,3.068850,5.166500,3.068879,6.960000,8.000000,0.000000,0.000000
0.010000,3.139250,5.166500,3.139279,7.040000,8.000000,-0.000000,0.000000
0.010000,3.210450,5.166500,3.210479,7.120000,8.000000,0.000000,0.000000
0.010000,3.282450,5.166500,3.282479,7.200000,8.000000,-0.000000,0.000000
0.010000,3.355250,5.166500,3.355279,7.280000,8.000000,0.000000,0.000000
0.010000,3.428850,5.166500,3.428879,7.360000,8.000000,0.000000,0.000000
0.010000,3.503250,5.166500,3.503279,7.440000,8.000000,0.000000,0.000000
0.010000,3.578450,5.166500,3.578479,7.520000,8.000000,0.000000,0.000000
0.010000,3.654450,5.166500,3.654479,7.600000,8.000000,-0.000000,0.000000
0.010000,3.731250,5.166500,3.731279,7.680000,8.000000,-0.000000,0.000000
0.010000,3.808850,5.166500,3.808879,7.760000,8.000000,0.000000,0.000000
0.010000,3.887250,5.166500,3.887279,7.840000,8.000000,0.000000,0.000000
0.010000,3.966450,5.166500,3.966479,7.920000,8.000000,-0.000000,0.000000
0.010000,4.046450,5.166500,4.046479,8.000000,8.000000,0.000000,0.000000
0.010000,4.127250,5.166500,4.127279,8.080000,8.000000,-0.000000,0.000000
0.010000,4.208850,5.166500,4.208879,8.160000,8.000000,0.000000,0.000000
0.010000,4.291250,5.166500,4.291279,8.240000,8.000000,-0.000000,0.000000
0.010000,4.374450,5.166500,4.374479,8.320000,8.000000,0.000000,0.000000
0.010000,4.458450,5.166500,4.458479,8.400000,8.000000,-0.000000,0.000000
0.010000,4.543250,5.166500,4.543279,8.480000,8.000000,0.000000,0.000000
0.010000,4.628850,5.166500,4.628879,8.560000,8.000000,-0.000000,0.000000
0.010000,4.715250,5.166500,4.715279,8.640000,8.000000,0.000000,0.000000
0.010000,4.802450,5.166500,4.802479,8.720000,8.000000,-0.000000,0.000000
0.010000,4.890450,5.166500,4.890479,8.800000,8.000000,0.000000,0.000000
0.010000,4.979250,5.166500,4.979279,8.880000,8.000000,-0.000000,0.000000
0.010000,5.068850,5.166500,5.068879,8.960000,8.000000,0.000000,0.000000
0.010000,5.159250,5.166500,5.159279,9.040000,8.000000,0.000000,0.000000
0.010000,5.250450,5.166500,5.250479,9.120000,8.000000,0.000000,0.000000
0.010000,5.342450,5.166500,5.342479,9.200000,8.000000,-0.000000,0.000000
0.010000,5.435250,5.166500,5.435279,9.280000,8.000000,0.000000,0.000000
0.010000,5.528850,5.166500,5.528879,9.360000,8.000000,-0.000000,0.000000
0.010000,5.623250,5.166500,5.623279,9.440000,8.000000,0.000000,0.000000
0.010000,5.718421,5.166500,5.718450,9.517143,7.714286,-28.571429,0.000000
0.010000,5.814307,5.166500,5.814336,9.588571,7.142857,-57.142857,0.000000
0.010000,5.910850,5.166500,5.910879,9.654286,6.571429,-57.142857,0.000000
0.010000,6.007993,5.166500,6.008021,9.714286,6.000000,-57.142857,0.000000
0.010000,6.105679,5.166500,6.105707,9.768571,5.428571,-57.142857,0.000000
0.010000,6.203850,5.166500,6.203879,9.817143,4.857143,-57.142857,0.000000
0.010000,6.302450,5.166500,6.302479,9.860000,4.285714,-57.142857,0.000000
0.010000,6.401421,5.166500,6.401450,9.897143,3.714286,-57.142857,0.000000
0.010000,6.500707,5.166500,6.500736,9.928571,3.142857,-57.142857,0.000000
0.010000,6.600250,5.166500,6.600279,9.954286,2.571429,-57.142857,0.000000
0.010000,6.699993,5.166500,6.700021,9.974286,2.000000,-57.142857,0.000000
0.010000,6.799879,5.166500,6.799907,9.988571,1.428571,-57.142857,0.000000
