dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,6.400000,0.000029,0.005828,0.582751,58.275058,0.000000
0.010000,0.000056,6.400000,0.000085,0.005569,-0.025874,-60.862471,0.000000
0.010000,0.000318,6.400000,0.000347,0.026224,2.065501,209.137529,0.000000
0.010000,0.000784,6.400000,0.000813,0.046620,2.039627,-2.587413,0.000000
0.010000,0.001513,6.400000,0.001542,0.072844,2.622378,58.275058,0.000000
0.010000,0.002562,6.400000,0.002591,0.104895,3.205128,58.275058,0.000000
0.010000,0.003989,6.400000,0.004018,0.142774,3.787879,58.275058,0.000000
0.010000,0.005854,6.400000,0.005883,0.186480,4.370629,58.275058,0.000000
0.010000,0.008214,6.400000,0.008243,0.236014,4.953380,58.275058,0.000000
0.010000,0.011128,6.400000,0.011157,0.291375,5.536131,58.275058,0.000000
0.010000,0.014654,6.400000,0.014683,0.352564,6.118881,58.275058,0.000000
0.010000,0.018849,6.400000,0.018879,0.419580,6.701632,58.275058,0.000000
0.010000,0.023744,6.400000,0.023774,0.489510,6.993007,29.137529,0.000000
0.010000,0.029339,6.400000,0.029368,0.559441,6.993007,-0.000000,0.000000
0.010000,0.035633,6.400000,0.035662,0.629371,6.993007,0.000000,0.000000
0.010000,0.042626,6.400000,0.042655,0.699301,6.993007,0.000000,0.000000
0.010000,0.050318,6.400000,0.050347,0.769231,6.993007,-0.000000,0.000000
0.010000,0.058710,6.400000,0.058739,0.839161,6.993007,-0.000000,0.000000
0.010000,0.067800,6.400000,0.067830,0.909091,6.993007,0.000000,0.000000
0.010000,0.077591,6.400000,0.077620,0.979021,6.993007,0.000000,0.000000
0.010000,0.088080,6.400000,0.088109,1.048951,6.993007,-0.000000,0.000000
0.010000,0.099269,6.400000,0.099298,1.118881,6.993007,0.000000,0.000000
0.010000,0.111157,6.400000,0.111186,1.188811,6.993007,-0.000000,0.000000
0.010000,0.123744,6.400000,0.123774,1.258741,6.993007,0.000000,0.000000
0.010000,0.137031,6.400000,0.137060,1.328671,6.993007,0.000000,0.000000
0.010000,0.151017,6.400000,0.151046,1.398601,6.993007,-0.000000,0.000000
0.010000,0.165703,6.400000,0.165732,1.468531,6.993007,0.000000,0.000000
0.010000,0.181087,6.400000,0.181116,1.538462,6.993007,0.000000,0.000000
0.010000,0.197171,6.400000,0.197200,1.608392,6.993007,-0.000000,0.000000
0.010000,0.213954,6.400000,0.213983,1.678322,6.993007,0.000000,0.000000
0.010000,0.231437,6.400000,0.231466,1.748252,6.993007,-0.000000,0.000000
0.010000,0.249619,6.400000,0.249648,1.818182,6.993007,-0.000000,0.000000
0.010000,0.268500,6.400000,0.268529,1.888112,6.993007,0.000000,0.000000
0.010000,0.288080,6.400000,0.288109,1.958042,6.993007,-0.000000,0.000000
0.010000,0.308360,6.400000,0.308389,2.027972,6.993007,-0.000000,0.000000
0.010000,0.329339,6.400000,0.329368,2.097902,6.993007,0.000000,0.000000
0.010000,0.351017,6.400000,0.351046,2.167832,6.993007,0.000000,0.000000
0.010000,0.373395,6.400000,0.373424,2.237762,6.993007,-0.000000,0.000000
0.010000,0.396472,6.400000,0.396501,2.307692,6.993007,0.000000,0.000000
0.010000,0.420248,6.400000,0.420277,2.377622,6.993007,-0.000000,0.000000
0.010000,0.444724,6.400000,0.444753,2.447552,6.993007,0.000000,0.000000
0.010000,0.469898,6.400000,0.469927,2.517483,6.993007,0.000000,0.000000
0.010000,0.495772,6.400000,0.495802,2.587413,6.993007,-0.000000,0.000000
0.010000,0.522346,6.400000,0.522375,2.657343,6.993007,0.000000,0.000000
0.010000,0.549619,6.400000,0.549648,2.727273,6.993007,-0.000000,0.000000
0.010000,0.577591,6.400000,0.577620,2.797203,6.993007,0.000000,0.000000
0.010000,0.606262,6.400000,0.606291,2.867133,6.993007,-0.000000,0.000000
0.010000,0.635633,6.400000,0.635662,2.937063,6.993007,-0.000000,0.000000
0.010000,0.665703,6.400000,0.665732,3.006993,6.993007,0.000000,0.000000
0.010000,0.696472,6.400000,0.696501,3.076923,6.993007,-0.000000,0.000000
0.010000,0.727940,6.400000,0.727969,3.146853,6.993007,0.000000,0.000000
0.010000,0.760108,6.400000,0.760137,3.216783,6.993007,-0.000000,0.000000
0.010000,0.792975,6.400000,0.793004,3.286713,6.993007,0.000000,0.000000
0.010000,0.826542,6.400000,0.826571,3.356643,6.993007,-0.000000,0.000000
0.010000,0.860807,6.400000,0.860837,3.426573,6.993007,-0.000000,0.000000
0.010000,0.895772,6.400000,0.895802,3.496503,6.993007,0.000000,0.000000
0.010000,0.931437,6.400000,0.931466,3.566434,6.993007,-0.000000,0.000000
0.010000,0.967800,6.400000,0.967830,3.636364,6.993007,0.000000,0.000000
0.010000,1.004863,6.400000,1.004893,3.706294,6.993007,-0.000000,0.000000
0.010000,1.042626,6.400000,1.042655,3.776224,6.993007,0.000000,0.000000
0.010000,1.081087,6.400000,1.081116,3.846154,6.993007,0.000000,0.000000
0.010000,1.120248,6.400000,1.120277,3.916084,6.993007,0.000000,0.000000
0.010000,1.160108,6.400000,1.160137,3.986014,6.993007,-0.000000,0.000000
0.010000,1.200668,6.400000,1.200697,4.055944,6.993007,0.000000,0.000000
0.010000,1.241926,6.400000,1.241955,4.125874,6.993007,0.000000,0.000000
0.010000,1.283884,6.400000,1.283913,4.195804,6.993007,-0.000000,0.000000
0.010000,1.326542,6.400000,1.326571,4.265734,6.993007,0.000000,0.000000
0.010000,1.369898,6.400000,1.369927,4.335664,6.993007,-0.000000,0.000000
0.010000,1.413954,6.400000,1.413983,4.405594,6.993007,-0.000000,0.000000
0.010000,1.458710,6.400000,1.458739,4.475524,6.993007,0.000000,0.000000
0.010000,1.504164,6.400000,1.504193,4.545455,6.993007,0.000000,0.000000
0.010000,1.550318,6.400000,1.550347,4.615385,6.993007,-0.000000,0.000000
0.010000,1.597171,6.400000,1.597200,4.685315,6.993007,-0.000000,0.000000
0.010000,1.644724,6.400000,1.644753,4.755245,6.993007,0.000000,0.000000
0.010000,1.692975,6.400000,1.693004,4.825175,6.993007,-0.000000,0.000000
0.010000,1.741926,6.400000,1.741955,4.895105,6.993007,0.000000,0.000000
0.010000,1.791577,6.400000,1.791606,4.965035,6.993007,0.000000,0.000000
0.010000,1.841926,6.400000,1.841955,5.034965,6.993007,0.000000,0.000000
0.010000,1.892975,6.400000,1.893004,5.104895,6.993007,-0.000000,0.000000
0.010000,1.944724,6.400000,1.944753,5.174825,6.993007,0.000000,0.000000
0.010000,1.997171,6.400000,1.997200,5.244755,6.993007,0.000000,0.000000
0.010000,2.050318,6.400000,2.050347,5.314685,6.993007,0.000000,0.000000
0.010000,2.104164,6.400000,2.104193,5.384615,6.993007,-0.000000,0.000000
0.010000,2.158710,6.400000,2.158739,5.454545,6.993007,0.000000,0.000000
0.010000,2.213954,6.400000,2.213983,5.524476,6.993007,0.000000,0.000000
0.010000,2.269898,6.400000,2.269927,5.594406,6.993007,-0.000000,0.000000
0.010000,2.326542,6.400000,2.326571,5.664336,6.993007,-0.000000,0.000000
0.010000,2.383884,6.400000,2.383913,5.734266,6.993007,0.000000,0.000000
0.010000,2.441926,6.400000,2.441955,5.804196,6.993007,-0.000000,0.000000
0.010000,2.500668,6.400000,2.500697,5.874126,6.993007,0.000000,0.000000
0.010000,2.560108,6.400000,2.560137,5.944056,6.993007,0.000000,0.000000
0.010000,2.620248,6.400000,2.620277,6.013986,6.993007,0.000000,0.000000
0.010000,2.681087,6.400000,2.681116,6.083916,6.993007,-0.000000,0.000000
0.010000,2.742626,6.400000,2.742655,6.153846,6.993007,0.000000,0.000000
0.010000,2.804863,6.400000,2.804893,6.223776,6.993007,0.000000,0.000000
0.010000,2.867800,6.400000,2.867830,6.293706,6.993007,-0.000000,0.000000
0.010000,2.931437,6.400000,2.931466,6.363636,6.993007,0.000000,0.000000
0.010000,2.995772,6.400000,2.995802,6.433566,6.993007,-0.000000,0.000000
0.010000,3.060807,6.400000,3.060837,6.503497,6.993007,0.000000,0.000000
0.010000,3.126542,6.400000,3.126571,6.573427,6.993007,-0.000000,0.000000
0.010000,3.192975,6.400000,3.193004,6.643357,6.993007,0.000000,0.000000
0.010000,3.260108,6.400000,3.260137,6.713287,6.993007,-0.000000,0.000000
0.010000,3.327940,6.400000,3.327969,6.783217,6.993007,-0.000000,0.000000
0.010000,3.396472,6.400000,3.396501,6.853147,6.993007,0.000000,0.000000
0.010000,3.465703,6.400000,3.465732,6.923077,6.993007,-0.000000,0.000000
0.010000,3.535633,6.400000,3.535662,6.993007,6.993007,0.000000,0.000000
0.010000,3.606262,6.400000,3.606291,7.062937,6.993007,0.000000,0.000000
0.010000,3.677591,6.400000,3.677620,7.132867,6.993007,0.000000,0.000000
0.010000,3.749619,6.400000,3.749648,7.202797,6.993007,0.000000,0.000000
0.010000,3.822346,6.400000,3.822375,7.272727,6.993007,-0.000000,0.000000
0.010000,3.895772,6.400000,3.895802,7.342657,6.993007,0.000000,0.000000
0.010000,3.969898,6.400000,3.969927,7.412587,6.993007,0.000000,0.000000
0.010000,4.044724,6.400000,4.044753,7.482517,6.993007,-0.000000,0.000000
0.010000,4.120248,6.400000,4.120277,7.552448,6.993007,0.000000,0.000000
0.010000,4.196472,6.400000,4.196501,7.622378,6.993007,-0.000000,0.000000
0.010000,4.273395,6.400000,4.273424,7.692308,6.993007,-0.000000,0.000000
0.010000,4.351017,6.400000,4.351046,7.762238,6.993007,0.000000,0.000000
0.010000,4.429339,6.400000,4.429368,7.832168,6.993007,-0.000000,0.000000
0.010000,4.508360,6.400000,4.508389,7.902098,6.993007,0.000000,0.000000
0.010000,4.588080,6.400000,4.588109,7.972028,6.993007,0.000000,0.000000
0.010000,4.668500,6.400000,4.668529,8.041958,6.993007,-0.000000,0.000000
0.010000,4.749619,6.400000,4.749648,8.111888,6.993007,-0.000000,0.000000
0.010000,4.831437,6.400000,4.831466,8.181818,6.993007,0.000000,0.000000
0.010000,4.913954,6.400000,4.913983,8.251748,6.993007,-0.000000,0.000000
0.010000,4.997171,6.400000,4.997200,8.321678,6.993007,0.000000,0.000000
0.010000,5.081087,6.400000,5.081116,8.391608,6.993007,-0.000000,0.000000
0.010000,5.165703,6.400000,5.165732,8.461538,6.993007,0.000000,0.000000
0.010000,5.251017,6.400000,5.251046,8.531469,6.993007,0.000000,0.000000
0.010000,5.337031,6.400000,5.337060,8.601399,6.993007,0.000000,0.000000
0.010000,5.423744,6.400000,5.423774,8.671329,6.993007,-0.000000,0.000000
0.010000,5.511157,6.400000,5.511186,8.741259,6.993007,0.000000,0.000000
0.010000,5.599269,6.400000,5.599298,8.811189,6.993007,-0.000000,0.000000
0.010000,5.688080,6.400000,5.688109,8.881119,6.993007,0.000000,0.000000
0.010000,5.777591,6.400000,5.777620,8.951049,6.993007,0.000000,0.000000
0.010000,5.867800,6.400000,5.867830,9.020979,6.993007,0.000000,0.000000
0.010000,5.958710,6.400000,5.958739,9.090909,6.993007,-0.000000,0.000000
0.010000,6.050318,6.400000,6.050347,9.160839,6.993007,0.000000,0.000000
0.010000,6.142626,6.400000,6.142655,9.230769,6.993007,0.000000,0.000000
0.010000,6.235633,6.400000,6.235662,9.300699,6.993007,-0.000000,0.000000
0.010000,6.329339,6.400000,6.329368,9.370629,6.993007,0.000000,0.000000
0.010000,6.423744,6.400000,6.423774,9.440559,6.993007,-0.000000,0.000000
0.010000,6.518849,6.400000,6.518879,9.510490,6.993007,0.000000,0.000000
0.010000,6.614654,6.400000,6.614683,9.580420,6.993007,0.000000,0.000000
0.010000,6.711128,6.400000,6.711157,9.647436,6.701632,-29.137529,0.000000
0.010000,6.808214,6.400000,6.808243,9.708625,6.118881,-58.275058,0.000000
0.010000,6.905854,6.400000,6.905883,9.763986,5.536131,-58.275058,0.000000
0.010000,7.003989,6.400000,7.004018,9.813520,4.953380,-58.275058,0.000000
0.010000,7.102562,6.400000,7.102591,9.857226,4.370629,-58.275058,0.000000
0.010000,7.201513,6.400000,7.201542,9.895105,3.787879,-58.275058,0.000000
0.010000,7.300784,6.400000,7.300813,9.927156,3.205128,-58.275058,0.000000
0.010000,7.400318,6.400000,7.400347,9.953380,2.622378,-58.275058,0.000000
0.010000,7.500056,6.400000,7.500085,9.973776,2.039627,-58.275058,0.000000
0.010000,7.599939,6.400000,7.599968,9.988345,1.456876,-58.275058,0.000000
0.010000,7.699910,6.400000,7.699939,9.997086,0.874126,-58.275058,0.000000
0.010000,7.799910,6.400000,7.799939,10.000000,0.291375,-58.275058,0.000000
0.010000,7.899910,6.400000,7.899939,10.000000,0.000000,-29.137529,0.000000
0.010000,7.999910,6.400000,7.999939,10.000000,-0.000000,-0.000000,0.000000
0.010000,8.099910,6.400000,8.099939,10.000000,0.000000,0.000000,0.000000
0.010000,8.199910,6.400000,8.199939,10.000000,-0.000000,-0.000000,0.000000
0.010000,8.299910,6.400000,8.299939,10.000000,0.000000,0.000000,0.000000
0.010000,8.399910,6.400000,8.399939,10.000000,-0.000000,-0.000000,0.000000
0.010000,8.499887,6.400000,8.499916,9.997669,-0.233102,-23.310205,0.000000
0.010000,8.599788,6.400000,8.599817,9.990093,-0.757579,-52.447735,0.000000
0.010000,8.699555,6.400000,8.699584,9.976690,-1.340330,-58.275058,0.000000
0.010000,8.799129,6.400000,8.799158,9.957459,-1.923081,-58.275058,0.000000
0.010000,8.898453,6.400000,8.898482,9.932401,-2.505831,-58.275058,0.000000
0.010000,8.997468,6.400000,8.997497,9.901515,-3.088582,-58.275058,0.000000
0.010000,9.100132,6.399910,9.100162,10.266425,36.491009,3957.959077,6.281481
0.010000,9.201144,6.399675,9.201173,10.101141,-16.528434,-5301.944258,6.280319
0.010000,9.300269,6.399357,9.300299,9.912630,-18.851112,-232.267895,6.279741
0.010000,9.397478,6.399018,9.397509,9.720930,-19.170007,-31.889438,6.279736
0.010000,9.492736,6.398711,9.492767,9.525810,-19.511923,-34.191663,6.280294
0.010000,9.586006,6.398489,9.586037,9.327068,-19.874227,-36.230305,6.281405
0.010000,9.677274,6.398398,9.677305,9.126744,-20.032401,-15.817437,6.283063
0.010000,9.766546,6.398480,9.766578,8.927291,-19.945270,8.713134,0.002074
0.010000,9.853834,6.398776,9.853866,8.728833,-19.845795,9.947420,0.004807
0.010000,9.939142,6.399321,9.939176,8.530946,-19.788748,5.704695,0.008072
0.010000,10.022470,6.400148,10.022508,8.333225,-19.772111,1.663741,0.011870
0.010000,10.103815,6.401285,10.103861,8.135284,-19.794092,-2.198084,0.016202
0.010000,10.183169,6.402760,10.183228,7.936753,-19.853087,-5.899561,0.021069
0.010000,10.260520,6.404595,10.260601,7.737277,-19.947635,-9.454757,0.026476
0.010000,10.335852,6.406810,10.335966,7.536513,-20.076376,-12.874054,0.032428
0.010000,10.409147,6.409421,10.409307,7.334133,-20.238006,-16.163000,0.038932
0.010000,10.480381,6.412443,10.480606,7.129820,-20.431232,-19.322658,0.045996
0.010000,10.549528,6.415886,10.549838,6.923273,-20.654724,-22.349144,0.053629
