dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,11.000000,0.000030,0.005970,0.597015,59.701493,0.000000
0.010000,0.000109,11.000000,0.000139,0.010925,0.495522,-10.149254,0.000000
0.010000,0.000378,11.000000,0.000408,0.026866,1.594030,109.850746,0.000000
0.010000,0.000856,11.000000,0.000885,0.047761,2.089552,49.552239,0.000000
0.010000,0.001602,11.000000,0.001632,0.074627,2.686567,59.701493,0.000000
0.010000,0.002647,11.000000,0.002676,0.104478,2.985075,29.850746,0.000000
0.010000,0.003990,11.000000,0.004020,0.134328,2.985075,0.000000,0.000000
0.010000,0.005632,11.000000,0.005661,0.164179,2.985075,-0.000000,0.000000
0.010000,0.007572,11.000000,0.007602,0.194030,2.985075,0.000000,0.000000
0.010000,0.009811,11.000000,0.009841,0.223881,2.985075,0.000000,0.000000
0.010000,0.012348,11.000000,0.012378,0.253731,2.985075,-0.000000,0.000000
0.010000,0.015184,11.000000,0.015214,0.283582,2.985075,0.000000,0.000000
0.010000,0.018318,11.000000,0.018348,0.313433,2.985075,0.000000,0.000000
0.010000,0.021751,11.000000,0.021781,0.343284,2.985075,-0.000000,0.000000
0.010000,0.025482,11.000000,0.025512,0.373134,2.985075,-0.000000,0.000000
0.010000,0.029512,11.000000,0.029542,0.402985,2.985075,0.000000,0.000000
0.010000,0.033841,11.000000,0.033870,0.432836,2.985075,0.000000,0.000000
0.010000,0.038467,11.000000,0.038497,0.462687,2.985075,-0.000000,0.000000
0.010000,0.043393,11.000000,0.043423,0.492537,2.985075,0.000000,0.000000
0.010000,0.048617,11.000000,0.048647,0.522388,2.985075,0.000000,0.000000
0.010000,0.054139,11.000000,0.054169,0.552239,2.985075,-0.000000,0.000000
0.010000,0.059960,11.000000,0.059990,0.582090,2.985075,0.000000,0.000000
0.010000,0.066079,11.000000,0.066109,0.611940,2.985075,-0.000000,0.000000
0.010000,0.072497,11.000000,0.072527,0.641791,2.985075,0.000000,0.000000
0.010000,0.079214,11.000000,0.079244,0.671642,2.985075,0.000000,0.000000
0.010000,0.086229,11.000000,0.086259,0.701493,2.985075,-0.000000,0.000000
0.010000,0.093542,11.000000,0.093572,0.731343,2.985075,0.000000,0.000000
0.010000,0.101154,11.000000,0.101184,0.761194,2.985075,-0.000000,0.000000
0.010000,0.109064,11.000000,0.109094,0.791045,2.985075,0.000000,0.000000
0.010000,0.117273,11.000000,0.117303,0.820896,2.985075,0.000000,0.000000
0.010000,0.125781,11.000000,0.125811,0.850746,2.985075,-0.000000,0.000000
0.010000,0.134587,11.000000,0.134617,0.880597,2.985075,-0.000000,0.000000
0.010000,0.143691,11.000000,0.143721,0.910448,2.985075,0.000000,0.000000
0.010000,0.153094,11.000000,0.153124,0.940299,2.985075,0.000000,0.000000
0.010000,0.162796,11.000000,0.162826,0.970149,2.985075,-0.000000,0.000000
0.010000,0.172796,11.000000,0.172826,1.000000,2.985075,0.000000,0.000000
0.010000,0.183094,11.000000,0.183124,1.029851,2.985075,-0.000000,0.000000
0.010000,0.193691,11.000000,0.193721,1.059701,2.985075,0.000000,0.000000
0.010000,0.204587,11.000000,0.204617,1.089552,2.985075,0.000000,0.000000
0.010000,0.215781,11.000000,0.215811,1.119403,2.985075,-0.000000,0.000000
0.010000,0.227273,11.000000,0.227303,1.149254,2.985075,0.000000,0.000000
0.010000,0.239064,11.000000,0.239094,1.179104,2.985075,-0.000000,0.000000
0.010000,0.251154,11.000000,0.251184,1.208955,2.985075,0.000000,0.000000
0.010000,0.263542,11.000000,0.263572,1.238806,2.985075,0.000000,0.000000
0.010000,0.276229,11.000000,0.276259,1.268657,2.985075,-0.000000,0.000000
0.010000,0.289214,11.000000,0.289244,1.298507,2.985075,0.000000,0.000000
0.010000,0.302497,11.000000,0.302527,1.328358,2.985075,-0.000000,0.000000
0.010000,0.316079,11.000000,0.316109,1.358209,2.985075,0.000000,0.000000
0.010000,0.329960,11.000000,0.329990,1.388060,2.985075,-0.000000,0.000000
0.010000,0.344139,11.000000,0.344169,1.417910,2.985075,0.000000,0.000000
0.010000,0.358617,11.000000,0.358647,1.447761,2.985075,-0.000000,0.000000
0.010000,0.373393,11.000000,0.373423,1.477612,2.985075,0.000000,0.000000
0.010000,0.388467,11.000000,0.388497,1.507463,2.985075,0.000000,0.000000
0.010000,0.403841,11.000000,0.403870,1.537313,2.985075,0.000000,0.000000
0.010000,0.419512,11.000000,0.419542,1.567164,2.985075,-0.000000,0.000000
0.010000,0.435482,11.000000,0.435512,1.597015,2.985075,0.000000,0.000000
0.010000,0.451751,11.000000,0.451781,1.626866,2.985075,-0.000000,0.000000
0.010000,0.468318,11.000000,0.468348,1.656716,2.985075,0.000000,0.000000
0.010000,0.485184,11.000000,0.485214,1.686567,2.985075,-0.000000,0.000000
0.010000,0.502348,11.000000,0.502378,1.716418,2.985075,-0.000000,0.000000
0.010000,0.519811,11.000000,0.519841,1.746269,2.985075,-0.000000,0.000000
0.010000,0.537572,11.000000,0.537602,1.776119,2.985075,0.000000,0.000000
0.010000,0.555632,11.000000,0.555661,1.805970,2.985075,0.000000,0.000000
0.010000,0.573990,11.000000,0.574020,1.835821,2.985075,-0.000000,0.000000
0.010000,0.592647,11.000000,0.592676,1.865672,2.985075,0.000000,0.000000
0.010000,0.611602,11.000000,0.611632,1.895522,2.985075,-0.000000,0.000000
0.010000,0.630856,11.000000,0.630885,1.925373,2.985075,0.000000,0.000000
0.010000,0.650408,11.000000,0.650438,1.955224,2.985075,-0.000000,0.000000
0.010000,0.670259,11.000000,0.670288,1.985075,2.985075,0.000000,0.000000
0.010000,0.690408,11.000000,0.690438,2.014925,2.985075,0.000000,0.000000
0.010000,0.710856,11.000000,0.710885,2.044776,2.985075,-0.000000,0.000000
0.010000,0.731602,11.000000,0.731632,2.074627,2.985075,0.000000,0.000000
0.010000,0.752647,11.000000,0.752676,2.104478,2.985075,-0.000000,0.000000
0.010000,0.773990,11.000000,0.774020,2.134328,2.985075,-0.000000,0.000000
0.010000,0.795632,11.000000,0.795661,2.164179,2.985075,0.000000,0.000000
0.010000,0.817572,11.000000,0.817602,2.194030,2.985075,0.000000,0.000000
0.010000,0.839811,11.000000,0.839841,2.223881,2.985075,0.000000,0.000000
0.010000,0.862348,11.000000,0.862378,2.253731,2.985075,-0.000000,0.000000
0.010000,0.885184,11.000000,0.885214,2.283582,2.985075,0.000000,0.000000
0.010000,0.908318,11.000000,0.908348,2.313433,2.985075,0.000000,0.000000
0.010000,0.931751,11.000000,0.931781,2.343284,2.985075,-0.000000,0.000000
0.010000,0.955482,11.000000,0.955512,2.373134,2.985075,0.000000,0.000000
0.010000,0.979512,11.000000,0.979542,2.402985,2.985075,0.000000,0.000000
0.010000,1.003841,11.000000,1.003870,2.432836,2.985075,0.000000,0.000000
0.010000,1.028467,11.000000,1.028497,2.462687,2.985075,-0.000000,0.000000
0.010000,1.053393,11.000000,1.053423,2.492537,2.985075,0.000000,0.000000
0.010000,1.078617,11.000000,1.078647,2.522388,2.985075,0.000000,0.000000
0.010000,1.104139,11.000000,1.104169,2.552239,2.985075,-0.000000,0.000000
0.010000,1.129960,11.000000,1.129990,2.582090,2.985075,0.000000,0.000000
0.010000,1.156079,11.000000,1.156109,2.611940,2.985075,0.000000,0.000000
0.010000,1.182497,11.000000,1.182527,2.641791,2.985075,0.000000,0.000000
0.010000,1.209214,11.000000,1.209244,2.671642,2.985075,0.000000,0.000000
0.010000,1.236229,11.000000,1.236259,2.701493,2.985075,-0.000000,0.000000
0.010000,1.263542,11.000000,1.263572,2.731343,2.985075,0.000000,0.000000
0.010000,1.291154,11.000000,1.291184,2.761194,2.985075,0.000000,0.000000
0.010000,1.319064,11.000000,1.319094,2.791045,2.985075,-0.000000,0.000000
0.010000,1.347273,11.000000,1.347303,2.820896,2.985075,0.000000,0.000000
0.010000,1.375781,11.000000,1.375811,2.850746,2.985075,-0.000000,0.000000
0.010000,1.404587,11.000000,1.404617,2.880597,2.985075,0.000000,0.000000
0.010000,1.433691,11.000000,1.433721,2.910448,2.985075,-0.000000,0.000000
0.010000,1.463094,11.000000,1.463124,2.940299,2.985075,0.000000,0.000000
0.010000,1.492796,11.000000,1.492826,2.970149,2.985075,0.000000,0.000000
0.010000,1.522796,11.000000,1.522826,3.000000,2.985075,0.000000,0.000000
