dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000010,11.000000,0.000030,0.005970,0.597015,59.701493,0.000010
0.010000,0.000147,11.000000,0.000186,0.015657,0.968664,37.164934,6.283138
0.010000,0.000545,11.000000,0.000584,0.039762,2.410538,144.187325,6.283009
0.010000,0.001251,11.000000,0.001291,0.070691,3.092884,68.234655,6.282779
0.010000,0.002356,10.999999,0.002396,0.110462,3.977070,88.418619,6.282421
0.010000,0.003903,10.999998,0.003942,0.154661,4.419899,44.282911,6.281919
0.010000,0.005891,10.999994,0.005931,0.198874,4.421324,0.142461,6.281274
0.010000,0.008322,10.999989,0.008362,0.243105,4.423147,0.182253,6.280485
0.010000,0.011196,10.999980,0.011236,0.287359,4.425360,0.221355,6.279551
0.010000,0.014512,10.999966,0.014552,0.331639,4.427956,0.259606,6.278474
0.010000,0.018272,10.999946,0.018311,0.375948,4.430925,0.296839,6.277251
0.010000,0.022475,10.999918,0.022514,0.420290,4.434253,0.332885,6.275884
0.010000,0.027121,10.999881,0.027161,0.464670,4.437929,0.367595,6.274372
0.010000,0.032212,10.999831,0.032252,0.509089,4.441936,0.400648,6.272714
0.010000,0.037747,10.999769,0.037787,0.553552,4.446256,0.432047,6.270910
0.010000,0.043727,10.999689,0.043768,0.598060,4.450872,0.461622,6.268959
0.010000,0.050152,10.999591,0.050194,0.642618,4.455760,0.488794,6.266861
0.010000,0.057024,10.999471,0.057066,0.687227,4.460898,0.513752,6.264616
0.010000,0.064341,10.999327,0.064385,0.731889,4.466260,0.536193,6.262222
0.010000,0.072105,10.999154,0.072151,0.776608,4.471819,0.555865,6.259680
0.010000,0.080317,10.998950,0.080365,0.821383,4.477540,0.572149,6.256989
0.010000,0.088975,10.998711,0.089027,0.866217,4.483394,0.585388,6.254147
0.010000,0.098082,10.998432,0.098139,0.911110,4.489344,0.594987,6.251156
0.010000,0.107638,10.998111,0.107699,0.956064,4.495351,0.600689,6.248013
0.010000,0.117642,10.997743,0.117710,1.001078,4.501373,0.602264,6.244719
0.010000,0.128095,10.997322,0.128171,1.046151,4.507366,0.599265,6.241272
0.010000,0.138997,10.996846,0.139084,1.091284,4.513282,0.591587,6.237673
0.010000,0.150349,10.996307,0.150449,1.136475,4.519069,0.578703,6.233920
0.010000,0.162151,10.995702,0.162266,1.181722,4.524674,0.560495,6.230013
0.010000,0.174402,10.995025,0.174537,1.227022,4.530039,0.536472,6.225952
0.010000,0.187104,10.994271,0.187260,1.272373,4.535099,0.506025,6.221735
0.010000,0.200255,10.993433,0.200438,1.317771,4.539794,0.469535,6.217364
0.010000,0.213855,10.992505,0.214070,1.363211,4.544052,0.425775,6.212836
0.010000,0.227905,10.991482,0.228157,1.408689,4.547801,0.374881,6.208152
0.010000,0.242403,10.990357,0.242699,1.454199,4.550966,0.316544,6.203312
0.010000,0.257350,10.989123,0.257696,1.499734,4.553465,0.249861,6.198314
0.010000,0.272744,10.987773,0.273149,1.545286,4.555214,0.174950,6.193160
0.010000,0.288584,10.986301,0.289058,1.590847,4.556128,0.091394,6.187848
0.010000,0.304869,10.984699,0.305422,1.636408,4.556114,-0.001424,6.182380
0.010000,0.321599,10.982959,0.322241,1.681959,4.555080,-0.103404,6.176754
0.010000,0.338770,10.981074,0.339516,1.727488,4.552924,-0.215606,6.170972
0.010000,0.356383,10.979037,0.357246,1.772984,4.549549,-0.337510,6.165033
0.010000,0.374434,10.976838,0.375430,1.818432,4.544852,-0.469660,6.158938
0.010000,0.392921,10.974471,0.394069,1.863820,4.538723,-0.612920,6.152688
0.010000,0.411842,10.971926,0.413160,1.909130,4.531061,-0.766208,6.146283
0.010000,0.431194,10.969195,0.432703,1.954348,4.521750,-0.931077,6.139725
0.010000,0.450973,10.966270,0.452698,1.999455,4.510686,-1.106453,6.133014
0.010000,0.471177,10.963142,0.473142,2.044432,4.497755,-1.293085,6.126152
0.010000,0.491801,10.959802,0.494035,2.089261,4.482846,-1.490880,6.119140
0.010000,0.512841,10.956242,0.515374,2.133919,4.465852,-1.699347,6.111979
0.010000,0.534292,10.952452,0.537158,2.178386,4.446666,-1.918602,6.104673
0.010000,0.556151,10.948424,0.559384,2.222638,4.425183,-2.148332,6.097223
0.010000,0.578410,10.944149,0.582051,2.266651,4.401299,-2.388402,6.089631
0.010000,0.601065,10.939617,0.605155,2.310400,4.374923,-2.637581,6.081900
0.010000,0.624110,10.934820,0.628693,2.353859,4.345958,-2.896514,6.074033
0.010000,0.647538,10.929750,0.652663,2.397003,4.314324,-3.163379,6.066033
0.010000,0.671341,10.924396,0.677061,2.439802,4.279943,-3.438098,6.057904
0.010000,0.695513,10.918752,0.701884,2.482230,4.242747,-3.719604,6.049648
0.010000,0.720046,10.912807,0.727126,2.524256,4.202680,-4.006742,6.041271
0.010000,0.744931,10.906555,0.752785,2.565853,4.159691,-4.298853,6.032777
0.010000,0.770160,10.899986,0.778855,2.606991,4.113750,-4.594111,6.024170
0.010000,0.795723,10.893093,0.805331,2.647639,4.064833,-4.891749,6.015454
0.010000,0.821611,10.885868,0.832209,2.687768,4.012931,-5.190153,6.006636
0.010000,0.847815,10.878305,0.859482,2.727349,3.958054,-5.487704,5.997721
0.010000,0.874324,10.870395,0.887146,2.766351,3.900222,-5.783206,5.988714
0.010000,0.901127,10.862133,0.915193,2.804746,3.839475,-6.074669,5.979622
0.010000,0.928213,10.853511,0.943618,2.842505,3.775868,-6.360711,5.970450
0.010000,0.955571,10.844525,0.972414,2.879599,3.709474,-6.639457,5.961206
0.010000,0.983189,10.835169,1.001574,2.916003,3.640379,-6.909463,5.951897
0.010000,1.011056,10.825438,1.031091,2.951690,3.568692,-7.168722,5.942529
0.010000,1.039158,10.815326,1.060957,2.986635,3.494533,-7.415893,5.933111
0.010000,1.067485,10.804832,1.091166,3.020816,3.418041,-7.649228,5.923649
0.010000,1.096023,10.793950,1.121708,3.054209,3.339368,-7.867270,5.914151
0.010000,1.124759,10.782678,1.152576,3.086796,3.258682,-8.068571,5.904626
0.010000,1.153681,10.771014,1.183761,3.118558,3.176164,-8.251845,5.895082
0.010000,1.182776,10.758956,1.215256,3.149478,3.092004,-8.415964,5.885528
0.010000,1.212032,10.746503,1.247051,3.179542,3.006405,-8.559957,5.875971
0.010000,1.241434,10.733654,1.279139,3.208738,2.919576,-8.682896,5.866421
0.010000,1.270971,10.720409,1.311509,3.237055,2.831733,-8.784267,5.856886
0.010000,1.300629,10.706769,1.344154,3.264486,2.743097,-8.863590,5.847375
0.010000,1.330397,10.692734,1.377065,3.291025,2.653891,-8.920628,5.837898
0.010000,1.360262,10.678308,1.410231,3.316668,2.564337,-8.955400,5.828462
0.010000,1.390211,10.663491,1.443645,3.341415,2.474656,-8.968116,5.819078
0.010000,1.420233,10.648286,1.477298,3.365265,2.385064,-8.959183,5.809754
0.010000,1.450317,10.632698,1.511180,3.388223,2.295771,-8.929259,5.800498
0.010000,1.480450,10.616730,1.545283,3.410293,2.206980,-8.879161,5.791320
0.010000,1.510623,10.600387,1.579598,3.431482,2.118880,-8.809950,5.782229
0.010000,1.540825,10.583673,1.614116,3.451798,2.031652,-8.722801,5.773234
0.010000,1.571045,10.566593,1.648829,3.471253,1.945461,-8.619129,5.764342
0.010000,1.601274,10.549155,1.683727,3.489857,1.860457,-8.500416,5.755563
0.010000,1.631503,10.531363,1.718803,3.507625,1.776773,-8.368338,5.746904
0.010000,1.661723,10.513225,1.754049,3.524570,1.694527,-8.224637,5.738375
0.010000,1.691927,10.494748,1.789456,3.540709,1.613815,-8.071139,5.729983
0.010000,1.722106,10.475938,1.825017,3.556056,1.534718,-7.909780,5.721735
0.010000,1.752253,10.456805,1.860723,3.570629,1.457293,-7.742467,5.713641
0.010000,1.782362,10.437356,1.896567,3.584445,1.381581,-7.571193,5.705707
0.010000,1.812427,10.417599,1.932543,3.597521,1.307602,-7.397956,5.697940
0.010000,1.842442,10.397544,1.968641,3.609874,1.235355,-7.224652,5.690349
0.010000,1.872402,10.377198,2.004857,3.621522,1.164822,-7.053277,5.682940
0.010000,1.902302,10.356572,2.041181,3.632482,1.095965,-6.885721,5.675719
0.010000,1.932139,10.335674,2.077609,3.642769,1.028728,-6.723732,5.668695
0.010000,1.961909,10.314514,2.114133,3.652400,0.963035,-6.569227,5.661872
0.010000,1.991610,10.293102,2.150747,3.661388,0.898798,-6.423754,5.655258
0.010000,2.021237,10.271448,2.187444,3.669747,0.835908,-6.289004,5.648859
0.010000,2.050791,10.249562,2.224219,3.677489,0.774243,-6.166504,5.642681
0.010000,2.080268,10.227454,2.261066,3.684626,0.713666,-6.057682,5.636730
0.010000,2.109667,10.205135,2.297977,3.691166,0.654027,-5.963876,5.631013
0.010000,2.138989,10.182616,2.334948,3.697118,0.595164,-5.886363,5.625534
0.010000,2.168232,10.159907,2.371973,3.702487,0.536900,-5.826346,5.620300
0.010000,2.197396,10.137019,2.409046,3.707277,0.479051,-5.784888,5.615317
0.010000,2.226481,10.113964,2.446161,3.711491,0.421421,-5.763003,5.610590
0.010000,2.255489,10.090752,2.483312,3.715129,0.363805,-5.761645,5.606125
0.010000,2.284420,10.067396,2.520494,3.718189,0.305988,-5.781694,5.601928
0.010000,2.313275,10.043907,2.557701,3.720667,0.247748,-5.823942,5.598005
0.010000,2.342055,10.020297,2.594926,3.722555,0.188857,-5.889111,5.594362
0.010000,2.370763,9.996579,2.632165,3.723846,0.129078,-5.977917,5.591004
