dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000010,9.000000,0.000030,0.005970,0.597015,59.701493,0.000010
0.010000,0.000052,9.000000,0.000072,0.004194,-0.177619,-77.463433,6.283138
0.010000,0.000191,9.000000,0.000211,0.013969,0.977523,115.514279,6.283009
0.010000,0.000440,9.000000,0.000460,0.024831,1.086218,10.869482,6.282779
0.010000,0.000828,9.000000,0.000848,0.038792,1.396065,30.984702,6.282421
0.010000,0.001370,8.999999,0.001391,0.054295,1.550250,15.418453,6.281919
0.010000,0.002068,8.999998,0.002088,0.069783,1.548825,-0.142480,6.281274
0.010000,0.002921,8.999996,0.002941,0.085253,1.547002,-0.182275,6.280485
0.010000,0.003928,8.999993,0.003948,0.100701,1.544788,-0.221377,6.279551
0.010000,0.005089,8.999988,0.005109,0.116123,1.542192,-0.259626,6.278474
0.010000,0.006404,8.999981,0.006424,0.131515,1.539224,-0.296857,6.277251
0.010000,0.007873,8.999971,0.007893,0.146874,1.535895,-0.332900,6.275884
0.010000,0.009495,8.999958,0.009515,0.162196,1.532219,-0.367569,6.274372
0.010000,0.011269,8.999941,0.011290,0.177478,1.528212,-0.400729,6.272714
0.010000,0.013197,8.999919,0.013217,0.192717,1.523890,-0.432123,6.270910
0.010000,0.015275,8.999892,0.015296,0.207910,1.519275,-0.461544,6.268959
0.010000,0.017506,8.999858,0.017527,0.223054,1.514386,-0.488914,6.266861
0.010000,0.019887,8.999816,0.019908,0.238146,1.509247,-0.513877,6.264616
0.010000,0.022418,8.999766,0.022440,0.253185,1.503885,-0.536234,6.262222
0.010000,0.025099,8.999706,0.025122,0.268168,1.498327,-0.555755,6.259680
0.010000,0.027929,8.999636,0.027953,0.283094,1.492604,-0.572323,6.256989
0.010000,0.030908,8.999554,0.030932,0.297962,1.486749,-0.585471,6.254147
0.010000,0.034034,8.999458,0.034060,0.312770,1.480799,-0.595045,6.251156
0.010000,0.037307,8.999348,0.037335,0.327518,1.474791,-0.600753,6.248013
0.010000,0.040727,8.999222,0.040757,0.342205,1.468768,-0.602282,6.244719
0.010000,0.044292,8.999079,0.044325,0.356833,1.462775,-0.599378,6.241272
0.010000,0.048003,8.998917,0.048040,0.371402,1.456858,-0.591652,6.237673
0.010000,0.051858,8.998734,0.051899,0.385912,1.451070,-0.578847,6.233920
0.010000,0.055856,8.998529,0.055902,0.400367,1.445464,-0.560550,6.230013
0.010000,0.059998,8.998300,0.060050,0.414768,1.440100,-0.536465,6.225952
0.010000,0.064281,8.998046,0.064341,0.429118,1.435036,-0.506320,6.221735
0.010000,0.068706,8.997764,0.068775,0.443422,1.430341,-0.469501,6.217364
0.010000,0.073273,8.997452,0.073352,0.457683,1.426082,-0.425929,6.212836
0.010000,0.077979,8.997109,0.078071,0.471906,1.422331,-0.375059,6.208152
0.010000,0.082826,8.996733,0.082932,0.486098,1.419166,-0.316493,6.203312
0.010000,0.087811,8.996322,0.087935,0.500264,1.416666,-0.250034,6.198314
0.010000,0.092936,8.995872,0.093079,0.514413,1.414915,-0.175146,6.193160
0.010000,0.098199,8.995383,0.098365,0.528553,1.414000,-0.091480,6.187848
0.010000,0.103600,8.994852,0.103791,0.542693,1.414012,0.001229,6.182380
0.010000,0.109138,8.994276,0.109360,0.556844,1.415047,0.103469,6.176754
0.010000,0.114814,8.993653,0.115070,0.571016,1.417200,0.215319,6.170972
0.010000,0.120628,8.992980,0.120922,0.585222,1.420574,0.337348,6.165033
0.010000,0.126578,8.992256,0.126917,0.599474,1.425271,0.469736,6.158938
0.010000,0.132667,8.991476,0.133055,0.613788,1.431396,0.612511,6.152688
