dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,10.000000,0.000030,0.005970,0.597015,59.701493,0.000010
0.010000,0.000099,10.000000,0.000149,0.017910,1.194030,59.701493,6.283138
0.010000,0.000368,10.000000,0.000418,0.035821,1.791045,59.701493,6.283009
0.010000,0.000846,10.000000,0.000896,0.059701,2.388060,59.701493,6.282779
0.010000,0.001592,9.999999,0.001642,0.089552,2.985075,59.701493,6.282421
0.010000,0.002637,9.999998,0.002687,0.119403,2.985075,-0.000000,6.281919
0.010000,0.003980,9.999996,0.004030,0.149254,2.985075,0.000000,6.281274
0.010000,0.005622,9.999992,0.005672,0.179104,2.985075,-0.000000,6.280485
0.010000,0.007562,9.999986,0.007612,0.208955,2.985075,-0.000000,6.279551
0.010000,0.009801,9.999977,0.009851,0.238806,2.985075,0.000000,6.278474
0.010000,0.012338,9.999963,0.012388,0.268657,2.985075,0.000000,6.277251
0.010000,0.015174,9.999945,0.015224,0.298507,2.985075,0.000000,6.275884
0.010000,0.018308,9.999919,0.018358,0.328358,2.985075,-0.000000,6.274372
0.010000,0.021741,9.999886,0.021791,0.358209,2.985075,0.000000,6.272714
0.010000,0.025472,9.999844,0.025522,0.388060,2.985075,-0.000000,6.270910
0.010000,0.029501,9.999790,0.029552,0.417910,2.985075,0.000000,6.268959
0.010000,0.033829,9.999724,0.033881,0.447761,2.985075,0.000000,6.266861
0.010000,0.038455,9.999644,0.038507,0.477612,2.985075,0.000000,6.264616
0.010000,0.043380,9.999546,0.043433,0.507463,2.985075,0.000000,6.262222
0.010000,0.048602,9.999430,0.048657,0.537313,2.985075,-0.000000,6.259680
0.010000,0.054123,9.999293,0.054179,0.567164,2.985075,0.000000,6.256989
0.010000,0.059942,9.999132,0.060000,0.597015,2.985075,-0.000000,6.254147
0.010000,0.066058,9.998945,0.066119,0.626866,2.985075,0.000000,6.251156
0.010000,0.072472,9.998730,0.072537,0.656716,2.985075,0.000000,6.248013
0.010000,0.079184,9.998483,0.079254,0.686567,2.985075,0.000000,6.244719
0.010000,0.086194,9.998201,0.086269,0.716418,2.985075,0.000000,6.241272
0.010000,0.093500,9.997881,0.093582,0.746269,2.985075,-0.000000,6.237673
0.010000,0.101103,9.997521,0.101194,0.776119,2.985075,0.000000,6.233920
0.010000,0.109003,9.997116,0.109104,0.805970,2.985075,-0.000000,6.230013
0.010000,0.117200,9.996663,0.117313,0.835821,2.985075,0.000000,6.225952
0.010000,0.125692,9.996158,0.125821,0.865672,2.985075,-0.000000,6.221735
0.010000,0.134481,9.995598,0.134627,0.895522,2.985075,0.000000,6.217364
0.010000,0.143564,9.994979,0.143731,0.925373,2.985075,0.000000,6.212836
0.010000,0.152942,9.994296,0.153134,0.955224,2.985075,0.000000,6.208152
0.010000,0.162614,9.993545,0.162836,0.985075,2.985075,0.000000,6.203312
0.010000,0.172581,9.992722,0.172836,1.014925,2.985075,0.000000,6.198314
0.010000,0.182840,9.991823,0.183134,1.044776,2.985075,0.000000,6.193160
0.010000,0.193391,9.990842,0.193731,1.074627,2.985075,-0.000000,6.187848
0.010000,0.204234,9.989775,0.204627,1.104478,2.985075,0.000000,6.182380
0.010000,0.215368,9.988618,0.215821,1.134328,2.985075,0.000000,6.176754
0.010000,0.226792,9.987364,0.227313,1.164179,2.985075,-0.000000,6.170972
0.010000,0.238505,9.986009,0.239104,1.194030,2.985075,0.000000,6.165033
0.010000,0.250506,9.984547,0.251194,1.223881,2.985075,-0.000000,6.158938
0.010000,0.262794,9.982973,0.263582,1.253731,2.985075,0.000000,6.152688
0.010000,0.275367,9.981282,0.276269,1.283582,2.985075,0.000000,6.146283
0.010000,0.288225,9.979468,0.289254,1.313433,2.985075,-0.000000,6.139725
0.010000,0.301365,9.977525,0.302537,1.343284,2.985075,0.000000,6.133014
0.010000,0.314787,9.975447,0.316119,1.373134,2.985075,-0.000000,6.126152
0.010000,0.328490,9.973228,0.330000,1.402985,2.985075,0.000000,6.119140
0.010000,0.342470,9.970862,0.344179,1.432836,2.985075,0.000000,6.111979
0.010000,0.356727,9.968343,0.358657,1.462687,2.985075,-0.000000,6.104673
0.010000,0.371258,9.965665,0.373433,1.492537,2.985075,0.000000,6.097223
0.010000,0.386062,9.962822,0.388507,1.522388,2.985075,-0.000000,6.089631
0.010000,0.401137,9.959807,0.403881,1.552239,2.985075,0.000000,6.081900
0.010000,0.416479,9.956613,0.419552,1.582090,2.985075,0.000000,6.074033
0.010000,0.432088,9.953235,0.435522,1.611940,2.985075,-0.000000,6.066033
0.010000,0.447960,9.949665,0.451791,1.641791,2.985075,0.000000,6.057904
0.010000,0.464093,9.945898,0.468358,1.671642,2.985075,-0.000000,6.049648
0.010000,0.480485,9.941926,0.485224,1.701493,2.985075,0.000000,6.041271
0.010000,0.497131,9.937743,0.502388,1.731343,2.985075,-0.000000,6.032777
0.010000,0.514030,9.933343,0.519851,1.761194,2.985075,0.000000,6.024170
0.010000,0.531179,9.928719,0.537612,1.791045,2.985075,-0.000000,6.015454
0.010000,0.548574,9.923865,0.555672,1.820896,2.985075,0.000000,6.006636
0.010000,0.566212,9.918774,0.574030,1.850746,2.985075,-0.000000,5.997721
0.010000,0.584090,9.913439,0.592687,1.880597,2.985075,0.000000,5.988714
0.010000,0.602204,9.907855,0.611642,1.910448,2.985075,-0.000000,5.979622
