dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000151,24.570000,0.000198,0.019786,0.989296,49.464793,6.283183
0.020000,0.000960,24.570000,0.001006,0.040426,1.032012,2.135800,6.283172
0.020000,0.002779,24.570000,0.002826,0.090958,2.526585,74.728670,6.283146
0.020000,0.005811,24.570000,0.005857,0.151593,3.031777,25.259572,6.283104
0.020000,0.010055,24.569999,0.010102,0.212224,3.031549,-0.011396,6.283044
0.020000,0.015512,24.569998,0.015559,0.272849,3.031230,-0.015955,6.282967
0.020000,0.022181,24.569997,0.022228,0.333465,3.030819,-0.020514,6.282874
0.020000,0.030063,24.569994,0.030110,0.394072,3.030318,-0.025074,6.282764
0.020000,0.039156,24.569989,0.039203,0.454666,3.029725,-0.029634,6.282638
0.020000,0.049461,24.569983,0.049508,0.515247,3.029041,-0.034194,6.282495
0.020000,0.060977,24.569974,0.061024,0.575812,3.028266,-0.038755,6.282336
0.020000,0.073705,24.569962,0.073751,0.636360,3.027400,-0.043317,6.282161
0.020000,0.087642,24.569946,0.087689,0.696889,3.026442,-0.047879,6.281971
0.020000,0.102790,24.569927,0.102837,0.757397,3.025394,-0.052442,6.281765
0.020000,0.119148,24.569901,0.119195,0.817882,3.024253,-0.057006,6.281545
0.020000,0.136715,24.569871,0.136762,0.878343,3.023022,-0.061571,6.281309
0.020000,0.155490,24.569833,0.155537,0.938777,3.021699,-0.066136,6.281059
0.020000,0.175474,24.569788,0.175521,0.999182,3.020285,-0.070703,6.280796
0.020000,0.196665,24.569734,0.196712,1.059558,3.018780,-0.075270,6.280518
0.020000,0.219063,24.569671,0.219110,1.119902,3.017183,-0.079838,6.280228
0.020000,0.242667,24.569598,0.242714,1.180211,3.015495,-0.084406,6.279925
0.020000,0.267476,24.569513,0.267524,1.240486,3.013715,-0.088976,6.279610
0.020000,0.293491,24.569416,0.293538,1.300723,3.011844,-0.093546,6.279282
0.020000,0.320709,24.569305,0.320757,1.360920,3.009882,-0.098116,6.278944
0.020000,0.349130,24.569180,0.349178,1.421077,3.007828,-0.102687,6.278595
0.020000,0.378754,24.569038,0.378802,1.481191,3.005683,-0.107259,6.278236
0.020000,0.409578,24.568880,0.409627,1.541259,3.003447,-0.111831,6.277868
0.020000,0.441604,24.568704,0.441653,1.601282,3.001119,-0.116403,6.277490
0.020000,0.474828,24.568508,0.474878,1.661256,2.998699,-0.120976,6.277105
0.020000,0.509251,24.568292,0.509302,1.721180,2.996188,-0.125548,6.276712
0.020000,0.544871,24.568054,0.544923,1.781051,2.993586,-0.130121,6.276312
0.020000,0.581688,24.567794,0.581740,1.840869,2.990892,-0.134693,6.275906
0.020000,0.619699,24.567509,0.619753,1.900631,2.988107,-0.139265,6.275494
0.020000,0.658905,24.567199,0.658959,1.960336,2.985230,-0.143837,6.275078
0.020000,0.699303,24.566863,0.699359,2.019981,2.982262,-0.148408,6.274658
0.020000,0.740893,24.566500,0.740950,2.079565,2.979202,-0.152978,6.274235
0.020000,0.783673,24.566108,0.783732,2.139086,2.976051,-0.157548,6.273810
0.020000,0.827641,24.565686,0.827703,2.198542,2.972809,-0.162118,6.273384
0.020000,0.872798,24.565234,0.872861,2.257932,2.969475,-0.166686,6.272957
0.020000,0.919140,24.564750,0.919207,2.317253,2.966050,-0.171254,6.272530
0.020000,0.966668,24.564233,0.966737,2.376503,2.962534,-0.175820,6.272105
0.020000,1.015378,24.563683,1.015450,2.435682,2.958926,-0.180386,6.271683
0.020000,1.065270,24.563099,1.065346,2.494787,2.955227,-0.184951,6.271263
0.020000,1.116343,24.562479,1.116422,2.553815,2.951436,-0.189514,6.270849
0.020000,1.168594,24.561824,1.168678,2.612766,2.947555,-0.194077,6.270439
0.020000,1.222023,24.561132,1.222110,2.671638,2.943582,-0.198639,6.270036
0.020000,1.276626,24.560403,1.276719,2.730428,2.939518,-0.203199,6.269641
0.020000,1.332404,24.559637,1.332502,2.789136,2.935363,-0.207759,6.269254
0.020000,1.389353,24.558832,1.389457,2.847758,2.931117,-0.212318,6.268878
0.020000,1.447473,24.557990,1.447583,2.906294,2.926779,-0.216877,6.268512
0.020000,1.506761,24.557109,1.506877,2.964741,2.922350,-0.221435,6.268158
0.020000,1.567216,24.556190,1.567339,3.023097,2.917831,-0.225992,6.267817
0.020000,1.628836,24.555233,1.628967,3.081362,2.913220,-0.230550,6.267492
0.020000,1.691619,24.554238,1.691757,3.139532,2.908517,-0.235107,6.267182
0.020000,1.755562,24.553205,1.755709,3.197606,2.903724,-0.239665,6.266889
0.020000,1.820665,24.552135,1.820821,3.255583,2.898840,-0.244223,6.266614
0.020000,1.886925,24.551028,1.887090,3.313460,2.893864,-0.248782,6.266360
0.020000,1.954340,24.549886,1.954515,3.371236,2.888797,-0.253342,6.266126
0.020000,2.022908,24.548709,2.023093,3.428909,2.883639,-0.257903,6.265915
0.020000,2.092627,24.547498,2.092823,3.486477,2.878390,-0.262465,6.265727
0.020000,2.163495,24.546255,2.163702,3.543938,2.873049,-0.267029,6.265565
0.020000,2.235510,24.544980,2.235727,3.601290,2.867617,-0.271595,6.265430
0.020000,2.308669,24.543677,2.308898,3.658532,2.862094,-0.276163,6.265323
0.020000,2.382970,24.542347,2.383211,3.715662,2.856479,-0.280732,6.265246
0.020000,2.458214,24.540995,2.458467,3.762778,2.355832,-25.032373,6.265200
0.020000,2.533965,24.539632,2.534230,3.788183,1.270243,-54.279469,6.265186
0.020000,2.609594,24.538271,2.609871,3.782046,-0.306847,-78.854493,6.265206
