dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000145,21.570000,0.000198,0.019786,0.989296,49.464793,6.283183
0.020000,0.000919,21.570000,0.000972,0.038718,0.946580,-2.135800,6.283172
0.020000,0.002661,21.570000,0.002715,0.087115,2.419894,73.665709,6.283146
0.020000,0.005565,21.570000,0.005618,0.145195,2.903998,24.205221,6.283104
0.020000,0.009631,21.569999,0.009684,0.203280,2.904226,0.011396,6.283044
0.020000,0.014858,21.569998,0.014911,0.261371,2.904545,0.015955,6.282967
0.020000,0.021248,21.569997,0.021301,0.319470,2.904956,0.020514,6.282874
0.020000,0.028799,21.569994,0.028852,0.377579,2.905457,0.025073,6.282764
0.020000,0.037513,21.569990,0.037566,0.435700,2.906050,0.029633,6.282638
0.020000,0.047390,21.569984,0.047443,0.493835,2.906734,0.034194,6.282495
0.020000,0.058430,21.569975,0.058483,0.551985,2.907509,0.038755,6.282336
0.020000,0.070633,21.569964,0.070686,0.610152,2.908375,0.043317,6.282161
0.020000,0.083999,21.569949,0.084053,0.668339,2.909333,0.047879,6.281971
0.020000,0.098530,21.569930,0.098584,0.726547,2.910382,0.052442,6.281765
0.020000,0.114226,21.569906,0.114279,0.784777,2.911522,0.057006,6.281545
0.020000,0.131086,21.569876,0.131140,0.843032,2.912753,0.061571,6.281309
0.020000,0.149113,21.569840,0.149166,0.901314,2.914076,0.066136,6.281059
0.020000,0.168305,21.569796,0.168359,0.959624,2.915490,0.070703,6.280796
0.020000,0.188664,21.569745,0.188718,1.017963,2.916995,0.075270,6.280518
0.020000,0.210191,21.569684,0.210244,1.076335,2.918592,0.079838,6.280228
0.020000,0.232886,21.569614,0.232939,1.134741,2.920280,0.084406,6.279925
0.020000,0.256749,21.569532,0.256803,1.193182,2.922060,0.088976,6.279610
0.020000,0.281782,21.569439,0.281836,1.251661,2.923931,0.093546,6.279282
0.020000,0.307986,21.569332,0.308040,1.310179,2.925893,0.098116,6.278944
0.020000,0.335360,21.569211,0.335414,1.368737,2.927947,0.102687,6.278595
0.020000,0.363907,21.569075,0.363961,1.427339,2.930092,0.107259,6.278236
0.020000,0.393626,21.568922,0.393681,1.485986,2.932328,0.111831,6.277868
0.020000,0.424519,21.568752,0.424575,1.544679,2.934657,0.116403,6.277490
0.020000,0.456587,21.568563,0.456643,1.603421,2.937076,0.120976,6.277105
0.020000,0.489830,21.568355,0.489887,1.662212,2.939587,0.125548,6.276712
0.020000,0.524251,21.568125,0.524308,1.721056,2.942189,0.130121,6.276312
0.020000,0.559849,21.567873,0.559907,1.779954,2.944883,0.134693,6.275906
0.020000,0.596626,21.567598,0.596686,1.838907,2.947669,0.139265,6.275494
0.020000,0.634583,21.567298,0.634644,1.897918,2.950545,0.143837,6.275078
0.020000,0.673722,21.566972,0.673784,1.956988,2.953513,0.148408,6.274658
0.020000,0.714042,21.566620,0.714106,2.016120,2.956573,0.152979,6.274235
0.020000,0.755547,21.566240,0.755612,2.075314,2.959724,0.157549,6.273810
0.020000,0.798237,21.565830,0.798304,2.134574,2.962966,0.162118,6.273384
0.020000,0.842112,21.565391,0.842182,2.193900,2.966300,0.166687,6.272957
0.020000,0.887176,21.564920,0.887248,2.253294,2.969725,0.171254,6.272530
0.020000,0.933428,21.564417,0.933503,2.312759,2.973242,0.175821,6.272105
0.020000,0.980871,21.563882,0.980949,2.372296,2.976849,0.180386,6.271683
0.020000,1.029506,21.563312,1.029587,2.431907,2.980548,0.184951,6.271263
0.020000,1.079334,21.562707,1.079419,2.491594,2.984339,0.189515,6.270849
0.020000,1.130357,21.562067,1.130446,2.551358,2.988220,0.194077,6.270439
0.020000,1.182577,21.561391,1.182670,2.611202,2.992193,0.198639,6.270036
