dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000148,23.070000,0.000198,0.019786,0.989296,49.464793,6.283183
0.020000,0.000939,23.070000,0.000989,0.059358,1.978592,49.464793,6.283172
0.020000,0.002720,23.070000,0.002770,0.118716,2.967888,49.464793,6.283146
0.020000,0.005688,23.070000,0.005738,0.178073,2.967888,0.000000,6.283104
0.020000,0.009843,23.069999,0.009893,0.237431,2.967888,0.000000,6.283044
0.020000,0.015185,23.069998,0.015235,0.296789,2.967888,0.000000,6.282967
0.020000,0.021715,23.069997,0.021765,0.356147,2.967888,-0.000000,6.282874
0.020000,0.029431,23.069994,0.029481,0.415504,2.967888,0.000000,6.282764
0.020000,0.038335,23.069989,0.038385,0.474862,2.967888,0.000000,6.282638
0.020000,0.048425,23.069983,0.048475,0.534220,2.967888,0.000000,6.282495
0.020000,0.059703,23.069975,0.059753,0.593578,2.967888,0.000000,6.282336
0.020000,0.072169,23.069963,0.072219,0.652935,2.967888,-0.000000,6.282161
0.020000,0.085821,23.069948,0.085871,0.712293,2.967888,0.000000,6.281971
0.020000,0.100660,23.069928,0.100710,0.771651,2.967888,0.000000,6.281765
0.020000,0.116687,23.069904,0.116737,0.831009,2.967888,-0.000000,6.281545
0.020000,0.133901,23.069873,0.133951,0.890366,2.967888,0.000000,6.281309
0.020000,0.152301,23.069836,0.152352,0.949724,2.967888,0.000000,6.281059
0.020000,0.171889,23.069792,0.171940,1.009082,2.967888,0.000000,6.280796
0.020000,0.192665,23.069740,0.192715,1.068440,2.967888,0.000000,6.280518
0.020000,0.214627,23.069678,0.214677,1.127797,2.967888,0.000000,6.280228
0.020000,0.237776,23.069606,0.237827,1.187155,2.967888,0.000000,6.279925
0.020000,0.262113,23.069523,0.262163,1.246513,2.967888,-0.000000,6.279610
0.020000,0.287636,23.069427,0.287687,1.305871,2.967888,0.000000,6.279282
0.020000,0.314347,23.069319,0.314398,1.365228,2.967888,0.000000,6.278944
0.020000,0.342245,23.069195,0.342296,1.424586,2.967888,0.000000,6.278595
0.020000,0.371330,23.069057,0.371382,1.483944,2.967888,0.000000,6.278236
0.020000,0.401602,23.068901,0.401654,1.543302,2.967888,0.000000,6.277868
0.020000,0.433061,23.068728,0.433114,1.602659,2.967888,0.000000,6.277490
0.020000,0.465707,23.068536,0.465760,1.662017,2.967888,-0.000000,6.277105
0.020000,0.499541,23.068323,0.499594,1.721375,2.967888,0.000000,6.276712
0.020000,0.534561,23.068090,0.534615,1.780733,2.967888,0.000000,6.276312
0.020000,0.570768,23.067833,0.570824,1.840090,2.967888,0.000000,6.275906
0.020000,0.608163,23.067553,0.608219,1.899448,2.967888,0.000000,6.275494
0.020000,0.646744,23.067249,0.646802,1.958806,2.967888,0.000000,6.275078
0.020000,0.686512,23.066918,0.686571,2.018164,2.967888,0.000000,6.274658
0.020000,0.727468,23.066560,0.727528,2.077521,2.967888,-0.000000,6.274235
0.020000,0.769610,23.066174,0.769672,2.136879,2.967888,0.000000,6.273810
0.020000,0.812939,23.065758,0.813003,2.196237,2.967888,-0.000000,6.273384
0.020000,0.857455,23.065312,0.857522,2.255595,2.967888,0.000000,6.272957
0.020000,0.903158,23.064835,0.903227,2.314952,2.967888,-0.000000,6.272530
0.020000,0.950048,23.064325,0.950120,2.374310,2.967888,0.000000,6.272105
0.020000,0.998125,23.063782,0.998200,2.433668,2.967888,-0.000000,6.271683
0.020000,1.047388,23.063205,1.047466,2.493026,2.967888,0.000000,6.271263
0.020000,1.097839,23.062593,1.097921,2.552383,2.967888,0.000000,6.270849
0.020000,1.149476,23.061946,1.149562,2.611741,2.967888,-0.000000,6.270439
0.020000,1.202300,23.061262,1.202390,2.671099,2.967888,0.000000,6.270036
0.020000,1.256310,23.060541,1.256406,2.730457,2.967888,-0.000000,6.269641
0.020000,1.311508,23.059782,1.311608,2.789814,2.967888,0.000000,6.269254
0.020000,1.367892,23.058986,1.367998,2.849172,2.967888,-0.000000,6.268878
0.020000,1.425463,23.058152,1.425575,2.908530,2.967888,0.000000,6.268512
0.020000,1.484221,23.057279,1.484340,2.967888,2.967888,0.000000,6.268158
0.020000,1.544165,23.056368,1.544291,3.027245,2.967888,-0.000000,6.267817
0.020000,1.605296,23.055418,1.605429,3.086603,2.967888,0.000000,6.267492
0.020000,1.667614,23.054430,1.667755,3.145961,2.967888,-0.000000,6.267182
0.020000,1.731119,23.053404,1.731268,3.205319,2.967888,0.000000,6.266889
0.020000,1.795810,23.052341,1.795968,3.264676,2.967888,-0.000000,6.266614
0.020000,1.861688,23.051241,1.861855,3.324034,2.967888,0.000000,6.266360
0.020000,1.928752,23.050104,1.928929,3.383392,2.967888,0.000000,6.266126
0.020000,1.997004,23.048932,1.997190,3.442750,2.967888,-0.000000,6.265915
0.020000,2.066442,23.047726,2.066639,3.502107,2.967888,0.000000,6.265727
0.020000,2.137067,23.046487,2.137275,3.561465,2.967888,-0.000000,6.265565
0.020000,2.208878,23.045217,2.209098,3.620823,2.967888,0.000000,6.265430
0.020000,2.281877,23.043917,2.282108,3.680181,2.967888,-0.000000,6.265323
0.020000,2.356062,23.042588,2.356305,3.739538,2.967888,0.000000,6.265246
0.020000,2.431236,23.041238,2.431491,3.779110,1.978592,-49.464793,6.265200
0.020000,2.506968,23.039875,2.507235,3.795234,0.806212,-58.618995,6.265186
0.020000,2.582626,23.038513,2.582905,3.771787,-1.172380,-98.929586,6.265206
0.020000,2.657617,23.037166,2.657908,3.728553,-2.161676,-49.464793,6.265258
0.020000,2.731583,23.035843,2.731886,3.669196,-2.967888,-40.310591,6.265340
0.020000,2.804361,23.034548,2.804676,3.609838,-2.967888,0.000000,6.265453
0.020000,2.875953,23.033283,2.876279,3.550480,-2.967888,0.000000,6.265593
0.020000,2.946359,23.032050,2.946695,3.491122,-2.967888,-0.000000,6.265760
0.020000,3.015577,23.030851,3.015924,3.431765,-2.967888,0.000000,6.265952
0.020000,3.083609,23.029685,3.083966,3.372407,-2.967888,-0.000000,6.266167
0.020000,3.150454,23.028555,3.150821,3.313049,-2.967888,0.000000,6.266405
0.020000,3.216112,23.027462,3.216488,3.253691,-2.967888,-0.000000,6.266663
0.020000,3.280584,23.026405,3.280968,3.194334,-2.967888,0.000000,6.266941
0.020000,3.343869,23.025386,3.344261,3.134976,-2.967888,-0.000000,6.267237
0.020000,3.405967,23.024406,3.406367,3.075618,-2.967888,0.000000,6.267550
0.020000,3.466878,23.023463,3.467286,3.016260,-2.967888,0.000000,6.267879
0.020000,3.526603,23.022559,3.527018,2.956903,-2.967888,-0.000000,6.268222
0.020000,3.585141,23.021693,3.585562,2.897545,-2.967888,0.000000,6.268578
0.020000,3.642493,23.020866,3.642919,2.838187,-2.967888,-0.000000,6.268946
0.020000,3.698657,23.020077,3.699090,2.778829,-2.967888,0.000000,6.269324
0.020000,3.753635,23.019325,3.754073,2.719472,-2.967888,-0.000000,6.269713
0.020000,3.807426,23.018611,3.807868,2.660114,-2.967888,0.000000,6.270109
0.020000,3.860030,23.017934,3.860477,2.600756,-2.967888,0.000000,6.270514
0.020000,3.911448,23.017292,3.911899,2.541398,-2.967888,-0.000000,6.270924
0.020000,3.961679,23.016687,3.962133,2.482041,-2.967888,0.000000,6.271340
0.020000,4.010723,23.016116,4.011180,2.422683,-2.967888,0.000000,6.271759
0.020000,4.058580,23.015579,4.059040,2.363325,-2.967888,0.000000,6.272183
0.020000,4.105250,23.015076,4.105713,2.303967,-2.967888,-0.000000,6.272608
0.020000,4.150733,23.014604,4.151199,2.244610,-2.967888,0.000000,6.273034
0.020000,4.195030,23.014164,4.195498,2.185252,-2.967888,0.000000,6.273461
0.020000,4.238139,23.013754,4.238609,2.125894,-2.967888,-0.000000,6.273887
0.020000,4.280062,23.013373,4.280534,2.066536,-2.967888,0.000000,6.274312
0.020000,4.320797,23.013020,4.321271,2.007179,-2.967888,-0.000000,6.274735
0.020000,4.360346,23.012694,4.360821,1.947821,-2.967888,0.000000,6.275154
0.020000,4.398708,23.012394,4.399183,1.888463,-2.967888,-0.000000,6.275569
0.020000,4.435882,23.012119,4.436359,1.829105,-2.967888,0.000000,6.275980
0.020000,4.471870,23.011866,4.472348,1.769748,-2.967888,0.000000,6.276385
0.020000,4.506671,23.011637,4.507149,1.710390,-2.967888,0.000000,6.276783
0.020000,4.540284,23.011428,4.540763,1.651032,-2.967888,0.000000,6.277175
0.020000,4.572711,23.011239,4.573190,1.591674,-2.967888,0.000000,6.277559
0.020000,4.603950,23.011069,4.604430,1.532316,-2.967888,0.000000,6.277935
0.020000,4.634003,23.010917,4.634483,1.472959,-2.967888,0.000000,6.278302
0.020000,4.662868,23.010781,4.663349,1.413601,-2.967888,-0.000000,6.278659
0.020000,4.690546,23.010661,4.691027,1.354243,-2.967888,0.000000,6.279006
0.020000,4.717037,23.010555,4.717518,1.294885,-2.967888,0.000000,6.279342
0.020000,4.742341,23.010461,4.742822,1.235528,-2.967888,0.000000,6.279667
0.020000,4.766458,23.010380,4.766939,1.176170,-2.967888,0.000000,6.279980
0.020000,4.789388,23.010310,4.789869,1.116812,-2.967888,0.000000,6.280281
0.020000,4.811130,23.010250,4.811612,1.057454,-2.967888,0.000000,6.280569
0.020000,4.831686,23.010199,4.832167,0.998097,-2.967888,0.000000,6.280844
0.020000,4.851054,23.010157,4.851536,0.938739,-2.967888,-0.000000,6.281105
0.020000,4.869235,23.010121,4.869717,0.879381,-2.967888,0.000000,6.281352
0.020000,4.886229,23.010092,4.886711,0.820023,-2.967888,-0.000000,6.281585
0.020000,4.902036,23.010068,4.902518,0.760666,-2.967888,0.000000,6.281803
0.020000,4.916656,23.010049,4.917138,0.701308,-2.967888,0.000000,6.282005
0.020000,4.930088,23.010035,4.930570,0.641950,-2.967888,0.000000,6.282193
0.020000,4.942334,23.010024,4.942816,0.582592,-2.967888,-0.000000,6.282365
0.020000,4.953392,23.010016,4.953874,0.523235,-2.967888,0.000000,6.282521
0.020000,4.963263,23.010010,4.963745,0.463877,-2.967888,0.000000,6.282660
0.020000,4.971947,23.010006,4.972429,0.404519,-2.967888,-0.000000,6.282784
0.020000,4.979444,23.010003,4.979926,0.345161,-2.967888,0.000000,6.282891
0.020000,4.985753,23.010001,4.986235,0.285804,-2.967888,-0.000000,6.282981
0.020000,4.990876,23.010001,4.991358,0.226446,-2.967888,0.000000,6.283054
0.020000,4.994811,23.010000,4.995293,0.167088,-2.967888,-0.000000,6.283111
0.020000,4.997560,23.010000,4.998042,0.107730,-2.967888,0.000000,6.283150
0.020000,4.999157,23.010000,4.999639,0.052034,-2.784804,9.154202,6.283173
0.020000,4.999839,23.010000,5.000321,0.016124,-1.795508,49.464793,6.283183
0.020000,5.000000,23.010000,5.000482,0.000000,-0.806212,49.464793,0.000000
0.020000,5.000000,23.010000,5.000482,0.000000,0.000000,40.310591,0.000000
