dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,14.000000,0.000030,0.005982,0.598225,59.822501,0.000000
0.010000,0.000100,14.000000,0.000150,0.017947,1.196450,59.822501,0.000000
0.010000,0.000369,14.000000,0.000419,0.035894,1.794675,59.822501,0.000000
0.010000,0.000847,14.000000,0.000897,0.059823,2.392900,59.822501,0.000000
0.010000,0.001595,14.000000,0.001645,0.089734,2.991125,59.822501,0.000000
0.010000,0.002642,14.000000,0.002692,0.119645,2.991125,-0.000000,0.000000
0.010000,0.003988,14.000000,0.004038,0.149556,2.991125,0.000000,0.000000
0.010000,0.005633,14.000000,0.005683,0.179468,2.991125,0.000000,0.000000
0.010000,0.007577,14.000000,0.007627,0.209379,2.991125,0.000000,0.000000
0.010000,0.009821,14.000000,0.009871,0.239290,2.991125,-0.000000,0.000000
0.010000,0.012363,14.000000,0.012413,0.269201,2.991125,0.000000,0.000000
0.010000,0.015205,14.000000,0.015255,0.299113,2.991125,0.000000,0.000000
0.010000,0.018345,14.000000,0.018395,0.329024,2.991125,0.000000,0.000000
0.010000,0.021785,14.000000,0.021835,0.358935,2.991125,0.000000,0.000000
0.010000,0.025524,14.000000,0.025574,0.388846,2.991125,0.000000,0.000000
0.010000,0.029562,14.000000,0.029612,0.418758,2.991125,0.000000,0.000000
0.010000,0.033899,14.000000,0.033949,0.448669,2.991125,-0.000000,0.000000
0.010000,0.038536,14.000000,0.038586,0.478580,2.991125,0.000000,0.000000
0.010000,0.043471,14.000000,0.043521,0.508491,2.991125,0.000000,0.000000
0.010000,0.048705,14.000000,0.048755,0.538403,2.991125,-0.000000,0.000000
0.010000,0.054239,14.000000,0.054289,0.568314,2.991125,0.000000,0.000000
0.010000,0.060072,14.000000,0.060122,0.598225,2.991125,-0.000000,0.000000
0.010000,0.066203,14.000000,0.066253,0.628136,2.991125,0.000000,0.000000
0.010000,0.072634,14.000000,0.072684,0.658048,2.991125,0.000000,0.000000
0.010000,0.079364,14.000000,0.079414,0.687959,2.991125,-0.000000,0.000000
0.010000,0.086394,14.000000,0.086444,0.717870,2.991125,0.000000,0.000000
0.010000,0.093722,14.000000,0.093772,0.747781,2.991125,0.000000,0.000000
0.010000,0.101349,14.000000,0.101399,0.777693,2.991125,-0.000000,0.000000
0.010000,0.109276,14.000000,0.109326,0.807604,2.991125,0.000000,0.000000
0.010000,0.117501,14.000000,0.117551,0.837515,2.991125,-0.000000,0.000000
0.010000,0.126026,14.000000,0.126076,0.867426,2.991125,0.000000,0.000000
0.010000,0.134850,14.000000,0.134900,0.897338,2.991125,0.000000,0.000000
0.010000,0.143973,14.000000,0.144023,0.927249,2.991125,0.000000,0.000000
0.010000,0.153395,14.000000,0.153445,0.957160,2.991125,-0.000000,0.000000
0.010000,0.163116,14.000000,0.163166,0.987071,2.991125,0.000000,0.000000
0.010000,0.173136,14.000000,0.173186,1.016983,2.991125,0.000000,0.000000
0.010000,0.183456,14.000000,0.183506,1.046894,2.991125,-0.000000,0.000000
0.010000,0.194074,14.000000,0.194124,1.076805,2.991125,0.000000,0.000000
0.010000,0.204992,14.000000,0.205042,1.106716,2.991125,0.000000,0.000000
0.010000,0.216208,14.000000,0.216258,1.136628,2.991125,-0.000000,0.000000
0.010000,0.227724,14.000000,0.227774,1.166539,2.991125,0.000000,0.000000
0.010000,0.239539,14.000000,0.239589,1.196450,2.991125,0.000000,0.000000
0.010000,0.251653,14.000000,0.251703,1.226361,2.991125,0.000000,0.000000
0.010000,0.264066,14.000000,0.264116,1.256273,2.991125,0.000000,0.000000
0.010000,0.276779,14.000000,0.276829,1.286184,2.991125,0.000000,0.000000
0.010000,0.289790,14.000000,0.289840,1.316095,2.991125,-0.000000,0.000000
0.010000,0.303101,14.000000,0.303151,1.346006,2.991125,0.000000,0.000000
0.010000,0.316710,14.000000,0.316760,1.375918,2.991125,0.000000,0.000000
0.010000,0.330619,14.000000,0.330669,1.405829,2.991125,0.000000,0.000000
0.010000,0.344827,14.000000,0.344877,1.435740,2.991125,-0.000000,0.000000
0.010000,0.359334,14.000000,0.359384,1.465651,2.991125,0.000000,0.000000
0.010000,0.374140,14.000000,0.374190,1.495563,2.991125,0.000000,0.000000
0.010000,0.389245,14.000000,0.389295,1.525474,2.991125,-0.000000,0.000000
0.010000,0.404649,14.000000,0.404699,1.555385,2.991125,0.000000,0.000000
0.010000,0.420353,14.000000,0.420403,1.585296,2.991125,0.000000,0.000000
0.010000,0.436355,14.000000,0.436405,1.615208,2.991125,0.000000,0.000000
0.010000,0.452657,14.000000,0.452707,1.645119,2.991125,-0.000000,0.000000
0.010000,0.469258,14.000000,0.469308,1.675030,2.991125,0.000000,0.000000
0.010000,0.486157,14.000000,0.486207,1.704941,2.991125,0.000000,0.000000
0.010000,0.503356,14.000000,0.503406,1.734853,2.991125,0.000000,0.000000
0.010000,0.520854,14.000000,0.520904,1.764764,2.991125,0.000000,0.000000
0.010000,0.538652,14.000000,0.538702,1.794675,2.991125,0.000000,0.000000
0.010000,0.556748,14.000000,0.556798,1.824586,2.991125,0.000000,0.000000
0.010000,0.575143,14.000000,0.575193,1.854498,2.991125,-0.000000,0.000000
0.010000,0.593838,14.000000,0.593888,1.884409,2.991125,0.000000,0.000000
0.010000,0.612832,14.000000,0.612882,1.914320,2.991125,-0.000000,0.000000
0.010000,0.632124,14.000000,0.632174,1.944231,2.991125,0.000000,0.000000
0.010000,0.651716,14.000000,0.651766,1.974143,2.991125,0.000000,0.000000
0.010000,0.671607,14.000000,0.671657,2.004054,2.991125,0.000000,0.000000
0.010000,0.691797,14.000000,0.691847,2.033965,2.991125,-0.000000,0.000000
0.010000,0.712286,14.000000,0.712336,2.063876,2.991125,0.000000,0.000000
0.010000,0.733075,14.000000,0.733125,2.093788,2.991125,-0.000000,0.000000
0.010000,0.754162,14.000000,0.754212,2.123699,2.991125,0.000000,0.000000
0.010000,0.775549,14.000000,0.775599,2.153610,2.991125,-0.000000,0.000000
0.010000,0.797234,14.000000,0.797284,2.183521,2.991125,0.000000,0.000000
0.010000,0.819219,14.000000,0.819269,2.213433,2.991125,0.000000,0.000000
0.010000,0.841503,14.000000,0.841553,2.243344,2.991125,0.000000,0.000000
0.010000,0.864086,14.000000,0.864136,2.273255,2.991125,-0.000000,0.000000
0.010000,0.886968,14.000000,0.887018,2.303166,2.991125,0.000000,0.000000
0.010000,0.910149,14.000000,0.910199,2.333078,2.991125,-0.000000,0.000000
0.010000,0.933630,14.000000,0.933680,2.362989,2.991125,0.000000,0.000000
0.010000,0.957409,14.000000,0.957459,2.392900,2.991125,-0.000000,0.000000
0.010000,0.981488,14.000000,0.981538,2.422811,2.991125,0.000000,0.000000
0.010000,1.005865,14.000000,1.005915,2.452723,2.991125,-0.000000,0.000000
0.010000,1.030542,14.000000,1.030592,2.482634,2.991125,0.000000,0.000000
0.010000,1.055518,14.000000,1.055568,2.512545,2.991125,-0.000000,0.000000
0.010000,1.080793,14.000000,1.080843,2.542456,2.991125,0.000000,0.000000
0.010000,1.106367,14.000000,1.106417,2.572368,2.991125,0.000000,0.000000
0.010000,1.132240,14.000000,1.132290,2.602279,2.991125,-0.000000,0.000000
0.010000,1.158413,14.000000,1.158463,2.632190,2.991125,0.000000,0.000000
0.010000,1.184884,14.000000,1.184934,2.662101,2.991125,-0.000000,0.000000
0.010000,1.211655,14.000000,1.211705,2.692013,2.991125,0.000000,0.000000
0.010000,1.238724,14.000000,1.238774,2.721924,2.991125,-0.000000,0.000000
0.010000,1.266093,14.000000,1.266143,2.751835,2.991125,0.000000,0.000000
0.010000,1.293761,14.000000,1.293811,2.781746,2.991125,0.000000,0.000000
0.010000,1.321728,14.000000,1.321778,2.811658,2.991125,0.000000,0.000000
0.010000,1.349994,14.000000,1.350044,2.841569,2.991125,-0.000000,0.000000
0.010000,1.378560,14.000000,1.378610,2.871480,2.991125,0.000000,0.000000
0.010000,1.407424,14.000000,1.407474,2.901391,2.991125,-0.000000,0.000000
0.010000,1.436587,14.000000,1.436637,2.931303,2.991125,0.000000,0.000000
0.010000,1.466050,14.000000,1.466100,2.961214,2.991125,0.000000,0.000000
0.010000,1.495812,14.000000,1.495862,2.991125,2.991125,0.000000,0.000000
0.010000,1.525872,14.000000,1.525922,3.021036,2.991125,-0.000000,0.000000
0.010000,1.556232,14.000000,1.556282,3.050948,2.991125,0.000000,0.000000
0.010000,1.586891,14.000000,1.586941,3.080859,2.991125,-0.000000,0.000000
0.010000,1.617850,14.000000,1.617900,3.110770,2.991125,0.000000,0.000000
0.010000,1.649107,14.000000,1.649157,3.140681,2.991125,-0.000000,0.000000
0.010000,1.680663,14.000000,1.680713,3.170593,2.991125,0.000000,0.000000
0.010000,1.712519,14.000000,1.712569,3.200504,2.991125,-0.000000,0.000000
0.010000,1.744673,14.000000,1.744723,3.230415,2.991125,0.000000,0.000000
0.010000,1.777127,14.000000,1.777177,3.260326,2.991125,-0.000000,0.000000
0.010000,1.809880,14.000000,1.809930,3.290238,2.991125,0.000000,0.000000
0.010000,1.842932,14.000000,1.842982,3.320149,2.991125,-0.000000,0.000000
0.010000,1.876283,14.000000,1.876333,3.350060,2.991125,0.000000,0.000000
0.010000,1.909933,14.000000,1.909983,3.379971,2.991125,-0.000000,0.000000
0.010000,1.943882,14.000000,1.943932,3.409883,2.991125,0.000000,0.000000
0.010000,1.978131,14.000000,1.978181,3.439794,2.991125,-0.000000,0.000000
0.010000,2.012678,14.000000,2.012728,3.469705,2.991125,0.000000,0.000000
0.010000,2.047525,14.000000,2.047575,3.499616,2.991125,-0.000000,0.000000
0.010000,2.082670,14.000000,2.082720,3.529528,2.991125,0.000000,0.000000
0.010000,2.118115,14.000000,2.118165,3.559439,2.991125,-0.000000,0.000000
0.010000,2.153859,14.000000,2.153909,3.589350,2.991125,0.000000,0.000000
0.010000,2.189902,14.000000,2.189952,3.619261,2.991125,0.000000,0.000000
0.010000,2.226244,14.000000,2.226294,3.649173,2.991125,-0.000000,0.000000
0.010000,2.262886,14.000000,2.262936,3.679084,2.991125,-0.000000,0.000000
0.010000,2.299826,14.000000,2.299876,3.708995,2.991125,0.000000,0.000000
0.010000,2.337066,14.000000,2.337116,3.738906,2.991125,-0.000000,0.000000
0.010000,2.374574,14.000000,2.374624,3.762835,2.392900,-59.822501,0.000000
0.010000,2.412292,14.000000,2.412342,3.780782,1.794675,-59.822501,0.000000
0.010000,2.450160,14.000000,2.450210,3.792747,1.196450,-59.822501,0.000000
0.010000,2.488117,14.000000,2.488167,3.798729,0.598225,-59.822501,0.000000
0.010000,2.526093,14.000000,2.526143,3.796481,-0.224757,-82.298166,0.000000
0.010000,2.564017,14.000000,2.564067,3.788251,-0.822982,-59.822501,0.000000
0.010000,2.601829,14.000000,2.601879,3.774039,-1.421207,-59.822501,0.000000
0.010000,2.639468,14.000000,2.639518,3.753845,-2.019432,-59.822501,0.000000
0.010000,2.676876,14.000000,2.676926,3.727668,-2.617657,-59.822501,0.000000
0.010000,2.714003,14.000000,2.714053,3.697757,-2.991125,-37.346836,0.000000
0.010000,2.750831,14.000000,2.750881,3.667846,-2.991125,-0.000000,0.000000
0.010000,2.787360,14.000000,2.787410,3.637935,-2.991125,0.000000,0.000000
0.010000,2.823589,14.000000,2.823639,3.608023,-2.991125,0.000000,0.000000
0.010000,2.859520,14.000000,2.859570,3.578112,-2.991125,-0.000000,0.000000
0.010000,2.895152,14.000000,2.895202,3.548201,-2.991125,0.000000,0.000000
0.010000,2.930484,14.000000,2.930534,3.518290,-2.991125,-0.000000,0.000000
0.010000,2.965517,14.000000,2.965567,3.488378,-2.991125,0.000000,0.000000
0.010000,3.000252,14.000000,3.000302,3.458467,-2.991125,-0.000000,0.000000
0.010000,3.034687,14.000000,3.034737,3.428556,-2.991125,0.000000,0.000000
0.010000,3.068823,14.000000,3.068873,3.398645,-2.991125,-0.000000,0.000000
0.010000,3.102660,14.000000,3.102710,3.368733,-2.991125,0.000000,0.000000
0.010000,3.136197,14.000000,3.136247,3.338822,-2.991125,-0.000000,0.000000
0.010000,3.169436,14.000000,3.169486,3.308911,-2.991125,0.000000,0.000000
0.010000,3.202376,14.000000,3.202426,3.279000,-2.991125,0.000000,0.000000
0.010000,3.235016,14.000000,3.235066,3.249088,-2.991125,0.000000,0.000000
0.010000,3.267357,14.000000,3.267407,3.219177,-2.991125,-0.000000,0.000000
0.010000,3.299400,14.000000,3.299450,3.189266,-2.991125,0.000000,0.000000
0.010000,3.331143,14.000000,3.331193,3.159355,-2.991125,-0.000000,0.000000
0.010000,3.362587,14.000000,3.362637,3.129443,-2.991125,0.000000,0.000000
0.010000,3.393732,14.000000,3.393782,3.099532,-2.991125,-0.000000,0.000000
0.010000,3.424577,14.000000,3.424627,3.069621,-2.991125,0.000000,0.000000
0.010000,3.455124,14.000000,3.455174,3.039710,-2.991125,-0.000000,0.000000
0.010000,3.485372,14.000000,3.485422,3.009798,-2.991125,0.000000,0.000000
0.010000,3.515320,14.000000,3.515370,2.979887,-2.991125,0.000000,0.000000
0.010000,3.544969,14.000000,3.545019,2.949976,-2.991125,-0.000000,0.000000
0.010000,3.574320,14.000000,3.574370,2.920065,-2.991125,0.000000,0.000000
0.010000,3.603371,14.000000,3.603421,2.890153,-2.991125,-0.000000,0.000000
0.010000,3.632123,14.000000,3.632173,2.860242,-2.991125,0.000000,0.000000
0.010000,3.660575,14.000000,3.660625,2.830331,-2.991125,-0.000000,0.000000
0.010000,3.688729,14.000000,3.688779,2.800420,-2.991125,0.000000,0.000000
0.010000,3.716584,14.000000,3.716634,2.770508,-2.991125,-0.000000,0.000000
0.010000,3.744139,14.000000,3.744189,2.740597,-2.991125,0.000000,0.000000
0.010000,3.771396,14.000000,3.771446,2.710686,-2.991125,-0.000000,0.000000
0.010000,3.798353,14.000000,3.798403,2.680775,-2.991125,0.000000,0.000000
0.010000,3.825011,14.000000,3.825061,2.650863,-2.991125,-0.000000,0.000000
0.010000,3.851370,14.000000,3.851420,2.620952,-2.991125,0.000000,0.000000
0.010000,3.877430,14.000000,3.877480,2.591041,-2.991125,0.000000,0.000000
0.010000,3.903191,14.000000,3.903241,2.561130,-2.991125,0.000000,0.000000
0.010000,3.928653,14.000000,3.928703,2.531218,-2.991125,-0.000000,0.000000
0.010000,3.953816,14.000000,3.953866,2.501307,-2.991125,0.000000,0.000000
0.010000,3.978679,14.000000,3.978729,2.471396,-2.991125,-0.000000,0.000000
0.010000,4.003243,14.000000,4.003293,2.441485,-2.991125,0.000000,0.000000
0.010000,4.027509,14.000000,4.027559,2.411573,-2.991125,-0.000000,0.000000
0.010000,4.051475,14.000000,4.051525,2.381662,-2.991125,0.000000,0.000000
0.010000,4.075142,14.000000,4.075192,2.351751,-2.991125,-0.000000,0.000000
0.010000,4.098510,14.000000,4.098560,2.321840,-2.991125,0.000000,0.000000
0.010000,4.121579,14.000000,4.121629,2.291928,-2.991125,-0.000000,0.000000
0.010000,4.144349,14.000000,4.144399,2.262017,-2.991125,0.000000,0.000000
0.010000,4.166819,14.000000,4.166869,2.232106,-2.991125,0.000000,0.000000
0.010000,4.188991,14.000000,4.189041,2.202195,-2.991125,0.000000,0.000000
0.010000,4.210863,14.000000,4.210913,2.172283,-2.991125,-0.000000,0.000000
