dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000006,25.000000,0.000030,0.005970,0.597015,59.701493,6.283181
0.010000,0.000044,25.000000,0.000068,0.003772,-0.219823,-81.683795,0.000003
0.010000,0.000289,25.000000,0.000313,0.024495,2.072356,229.217925,0.000019
0.010000,0.000724,25.000000,0.000748,0.043548,1.905233,-16.712370,0.000047
0.010000,0.001405,25.000000,0.001428,0.068044,2.449637,54.440430,0.000091
0.010000,0.002358,25.000000,0.002381,0.095263,2.721916,27.227908,0.000152
0.010000,0.003582,25.000000,0.003606,0.122484,2.722065,0.014891,0.000231
0.010000,0.005079,25.000001,0.005103,0.149707,2.722256,0.019166,0.000327
0.010000,0.006849,25.000002,0.006872,0.176931,2.722491,0.023416,0.000441
0.010000,0.008890,25.000003,0.008914,0.204159,2.722767,0.027683,0.000573
0.010000,0.011204,25.000004,0.011228,0.231390,2.723087,0.031961,0.000722
0.010000,0.013790,25.000006,0.013814,0.258624,2.723449,0.036239,0.000888
0.010000,0.016649,25.000009,0.016673,0.285863,2.723855,0.040524,0.001072
0.010000,0.019780,25.000013,0.019804,0.313106,2.724303,0.044815,0.001273
0.010000,0.023184,25.000017,0.023207,0.340354,2.724794,0.049114,0.001492
0.010000,0.026860,25.000023,0.026883,0.367607,2.725328,0.053422,0.001728
0.010000,0.030808,25.000031,0.030832,0.394866,2.725906,0.057739,0.001981
0.010000,0.035030,25.000039,0.035053,0.422132,2.726526,0.062065,0.002251
0.010000,0.039524,25.000050,0.039547,0.449404,2.727190,0.066402,0.002539
0.010000,0.044291,25.000063,0.044314,0.476682,2.727898,0.070760,0.002843
0.010000,0.049330,25.000078,0.049354,0.503969,2.728649,0.075107,0.003165
0.010000,0.054643,25.000096,0.054667,0.531263,2.729444,0.079478,0.003504
0.010000,0.060228,25.000116,0.060252,0.558566,2.730283,0.083880,0.003860
0.010000,0.066087,25.000140,0.066111,0.585878,2.731165,0.088266,0.004233
0.010000,0.072219,25.000167,0.072243,0.613199,2.732092,0.092678,0.004622
0.010000,0.078624,25.000198,0.078648,0.640529,2.733063,0.097120,0.005029
0.010000,0.085303,25.000233,0.085327,0.667870,2.734079,0.101543,0.005452
0.010000,0.092255,25.000273,0.092279,0.695222,2.735139,0.106019,0.005892
0.010000,0.099481,25.000317,0.099505,0.722584,2.736244,0.110487,0.006348
0.010000,0.106980,25.000366,0.107005,0.749958,2.737393,0.114971,0.006821
0.010000,0.114753,25.000421,0.114778,0.777344,2.738588,0.119499,0.007310
