dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000006,22.000000,0.000030,0.005970,0.597015,59.701493,6.283181
0.010000,0.000053,22.000000,0.000089,0.005879,-0.009132,-60.614698,0.000003
0.010000,0.000345,22.000000,0.000381,0.029236,2.335703,234.483530,0.000019
0.010000,0.000865,22.000000,0.000901,0.051975,2.273872,-6.183122,0.000047
0.010000,0.001677,22.000000,0.001713,0.081210,2.923498,64.962552,0.000091
0.010000,0.002814,22.000000,0.002850,0.113692,3.248233,32.473579,0.000152
0.010000,0.004275,22.000000,0.004311,0.146173,3.248084,-0.014901,0.000231
0.010000,0.006062,22.000001,0.006098,0.178652,3.247893,-0.019143,0.000327
0.010000,0.008173,22.000002,0.008209,0.211128,3.247659,-0.023424,0.000441
0.010000,0.010609,22.000003,0.010645,0.243602,3.247382,-0.027692,0.000573
0.010000,0.013370,22.000005,0.013406,0.276073,3.247062,-0.031959,0.000722
0.010000,0.016455,22.000007,0.016491,0.308540,3.246700,-0.036238,0.000888
0.010000,0.019865,22.000011,0.019901,0.341003,3.246295,-0.040523,0.001072
0.010000,0.023600,22.000015,0.023636,0.373461,3.245846,-0.044815,0.001273
0.010000,0.027659,22.000021,0.027695,0.405915,3.245355,-0.049115,0.001492
0.010000,0.032043,22.000028,0.032079,0.438363,3.244821,-0.053423,0.001728
0.010000,0.036751,22.000036,0.036787,0.470805,3.244244,-0.057741,0.001981
0.010000,0.041783,22.000047,0.041819,0.503242,3.243623,-0.062068,0.002251
0.010000,0.047140,22.000060,0.047176,0.535671,3.242959,-0.066406,0.002539
0.010000,0.052821,22.000075,0.052857,0.568094,3.242251,-0.070743,0.002843
0.010000,0.058826,22.000093,0.058862,0.600509,3.241500,-0.075119,0.003165
0.010000,0.065155,22.000114,0.065191,0.632916,3.240705,-0.079493,0.003504
0.010000,0.071808,22.000139,0.071844,0.665314,3.239867,-0.083860,0.003860
0.010000,0.078785,22.000167,0.078821,0.697704,3.238984,-0.088275,0.004233
0.010000,0.086086,22.000199,0.086122,0.730085,3.238057,-0.092689,0.004622
0.010000,0.093710,22.000236,0.093747,0.762456,3.237086,-0.097100,0.005029
0.010000,0.101658,22.000278,0.101695,0.794816,3.236070,-0.101567,0.005452
0.010000,0.109930,22.000325,0.109967,0.827166,3.235010,-0.106005,0.005892
0.010000,0.118525,22.000377,0.118562,0.859505,3.233905,-0.110489,0.006348
0.010000,0.127443,22.000436,0.127480,0.891833,3.232756,-0.114989,0.006821
0.010000,0.136684,22.000501,0.136721,0.924149,3.231561,-0.119474,0.007310
0.010000,0.146248,22.000574,0.146286,0.956452,3.230321,-0.124021,0.007816
0.010000,0.156135,22.000654,0.156173,0.988742,3.229035,-0.128562,0.008338
0.010000,0.166345,22.000741,0.166384,1.021019,3.227704,-0.133119,0.008876
0.010000,0.176878,22.000838,0.176916,1.053283,3.226327,-0.137700,0.009430
