dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,23.500000,0.000030,0.005970,0.597015,59.701493,6.283181
0.010000,0.000048,23.500000,0.000149,0.017910,1.194030,59.701493,0.000003
0.010000,0.000317,23.500000,0.000418,0.035821,1.791045,59.701493,0.000019
0.010000,0.000795,23.500000,0.000896,0.059701,2.388060,59.701493,0.000047
0.010000,0.001541,23.500000,0.001642,0.089552,2.985075,59.701493,0.000091
0.010000,0.002586,23.500000,0.002687,0.119403,2.985075,-0.000000,0.000152
0.010000,0.003929,23.500000,0.004030,0.149254,2.985075,0.000000,0.000231
0.010000,0.005571,23.500001,0.005672,0.179104,2.985075,-0.000000,0.000327
0.010000,0.007511,23.500002,0.007612,0.208955,2.985075,-0.000000,0.000441
0.010000,0.009750,23.500003,0.009851,0.238806,2.985075,0.000000,0.000573
0.010000,0.012287,23.500004,0.012388,0.268657,2.985075,0.000000,0.000722
0.010000,0.015123,23.500007,0.015224,0.298507,2.985075,0.000000,0.000888
0.010000,0.018257,23.500010,0.018358,0.328358,2.985075,-0.000000,0.001072
0.010000,0.021690,23.500014,0.021791,0.358209,2.985075,0.000000,0.001273
0.010000,0.025421,23.500019,0.025522,0.388060,2.985075,-0.000000,0.001492
0.010000,0.029451,23.500025,0.029552,0.417910,2.985075,0.000000,0.001728
0.010000,0.033780,23.500033,0.033881,0.447761,2.985075,0.000000,0.001981
0.010000,0.038406,23.500043,0.038507,0.477612,2.985075,0.000000,0.002251
0.010000,0.043332,23.500055,0.043433,0.507463,2.985075,0.000000,0.002539
0.010000,0.048556,23.500069,0.048657,0.537313,2.985075,-0.000000,0.002843
0.010000,0.054078,23.500086,0.054179,0.567164,2.985075,0.000000,0.003165
0.010000,0.059899,23.500105,0.060000,0.597015,2.985075,-0.000000,0.003504
0.010000,0.066018,23.500128,0.066119,0.626866,2.985075,0.000000,0.003860
0.010000,0.072436,23.500154,0.072537,0.656716,2.985075,0.000000,0.004233
0.010000,0.079152,23.500183,0.079254,0.686567,2.985075,0.000000,0.004622
0.010000,0.086167,23.500217,0.086269,0.716418,2.985075,0.000000,0.005029
0.010000,0.093481,23.500256,0.093582,0.746269,2.985075,-0.000000,0.005452
0.010000,0.101092,23.500299,0.101194,0.776119,2.985075,0.000000,0.005892
0.010000,0.109003,23.500347,0.109104,0.805970,2.985075,-0.000000,0.006348
0.010000,0.117212,23.500401,0.117313,0.835821,2.985075,0.000000,0.006821
0.010000,0.125719,23.500461,0.125821,0.865672,2.985075,-0.000000,0.007310
0.010000,0.134524,23.500528,0.134627,0.895522,2.985075,0.000000,0.007816
0.010000,0.143629,23.500601,0.143731,0.925373,2.985075,0.000000,0.008338
0.010000,0.153031,23.500682,0.153134,0.955224,2.985075,0.000000,0.008876
0.010000,0.162732,23.500771,0.162836,0.985075,2.985075,0.000000,0.009430
0.010000,0.172732,23.500868,0.172836,1.014925,2.985075,0.000000,0.010001
0.010000,0.183030,23.500974,0.183134,1.044776,2.985075,0.000000,0.010587
0.010000,0.193626,23.501090,0.193731,1.074627,2.985075,-0.000000,0.011189
0.010000,0.204521,23.501215,0.204627,1.104478,2.985075,0.000000,0.011806
0.010000,0.215714,23.501351,0.215821,1.134328,2.985075,0.000000,0.012439
0.010000,0.227206,23.501497,0.227313,1.164179,2.985075,-0.000000,0.013088
0.010000,0.238996,23.501656,0.239104,1.194030,2.985075,0.000000,0.013752
0.010000,0.251084,23.501826,0.251194,1.223881,2.985075,-0.000000,0.014431
0.010000,0.263471,23.502009,0.263582,1.253731,2.985075,0.000000,0.015125
0.010000,0.276156,23.502205,0.276269,1.283582,2.985075,0.000000,0.015835
0.010000,0.289139,23.502416,0.289254,1.313433,2.985075,-0.000000,0.016559
0.010000,0.302421,23.502641,0.302537,1.343284,2.985075,0.000000,0.017298
0.010000,0.316001,23.502881,0.316119,1.373134,2.985075,-0.000000,0.018051
0.010000,0.329879,23.503136,0.330000,1.402985,2.985075,0.000000,0.018819
0.010000,0.344056,23.503409,0.344179,1.432836,2.985075,0.000000,0.019602
0.010000,0.358530,23.503698,0.358657,1.462687,2.985075,-0.000000,0.020398
0.010000,0.373303,23.504006,0.373433,1.492537,2.985075,0.000000,0.021209
0.010000,0.388374,23.504332,0.388507,1.522388,2.985075,-0.000000,0.022033
0.010000,0.403744,23.504677,0.403881,1.552239,2.985075,0.000000,0.022872
0.010000,0.419411,23.505042,0.419552,1.582090,2.985075,0.000000,0.023723
0.010000,0.435377,23.505428,0.435522,1.611940,2.985075,-0.000000,0.024589
0.010000,0.451640,23.505835,0.451791,1.641791,2.985075,0.000000,0.025467
0.010000,0.468202,23.506264,0.468358,1.671642,2.985075,-0.000000,0.026359
0.010000,0.485061,23.506716,0.485224,1.701493,2.985075,0.000000,0.027263
0.010000,0.502219,23.507192,0.502388,1.731343,2.985075,-0.000000,0.028180
0.010000,0.519674,23.507692,0.519851,1.761194,2.985075,0.000000,0.029110
0.010000,0.537428,23.508217,0.537612,1.791045,2.985075,-0.000000,0.030053
0.010000,0.555479,23.508769,0.555672,1.820896,2.985075,0.000000,0.031007
0.010000,0.573828,23.509347,0.574030,1.850746,2.985075,-0.000000,0.031974
0.010000,0.592475,23.509952,0.592687,1.880597,2.985075,0.000000,0.032952
0.010000,0.611420,23.510586,0.611642,1.910448,2.985075,-0.000000,0.033942
0.010000,0.630662,23.511249,0.630896,1.940299,2.985075,0.000000,0.034943
0.010000,0.650202,23.511942,0.650448,1.970149,2.985075,-0.000000,0.035956
0.010000,0.670040,23.512666,0.670299,2.000000,2.985075,0.000000,0.036980
0.010000,0.690175,23.513421,0.690448,2.029851,2.985075,0.000000,0.038014
0.010000,0.710607,23.514209,0.710896,2.059701,2.985075,0.000000,0.039060
0.010000,0.731337,23.515030,0.731642,2.089552,2.985075,0.000000,0.040115
0.010000,0.752365,23.515885,0.752687,2.119403,2.985075,-0.000000,0.041181
0.010000,0.773689,23.516776,0.774030,2.149254,2.985075,0.000000,0.042257
0.010000,0.795311,23.517702,0.795672,2.179104,2.985075,0.000000,0.043343
0.010000,0.817231,23.518664,0.817612,2.208955,2.985075,0.000000,0.044438
0.010000,0.839447,23.519664,0.839851,2.238806,2.985075,-0.000000,0.045542
0.010000,0.861960,23.520703,0.862388,2.268657,2.985075,0.000000,0.046656
0.010000,0.884771,23.521781,0.885224,2.298507,2.985075,-0.000000,0.047778
0.010000,0.907878,23.522899,0.908358,2.328358,2.985075,0.000000,0.048909
0.010000,0.931282,23.524058,0.931791,2.358209,2.985075,0.000000,0.050048
0.010000,0.954983,23.525259,0.955522,2.388060,2.985075,0.000000,0.051196
0.010000,0.978981,23.526502,0.979552,2.417910,2.985075,-0.000000,0.052351
0.010000,1.003275,23.527789,1.003881,2.447761,2.985075,0.000000,0.053514
0.010000,1.027866,23.529121,1.028507,2.477612,2.985075,0.000000,0.054684
