dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000005,25.000000,0.000025,0.005000,0.500000,50.000000,0.000003
0.010000,-0.000001,25.000000,0.000029,0.000396,-0.460353,-96.035281,0.000001
0.010000,0.000207,25.000000,0.000237,0.020825,2.042891,250.324332,6.283180
0.010000,0.000623,25.000000,0.000653,0.041586,2.076041,3.315089,6.283169
0.010000,0.001247,25.000000,0.001277,0.062379,2.079274,0.323305,6.283154
0.010000,0.002079,25.000000,0.002109,0.083171,2.079256,-0.001821,6.283132
0.010000,0.003118,25.000000,0.003148,0.103963,2.079232,-0.002434,6.283106
0.010000,0.004366,25.000000,0.004396,0.124755,2.079202,-0.003024,6.283074
0.010000,0.005821,25.000000,0.005851,0.145547,2.079165,-0.003642,6.283037
0.010000,0.007485,24.999999,0.007515,0.166338,2.079123,-0.004246,6.282995
0.010000,0.009356,24.999999,0.009386,0.187129,2.079074,-0.004853,6.282948
0.010000,0.011435,24.999998,0.011465,0.207919,2.079020,-0.005465,6.282895
0.010000,0.013722,24.999998,0.013752,0.228709,2.078959,-0.006054,6.282837
0.010000,0.016217,24.999997,0.016247,0.249498,2.078892,-0.006688,6.282773
0.010000,0.018920,24.999995,0.018950,0.270286,2.078819,-0.007280,6.282705
0.010000,0.021831,24.999994,0.021861,0.291073,2.078741,-0.007886,6.282631
0.010000,0.024949,24.999992,0.024979,0.311860,2.078655,-0.008504,6.282552
0.010000,0.028276,24.999990,0.028306,0.332646,2.078564,-0.009104,6.282468
0.010000,0.031810,24.999987,0.031840,0.353430,2.078467,-0.009722,6.282378
0.010000,0.035552,24.999984,0.035582,0.374214,2.078364,-0.010320,6.282283
0.010000,0.039502,24.999980,0.039532,0.394996,2.078255,-0.010932,6.282183
0.010000,0.043660,24.999976,0.043690,0.415778,2.078139,-0.011553,6.282078
0.010000,0.048026,24.999971,0.048056,0.436558,2.078018,-0.012151,6.281968
0.010000,0.052599,24.999965,0.052629,0.457337,2.077890,-0.012770,6.281852
0.010000,0.057380,24.999958,0.057410,0.478114,2.077756,-0.013370,6.281731
0.010000,0.062369,24.999951,0.062399,0.498891,2.077616,-0.013996,6.281606
0.010000,0.067566,24.999942,0.067596,0.519665,2.077470,-0.014595,6.281474
0.010000,0.072970,24.999933,0.073000,0.540439,2.077318,-0.015221,6.281338
0.010000,0.078582,24.999922,0.078612,0.561210,2.077160,-0.015815,6.281197
0.010000,0.084402,24.999910,0.084432,0.581980,2.076995,-0.016451,6.281050
0.010000,0.090429,24.999896,0.090459,0.602748,2.076825,-0.017042,6.280899
0.010000,0.096664,24.999882,0.096695,0.623515,2.076648,-0.017680,6.280742
0.010000,0.103107,24.999865,0.103137,0.644279,2.076465,-0.018277,6.280580
0.010000,0.109758,24.999848,0.109788,0.665042,2.076276,-0.018905,6.280413
0.010000,0.116616,24.999828,0.116646,0.685803,2.076081,-0.019504,6.280241
0.010000,0.123681,24.999806,0.123711,0.706562,2.075880,-0.020143,6.280064
0.010000,0.130954,24.999783,0.130985,0.727319,2.075673,-0.020740,6.279882
0.010000,0.138435,24.999758,0.138465,0.748073,2.075459,-0.021377,6.279695
0.010000,0.146123,24.999730,0.146154,0.768826,2.075239,-0.021978,6.279502
0.010000,0.154019,24.999700,0.154049,0.789576,2.075013,-0.022610,6.279305
0.010000,0.162122,24.999668,0.162153,0.810323,2.074781,-0.023222,6.279103
0.010000,0.170433,24.999633,0.170463,0.831069,2.074542,-0.023849,6.278896
0.010000,0.178951,24.999596,0.178981,0.851812,2.074298,-0.024468,6.278684
0.010000,0.187676,24.999556,0.187707,0.872552,2.074047,-0.025083,6.278467
0.010000,0.196609,24.999512,0.196640,0.893290,2.073790,-0.025719,6.278245
0.010000,0.205749,24.999466,0.205780,0.914025,2.073526,-0.026329,6.278018
0.010000,0.215097,24.999417,0.215128,0.934758,2.073257,-0.026971,6.277786
0.010000,0.224651,24.999364,0.224683,0.955488,2.072981,-0.027576,6.277550
0.010000,0.234413,24.999308,0.234445,0.976215,2.072699,-0.028214,6.277308
0.010000,0.244383,24.999248,0.244414,0.996939,2.072410,-0.028839,6.277062
0.010000,0.254559,24.999185,0.254591,1.017660,2.072116,-0.029463,6.276811
0.010000,0.264943,24.999117,0.264974,1.038378,2.071815,-0.030095,6.276555
0.010000,0.275533,24.999045,0.275565,1.059093,2.071507,-0.030715,6.276295
0.010000,0.286331,24.998970,0.286363,1.079805,2.071194,-0.031357,6.276029
0.010000,0.297336,24.998889,0.297369,1.100514,2.070874,-0.031983,6.275759
0.010000,0.308548,24.998805,0.308581,1.121219,2.070548,-0.032601,6.275484
0.010000,0.319967,24.998715,0.320000,1.141922,2.070216,-0.033256,6.275205
0.010000,0.331592,24.998621,0.331626,1.162620,2.069877,-0.033874,6.274921
0.010000,0.343425,24.998521,0.343459,1.183316,2.069532,-0.034509,6.274632
0.010000,0.355465,24.998416,0.355499,1.204008,2.069180,-0.035147,6.274339
0.010000,0.367711,24.998306,0.367746,1.224696,2.068822,-0.035779,6.274041
0.010000,0.380164,24.998190,0.380200,1.245380,2.068458,-0.036422,6.273738
0.010000,0.392825,24.998069,0.392861,1.266061,2.068088,-0.037049,6.273431
0.010000,0.405691,24.997941,0.405728,1.286738,2.067711,-0.037690,6.273119
0.010000,0.418765,24.997808,0.418802,1.307412,2.067327,-0.038339,6.272803
0.010000,0.432045,24.997668,0.432083,1.328081,2.066938,-0.038960,6.272483
0.010000,0.445531,24.997521,0.445571,1.348746,2.066542,-0.039609,6.272158
