dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000005,22.000000,0.000025,0.005000,0.500000,50.000000,0.000003
0.010000,0.000001,22.000000,0.000029,0.000396,-0.460353,-96.035281,0.000001
0.010000,0.000191,22.000000,0.000219,0.019041,1.864482,232.483468,6.283180
0.010000,0.000576,22.000000,0.000604,0.038414,1.937292,7.280990,6.283169
0.010000,0.001152,22.000000,0.001180,0.057621,1.920726,-1.656613,6.283154
0.010000,0.001920,22.000000,0.001948,0.076829,1.920744,0.001818,6.283132
0.010000,0.002880,22.000000,0.002908,0.096037,1.920768,0.002418,6.283106
0.010000,0.004033,22.000000,0.004061,0.115245,1.920798,0.003040,6.283074
0.010000,0.005377,22.000000,0.005405,0.134453,1.920835,0.003636,6.283037
0.010000,0.006914,21.999999,0.006942,0.153662,1.920877,0.004246,6.282995
0.010000,0.008643,21.999999,0.008671,0.172871,1.920926,0.004853,6.282948
0.010000,0.010564,21.999998,0.010591,0.192081,1.920980,0.005456,6.282895
0.010000,0.012676,21.999998,0.012704,0.211291,1.921041,0.006080,6.282837
0.010000,0.014981,21.999997,0.015009,0.230502,1.921108,0.006663,6.282773
0.010000,0.017479,21.999996,0.017507,0.249714,1.921181,0.007285,6.282705
0.010000,0.020168,21.999994,0.020196,0.268927,1.921260,0.007896,6.282631
0.010000,0.023049,21.999993,0.023077,0.288140,1.921344,0.008494,6.282552
0.010000,0.026123,21.999991,0.026151,0.307354,1.921436,0.009111,6.282468
0.010000,0.029389,21.999988,0.029416,0.326570,1.921533,0.009711,6.282378
0.010000,0.032846,21.999985,0.032874,0.345786,1.921636,0.010331,6.282283
0.010000,0.036496,21.999982,0.036524,0.365004,1.921745,0.010938,6.282183
0.010000,0.040339,21.999978,0.040367,0.384222,1.921861,0.011538,6.282078
0.010000,0.044373,21.999973,0.044401,0.403442,1.921982,0.012159,6.281968
0.010000,0.048600,21.999968,0.048628,0.422663,1.922110,0.012762,6.281852
0.010000,0.053019,21.999961,0.053047,0.441886,1.922244,0.013384,6.281731
0.010000,0.057630,21.999954,0.057658,0.461109,1.922384,0.013982,6.281606
0.010000,0.062433,21.999947,0.062461,0.480335,1.922530,0.014606,6.281474
0.010000,0.067429,21.999938,0.067457,0.499561,1.922682,0.015206,6.281338
0.010000,0.072616,21.999928,0.072644,0.518790,1.922840,0.015837,6.281197
0.010000,0.077997,21.999917,0.078025,0.538020,1.923004,0.016429,6.281050
0.010000,0.083569,21.999904,0.083597,0.557252,1.923175,0.017065,6.280899
0.010000,0.089334,21.999891,0.089362,0.576485,1.923352,0.017657,6.280742
0.010000,0.095291,21.999876,0.095319,0.595721,1.923535,0.018289,6.280580
0.010000,0.101441,21.999859,0.101469,0.614958,1.923723,0.018893,6.280413
0.010000,0.107783,21.999841,0.107811,0.634197,1.923919,0.019525,6.280241
0.010000,0.114317,21.999821,0.114345,0.653438,1.924120,0.020122,6.280064
0.010000,0.121044,21.999800,0.121072,0.672681,1.924327,0.020758,6.279882
0.010000,0.127963,21.999776,0.127991,0.691927,1.924541,0.021359,6.279695
0.010000,0.135075,21.999750,0.135103,0.711174,1.924761,0.021993,6.279502
0.010000,0.142379,21.999723,0.142407,0.730424,1.924987,0.022601,6.279305
