dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,23.500000,0.000025,0.005000,0.500000,50.000000,0.000003
0.010000,0.000000,23.500000,0.000125,0.015000,1.000000,50.000000,0.000001
0.010000,0.000199,23.500000,0.000350,0.030000,1.500000,50.000000,6.283180
0.010000,0.000599,23.500000,0.000750,0.050000,2.000000,50.000000,6.283169
0.010000,0.001199,23.500000,0.001350,0.070000,2.000000,0.000000,6.283154
0.010000,0.001999,23.500000,0.002150,0.090000,2.000000,-0.000000,6.283132
0.010000,0.002999,23.500000,0.003150,0.110000,2.000000,0.000000,6.283106
0.010000,0.004199,23.500000,0.004350,0.130000,2.000000,0.000000,6.283074
0.010000,0.005599,23.500000,0.005750,0.150000,2.000000,-0.000000,6.283037
0.010000,0.007199,23.499999,0.007350,0.170000,2.000000,0.000000,6.282995
0.010000,0.008999,23.499999,0.009150,0.190000,2.000000,-0.000000,6.282948
0.010000,0.010999,23.499998,0.011150,0.210000,2.000000,0.000000,6.282895
0.010000,0.013199,23.499998,0.013350,0.230000,2.000000,0.000000,6.282837
0.010000,0.015599,23.499997,0.015750,0.250000,2.000000,-0.000000,6.282773
0.010000,0.018199,23.499996,0.018350,0.270000,2.000000,0.000000,6.282705
0.010000,0.020999,23.499994,0.021150,0.290000,2.000000,-0.000000,6.282631
0.010000,0.023999,23.499992,0.024150,0.310000,2.000000,0.000000,6.282552
0.010000,0.027199,23.499990,0.027350,0.330000,2.000000,0.000000,6.282468
0.010000,0.030599,23.499988,0.030750,0.350000,2.000000,-0.000000,6.282378
0.010000,0.034199,23.499985,0.034350,0.370000,2.000000,0.000000,6.282283
0.010000,0.037999,23.499981,0.038150,0.390000,2.000000,0.000000,6.282183
0.010000,0.041999,23.499977,0.042150,0.410000,2.000000,-0.000000,6.282078
0.010000,0.046199,23.499972,0.046350,0.430000,2.000000,0.000000,6.281968
0.010000,0.050599,23.499966,0.050750,0.450000,2.000000,0.000000,6.281852
0.010000,0.055199,23.499960,0.055350,0.470000,2.000000,-0.000000,6.281731
0.010000,0.059999,23.499953,0.060150,0.490000,2.000000,0.000000,6.281606
0.010000,0.064999,23.499944,0.065150,0.510000,2.000000,0.000000,6.281474
0.010000,0.070199,23.499935,0.070350,0.530000,2.000000,0.000000,6.281338
0.010000,0.075599,23.499925,0.075750,0.550000,2.000000,0.000000,6.281197
0.010000,0.081199,23.499913,0.081350,0.570000,2.000000,-0.000000,6.281050
0.010000,0.086999,23.499900,0.087150,0.590000,2.000000,0.000000,6.280899
0.010000,0.092999,23.499886,0.093150,0.610000,2.000000,0.000000,6.280742
0.010000,0.099199,23.499871,0.099350,0.630000,2.000000,0.000000,6.280580
0.010000,0.105599,23.499853,0.105750,0.650000,2.000000,0.000000,6.280413
0.010000,0.112199,23.499834,0.112350,0.670000,2.000000,0.000000,6.280241
0.010000,0.118999,23.499814,0.119150,0.690000,2.000000,-0.000000,6.280064
0.010000,0.125999,23.499791,0.126150,0.710000,2.000000,0.000000,6.279882
0.010000,0.133199,23.499767,0.133350,0.730000,2.000000,0.000000,6.279695
0.010000,0.140599,23.499740,0.140750,0.750000,2.000000,0.000000,6.279502
0.010000,0.148199,23.499712,0.148350,0.770000,2.000000,0.000000,6.279305
0.010000,0.155999,23.499681,0.156150,0.790000,2.000000,0.000000,6.279103
0.010000,0.163999,23.499647,0.164150,0.810000,2.000000,0.000000,6.278896
0.010000,0.172199,23.499611,0.172350,0.830000,2.000000,-0.000000,6.278684
0.010000,0.180599,23.499572,0.180750,0.850000,2.000000,0.000000,6.278467
0.010000,0.189199,23.499531,0.189350,0.870000,2.000000,0.000000,6.278245
0.010000,0.197998,23.499486,0.198150,0.890000,2.000000,0.000000,6.278018
0.010000,0.206998,23.499439,0.207150,0.910000,2.000000,0.000000,6.277786
0.010000,0.216198,23.499388,0.216350,0.930000,2.000000,0.000000,6.277550
0.010000,0.225598,23.499334,0.225750,0.950000,2.000000,-0.000000,6.277308
0.010000,0.235198,23.499276,0.235350,0.970000,2.000000,0.000000,6.277062
0.010000,0.244998,23.499215,0.245150,0.990000,2.000000,0.000000,6.276811
0.010000,0.254997,23.499150,0.255150,1.010000,2.000000,0.000000,6.276555
0.010000,0.265197,23.499081,0.265350,1.030000,2.000000,0.000000,6.276295
0.010000,0.275597,23.499008,0.275750,1.050000,2.000000,0.000000,6.276029
0.010000,0.286197,23.498931,0.286350,1.070000,2.000000,0.000000,6.275759
0.010000,0.296996,23.498849,0.297150,1.090000,2.000000,0.000000,6.275484
0.010000,0.307996,23.498763,0.308150,1.110000,2.000000,0.000000,6.275205
0.010000,0.319196,23.498672,0.319350,1.130000,2.000000,-0.000000,6.274921
0.010000,0.330595,23.498576,0.330750,1.150000,2.000000,0.000000,6.274632
0.010000,0.342195,23.498475,0.342350,1.170000,2.000000,0.000000,6.274339
0.010000,0.353994,23.498369,0.354150,1.190000,2.000000,0.000000,6.274041
0.010000,0.365994,23.498257,0.366150,1.210000,2.000000,0.000000,6.273738
0.010000,0.378193,23.498140,0.378350,1.230000,2.000000,0.000000,6.273431
0.010000,0.390593,23.498017,0.390750,1.250000,2.000000,0.000000,6.273119
0.010000,0.403192,23.497888,0.403350,1.270000,2.000000,0.000000,6.272803
0.010000,0.415991,23.497754,0.416150,1.290000,2.000000,0.000000,6.272483
0.010000,0.428991,23.497612,0.429150,1.310000,2.000000,0.000000,6.272158
0.010000,0.442190,23.497465,0.442350,1.330000,2.000000,0.000000,6.271828
0.010000,0.455589,23.497310,0.455750,1.350000,2.000000,0.000000,6.271495
0.010000,0.469188,23.497149,0.469350,1.370000,2.000000,0.000000,6.271157
0.010000,0.482987,23.496981,0.483150,1.390000,2.000000,-0.000000,6.270814
0.010000,0.496986,23.496805,0.497150,1.410000,2.000000,0.000000,6.270467
0.010000,0.511185,23.496622,0.511350,1.430000,2.000000,0.000000,6.270116
0.010000,0.525583,23.496431,0.525750,1.450000,2.000000,0.000000,6.269761
0.010000,0.540182,23.496232,0.540350,1.470000,2.000000,0.000000,6.269402
0.010000,0.554980,23.496026,0.555150,1.490000,2.000000,0.000000,6.269038
0.010000,0.569979,23.495811,0.570150,1.510000,2.000000,0.000000,6.268670
0.010000,0.585177,23.495587,0.585350,1.530000,2.000000,0.000000,6.268298
0.010000,0.600576,23.495355,0.600750,1.550000,2.000000,0.000000,6.267922
0.010000,0.616174,23.495114,0.616350,1.570000,2.000000,0.000000,6.267542
0.010000,0.631972,23.494864,0.632150,1.590000,2.000000,0.000000,6.267158
0.010000,0.647970,23.494604,0.648150,1.610000,2.000000,0.000000,6.266770
0.010000,0.664167,23.494335,0.664350,1.630000,2.000000,-0.000000,6.266378
0.010000,0.680565,23.494056,0.680750,1.650000,2.000000,0.000000,6.265982
0.010000,0.697162,23.493768,0.697350,1.670000,2.000000,0.000000,6.265582
0.010000,0.713960,23.493468,0.714150,1.690000,2.000000,0.000000,6.265179
0.010000,0.730957,23.493159,0.731150,1.710000,2.000000,0.000000,6.264771
0.010000,0.748154,23.492839,0.748350,1.730000,2.000000,0.000000,6.264360
0.010000,0.765551,23.492508,0.765750,1.750000,2.000000,0.000000,6.263945
0.010000,0.783148,23.492165,0.783350,1.770000,2.000000,0.000000,6.263526
0.010000,0.800944,23.491812,0.801150,1.790000,2.000000,0.000000,6.263104
0.010000,0.818940,23.491446,0.819150,1.810000,2.000000,0.000000,6.262678
0.010000,0.837136,23.491069,0.837350,1.830000,2.000000,0.000000,6.262248
0.010000,0.855532,23.490680,0.855750,1.850000,2.000000,0.000000,6.261815
0.010000,0.874128,23.490278,0.874350,1.870000,2.000000,0.000000,6.261378
0.010000,0.892923,23.489864,0.893150,1.890000,2.000000,-0.000000,6.260938
0.010000,0.911919,23.489437,0.912150,1.910000,2.000000,0.000000,6.260494
0.010000,0.931114,23.488998,0.931350,1.930000,2.000000,0.000000,6.260047
0.010000,0.950508,23.488544,0.950750,1.950000,2.000000,0.000000,6.259597
0.010000,0.970103,23.488078,0.970350,1.970000,2.000000,0.000000,6.259143
0.010000,0.989897,23.487597,0.990150,1.990000,2.000000,0.000000,6.258686
0.010000,1.009891,23.487103,1.010150,2.010000,2.000000,-0.000000,6.258226
0.010000,1.030084,23.486594,1.030350,2.030000,2.000000,0.000000,6.257762
0.010000,1.050478,23.486070,1.050750,2.050000,2.000000,0.000000,6.257296
0.010000,1.071071,23.485532,1.071350,2.070000,2.000000,0.000000,6.256826
0.010000,1.091863,23.484979,1.092150,2.090000,2.000000,0.000000,6.256353
0.010000,1.112856,23.484411,1.113150,2.110000,2.000000,0.000000,6.255878
0.010000,1.134048,23.483827,1.134350,2.130000,2.000000,0.000000,6.255399
0.010000,1.155439,23.483227,1.155750,2.150000,2.000000,0.000000,6.254917
0.010000,1.177030,23.482611,1.177350,2.170000,2.000000,0.000000,6.254432
0.010000,1.198821,23.481979,1.199150,2.190000,2.000000,0.000000,6.253945
0.010000,1.220812,23.481331,1.221150,2.210000,2.000000,0.000000,6.253455
0.010000,1.243002,23.480665,1.243350,2.230000,2.000000,0.000000,6.252962
0.010000,1.265391,23.479983,1.265750,2.250000,2.000000,0.000000,6.252466
0.010000,1.287980,23.479283,1.288350,2.270000,2.000000,0.000000,6.251968
0.010000,1.310769,23.478566,1.311150,2.290000,2.000000,0.000000,6.251467
0.010000,1.333757,23.477831,1.334150,2.310000,2.000000,0.000000,6.250963
0.010000,1.356945,23.477077,1.357350,2.330000,2.000000,0.000000,6.250457
0.010000,1.380332,23.476306,1.380750,2.350000,2.000000,0.000000,6.249949
0.010000,1.403919,23.475515,1.404350,2.370000,2.000000,0.000000,6.249438
0.010000,1.427705,23.474706,1.428150,2.390000,2.000000,0.000000,6.248924
0.010000,1.451691,23.473878,1.452150,2.410000,2.000000,0.000000,6.248409
0.010000,1.475876,23.473030,1.476350,2.430000,2.000000,0.000000,6.247891
0.010000,1.500261,23.472163,1.500750,2.450000,2.000000,0.000000,6.247371
0.010000,1.524845,23.471276,1.525350,2.470000,2.000000,0.000000,6.246849
0.010000,1.549628,23.470368,1.550150,2.490000,2.000000,0.000000,6.246324
0.010000,1.574611,23.469440,1.575150,2.510000,2.000000,-0.000000,6.245798
0.010000,1.599793,23.468492,1.600350,2.530000,2.000000,0.000000,6.245269
0.010000,1.625175,23.467522,1.625750,2.550000,2.000000,0.000000,6.244739
0.010000,1.650755,23.466531,1.651350,2.570000,2.000000,0.000000,6.244207
0.010000,1.676536,23.465519,1.677150,2.590000,2.000000,0.000000,6.243673
0.010000,1.702515,23.464485,1.703150,2.610000,2.000000,0.000000,6.243137
0.010000,1.728694,23.463429,1.729350,2.630000,2.000000,0.000000,6.242599
0.010000,1.755072,23.462351,1.755750,2.650000,2.000000,0.000000,6.242060
0.010000,1.781649,23.461250,1.782350,2.670000,2.000000,0.000000,6.241519
0.010000,1.808425,23.460126,1.809150,2.690000,2.000000,0.000000,6.240977
0.010000,1.835401,23.458980,1.836150,2.710000,2.000000,0.000000,6.240433
0.010000,1.862576,23.457810,1.863350,2.730000,2.000000,0.000000,6.239887
0.010000,1.889950,23.456616,1.890750,2.750000,2.000000,0.000000,6.239341
0.010000,1.917523,23.455399,1.918350,2.770000,2.000000,0.000000,6.238793
0.010000,1.945295,23.454158,1.946150,2.790000,2.000000,0.000000,6.238243
0.010000,1.973267,23.452892,1.974150,2.810000,2.000000,0.000000,6.237693
0.010000,2.001437,23.451602,2.002350,2.830000,2.000000,0.000000,6.237141
0.010000,2.029807,23.450287,2.030750,2.850000,2.000000,0.000000,6.236588
0.010000,2.058375,23.448947,2.059350,2.870000,2.000000,0.000000,6.236034
0.010000,2.087143,23.447581,2.088150,2.890000,2.000000,0.000000,6.235480
0.010000,2.116109,23.446190,2.117150,2.910000,2.000000,0.000000,6.234924
0.010000,2.145275,23.444773,2.146350,2.930000,2.000000,0.000000,6.234367
0.010000,2.174640,23.443330,2.175750,2.950000,2.000000,0.000000,6.233810
0.010000,2.204203,23.441861,2.205350,2.970000,2.000000,0.000000,6.233252
0.010000,2.233966,23.440366,2.235150,2.990000,2.000000,0.000000,6.232693
0.010000,2.263927,23.438843,2.265150,3.010000,2.000000,-0.000000,6.232134
0.010000,2.294087,23.437293,2.295350,3.030000,2.000000,0.000000,6.231574
0.010000,2.324446,23.435717,2.325750,3.050000,2.000000,0.000000,6.231014
0.010000,2.355004,23.434112,2.356350,3.070000,2.000000,0.000000,6.230453
0.010000,2.385761,23.432480,2.387150,3.090000,2.000000,0.000000,6.229892
0.010000,2.416716,23.430820,2.418150,3.110000,2.000000,0.000000,6.229331
0.010000,2.447871,23.429132,2.449350,3.130000,2.000000,0.000000,6.228769
0.010000,2.479224,23.427416,2.480750,3.150000,2.000000,0.000000,6.228208
0.010000,2.510775,23.425670,2.512350,3.170000,2.000000,0.000000,6.227646
0.010000,2.542526,23.423896,2.544150,3.190000,2.000000,0.000000,6.227084
0.010000,2.574475,23.422093,2.576150,3.210000,2.000000,0.000000,6.226523
0.010000,2.606623,23.420260,2.608350,3.230000,2.000000,0.000000,6.225961
0.010000,2.638969,23.418398,2.640750,3.250000,2.000000,0.000000,6.225400
0.010000,2.671514,23.416506,2.673350,3.270000,2.000000,0.000000,6.224839
0.010000,2.704258,23.414584,2.706150,3.290000,2.000000,0.000000,6.224278
0.010000,2.737200,23.412632,2.739150,3.310000,2.000000,0.000000,6.223718
0.010000,2.770341,23.410650,2.772350,3.330000,2.000000,0.000000,6.223159
0.010000,2.803680,23.408637,2.805750,3.350000,2.000000,0.000000,6.222599
0.010000,2.837218,23.406593,2.839350,3.370000,2.000000,0.000000,6.222041
0.010000,2.870954,23.404518,2.873150,3.390000,2.000000,0.000000,6.221483
0.010000,2.904889,23.402412,2.907150,3.410000,2.000000,0.000000,6.220926
0.010000,2.939022,23.400275,2.941350,3.430000,2.000000,0.000000,6.220370
0.010000,2.973354,23.398106,2.975750,3.450000,2.000000,0.000000,6.219814
0.010000,3.007884,23.395905,3.010350,3.470000,2.000000,0.000000,6.219260
0.010000,3.042612,23.393672,3.045150,3.490000,2.000000,0.000000,6.218707
0.010000,3.077539,23.391408,3.080150,3.510000,2.000000,-0.000000,6.218155
0.010000,3.112664,23.389110,3.115350,3.530000,2.000000,0.000000,6.217604
0.010000,3.147987,23.386781,3.150750,3.550000,2.000000,0.000000,6.217054
0.010000,3.183508,23.384418,3.186350,3.570000,2.000000,0.000000,6.216506
0.010000,3.219228,23.382023,3.222150,3.590000,2.000000,0.000000,6.215959
0.010000,3.255146,23.379595,3.258150,3.610000,2.000000,0.000000,6.215414
0.010000,3.291262,23.377134,3.294350,3.630000,2.000000,0.000000,6.214870
0.010000,3.327577,23.374639,3.330750,3.650000,2.000000,0.000000,6.214328
0.010000,3.364089,23.372111,3.367350,3.670000,2.000000,0.000000,6.213788
0.010000,3.400800,23.369550,3.404150,3.690000,2.000000,0.000000,6.213250
0.010000,3.437709,23.366954,3.441150,3.710000,2.000000,0.000000,6.212713
0.010000,3.474816,23.364325,3.478350,3.730000,2.000000,0.000000,6.212179
0.010000,3.512121,23.361662,3.515750,3.750000,2.000000,0.000000,6.211646
0.010000,3.549624,23.358964,3.553350,3.770000,2.000000,0.000000,6.211116
0.010000,3.587325,23.356232,3.591150,3.790000,2.000000,0.000000,6.210588
0.010000,3.625224,23.353466,3.629150,3.810000,2.000000,0.000000,6.210062
0.010000,3.663322,23.350665,3.667350,3.830000,2.000000,0.000000,6.209539
0.010000,3.701617,23.347830,3.705750,3.850000,2.000000,0.000000,6.209018
0.010000,3.740110,23.344959,3.744350,3.870000,2.000000,0.000000,6.208500
0.010000,3.778801,23.342054,3.783150,3.890000,2.000000,0.000000,6.207984
0.010000,3.817690,23.339114,3.822150,3.910000,2.000000,0.000000,6.207471
0.010000,3.856777,23.336139,3.861350,3.930000,2.000000,0.000000,6.206961
0.010000,3.896062,23.333129,3.900750,3.950000,2.000000,0.000000,6.206454
0.010000,3.935545,23.330083,3.940350,3.970000,2.000000,0.000000,6.205949
0.010000,3.975225,23.327002,3.980150,3.990000,2.000000,0.000000,6.205448
0.010000,4.015104,23.323886,4.020150,4.010000,2.000000,-0.000000,6.204950
0.010000,4.055180,23.320734,4.060350,4.030000,2.000000,0.000000,6.204455
0.010000,4.095454,23.317547,4.100750,4.050000,2.000000,-0.000000,6.203963
0.010000,4.135926,23.314324,4.141350,4.070000,2.000000,0.000000,6.203475
0.010000,4.176595,23.311065,4.182150,4.090000,2.000000,-0.000000,6.202991
0.010000,4.217463,23.307771,4.223150,4.110000,2.000000,0.000000,6.202509
0.010000,4.258528,23.304441,4.264350,4.130000,2.000000,-0.000000,6.202032
0.010000,4.299791,23.301075,4.305750,4.150000,2.000000,0.000000,6.201558
0.010000,4.341252,23.297673,4.347350,4.170000,2.000000,-0.000000,6.201088
0.010000,4.382910,23.294236,4.389150,4.190000,2.000000,0.000000,6.200622
0.010000,4.424766,23.290762,4.431150,4.210000,2.000000,-0.000000,6.200160
0.010000,4.466820,23.287253,4.473350,4.230000,2.000000,0.000000,6.199702
0.010000,4.509072,23.283708,4.515750,4.250000,2.000000,-0.000000,6.199249
0.010000,4.551521,23.280127,4.558350,4.270000,2.000000,0.000000,6.198799
0.010000,4.594168,23.276510,4.601150,4.290000,2.000000,0.000000,6.198354
0.010000,4.637012,23.272857,4.644150,4.310000,2.000000,-0.000000,6.197913
0.010000,4.680054,23.269168,4.687350,4.330000,2.000000,0.000000,6.197477
0.010000,4.723294,23.265444,4.730750,4.350000,2.000000,-0.000000,6.197046
0.010000,4.766732,23.261684,4.774350,4.370000,2.000000,0.000000,6.196619
0.010000,4.810367,23.257887,4.818150,4.390000,2.000000,-0.000000,6.196197
0.010000,4.854200,23.254056,4.862150,4.410000,2.000000,0.000000,6.195780
0.010000,4.898230,23.250188,4.906350,4.430000,2.000000,-0.000000,6.195368
0.010000,4.942459,23.246285,4.950750,4.450000,2.000000,0.000000,6.194961
0.010000,4.986884,23.242346,4.995350,4.470000,2.000000,-0.000000,6.194560
0.010000,5.031508,23.238372,5.040150,4.490000,2.000000,0.000000,6.194163
0.010000,5.076329,23.234363,5.085150,4.510000,2.000000,-0.000000,6.193772
0.010000,5.121347,23.230318,5.130350,4.530000,2.000000,0.000000,6.193387
0.010000,5.166564,23.226238,5.175750,4.550000,2.000000,-0.000000,6.193007
0.010000,5.211978,23.222123,5.221350,4.570000,2.000000,0.000000,6.192633
0.010000,5.257589,23.217973,5.267150,4.590000,2.000000,-0.000000,6.192264
0.010000,5.303398,23.213788,5.313150,4.610000,2.000000,0.000000,6.191902
0.010000,5.349405,23.209568,5.359350,4.630000,2.000000,-0.000000,6.191545
0.010000,5.395610,23.205314,5.405750,4.650000,2.000000,0.000000,6.191194
0.010000,5.442012,23.201025,5.452350,4.670000,2.000000,-0.000000,6.190850
0.010000,5.488612,23.196702,5.499150,4.690000,2.000000,0.000000,6.190512
0.010000,5.535410,23.192345,5.546150,4.710000,2.000000,-0.000000,6.190180
0.010000,5.582405,23.187954,5.593350,4.730000,2.000000,0.000000,6.189855
0.010000,5.629598,23.183529,5.640750,4.750000,2.000000,-0.000000,6.189536
0.010000,5.676989,23.179070,5.688350,4.770000,2.000000,0.000000,6.189224
0.010000,5.724577,23.174578,5.736150,4.790000,2.000000,0.000000,6.188918
0.010000,5.772363,23.170053,5.784150,4.810000,2.000000,-0.000000,6.188620
0.010000,5.820347,23.165495,5.832350,4.830000,2.000000,0.000000,6.188328
0.010000,5.868529,23.160903,5.880750,4.850000,2.000000,-0.000000,6.188044
0.010000,5.916909,23.156280,5.929350,4.870000,2.000000,0.000000,6.187766
0.010000,5.965486,23.151624,5.978150,4.890000,2.000000,-0.000000,6.187496
0.010000,6.014261,23.146936,6.027150,4.910000,2.000000,0.000000,6.187233
0.010000,6.063234,23.142216,6.076350,4.930000,2.000000,-0.000000,6.186978
0.010000,6.112405,23.137464,6.125750,4.950000,2.000000,0.000000,6.186730
0.010000,6.161774,23.132682,6.175350,4.970000,2.000000,-0.000000,6.186490
0.010000,6.211341,23.127868,6.225150,4.990000,2.000000,0.000000,6.186258
0.010000,6.261106,23.123024,6.275150,5.010000,2.000000,-0.000000,6.186034
0.010000,6.311068,23.118149,6.325350,5.030000,2.000000,0.000000,6.185817
0.010000,6.361229,23.113244,6.375750,5.050000,2.000000,-0.000000,6.185609
0.010000,6.411588,23.108309,6.426350,5.070000,2.000000,0.000000,6.185409
0.010000,6.462145,23.103345,6.477150,5.090000,2.000000,-0.000000,6.185217
0.010000,6.512900,23.098352,6.528150,5.110000,2.000000,0.000000,6.185034
0.010000,6.563853,23.093331,6.579350,5.130000,2.000000,-0.000000,6.184859
0.010000,6.615004,23.088280,6.630750,5.150000,2.000000,0.000000,6.184693
