dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000005,25.000000,0.000030,0.005970,0.597015,59.701493,0.000003
0.010000,-0.000000,25.000000,0.000035,0.000473,-0.549675,-114.669001,0.000000
0.010000,0.000278,25.000000,0.000312,0.027789,2.731610,328.128509,6.283178
0.010000,0.000774,25.000000,0.000809,0.049655,2.186515,-54.509482,6.283166
0.010000,0.001550,25.000000,0.001585,0.077585,2.793051,60.653586,6.283146
0.010000,0.002636,25.000000,0.002671,0.108619,3.103359,31.030810,6.283118
0.010000,0.004033,25.000000,0.004068,0.139652,3.103312,-0.004729,6.283083
0.010000,0.005740,25.000000,0.005774,0.170684,3.103251,-0.006080,6.283039
0.010000,0.007757,24.999999,0.007792,0.201716,3.103177,-0.007432,6.282988
0.010000,0.010084,24.999999,0.010119,0.232747,3.103089,-0.008784,6.282929
0.010000,0.012722,24.999998,0.012757,0.263777,3.102988,-0.010137,6.282862
0.010000,0.015670,24.999997,0.015705,0.294806,3.102873,-0.011490,6.282787
0.010000,0.018929,24.999995,0.018963,0.325833,3.102744,-0.012837,6.282705
0.010000,0.022497,24.999994,0.022532,0.356859,3.102602,-0.014201,6.282614
0.010000,0.026376,24.999991,0.026411,0.387884,3.102447,-0.015555,6.282516
0.010000,0.030565,24.999988,0.030600,0.418906,3.102278,-0.016909,6.282410
0.010000,0.035064,24.999984,0.035099,0.449927,3.102095,-0.018260,6.282296
0.010000,0.039874,24.999980,0.039908,0.480946,3.101899,-0.019621,6.282174
0.010000,0.044993,24.999974,0.045028,0.511963,3.101689,-0.020988,6.282044
0.010000,0.050423,24.999968,0.050458,0.542978,3.101466,-0.022339,6.281907
0.010000,0.056163,24.999960,0.056198,0.573990,3.101229,-0.023691,6.281762
0.010000,0.062213,24.999951,0.062248,0.605000,3.100978,-0.025075,6.281609
0.010000,0.068573,24.999940,0.068608,0.636007,3.100714,-0.026422,6.281449
0.010000,0.075243,24.999928,0.075278,0.667011,3.100436,-0.027786,6.281281
0.010000,0.082223,24.999914,0.082258,0.698013,3.100144,-0.029167,6.281105
0.010000,0.089513,24.999899,0.089548,0.729011,3.099839,-0.030509,6.280922
0.010000,0.097114,24.999881,0.097148,0.760006,3.099520,-0.031904,6.280731
