dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000005,22.000000,0.000030,0.005970,0.597015,59.701493,0.000003
0.010000,0.000000,22.000000,0.000035,0.000473,-0.549675,-114.669001,0.000000
0.010000,0.000257,22.000000,0.000291,0.025659,2.518586,306.826111,6.283178
0.010000,0.000715,22.000000,0.000750,0.045868,2.020848,-49.773814,6.283166
0.010000,0.001432,22.000000,0.001467,0.071669,2.580083,55.923547,6.283146
0.010000,0.002435,22.000000,0.002470,0.100336,2.866790,28.670677,6.283118
0.010000,0.003725,22.000000,0.003760,0.129005,2.866837,0.004728,6.283083
0.010000,0.005302,22.000000,0.005337,0.157674,2.866898,0.006080,6.283039
0.010000,0.007166,21.999999,0.007200,0.186344,2.866973,0.007431,6.282988
0.010000,0.009316,21.999999,0.009350,0.215014,2.867060,0.008783,6.282929
0.010000,0.011753,21.999998,0.011787,0.243686,2.867162,0.010136,6.282862
0.010000,0.014476,21.999997,0.014511,0.272359,2.867277,0.011489,6.282787
0.010000,0.017487,21.999996,0.017521,0.301033,2.867405,0.012848,6.282705
0.010000,0.020784,21.999994,0.020818,0.329708,2.867547,0.014193,6.282614
0.010000,0.024367,21.999992,0.024402,0.358385,2.867703,0.015550,6.282516
0.010000,0.028238,21.999989,0.028273,0.387064,2.867872,0.016908,6.282410
0.010000,0.032396,21.999986,0.032430,0.415744,2.868054,0.018269,6.282296
0.010000,0.036840,21.999981,0.036874,0.444427,2.868251,0.019623,6.282174
0.010000,0.041571,21.999976,0.041605,0.473111,2.868460,0.020975,6.282044
0.010000,0.046589,21.999970,0.046623,0.501798,2.868684,0.022341,6.281907
0.010000,0.051894,21.999963,0.051928,0.530487,2.868921,0.023710,6.281762
0.010000,0.057486,21.999955,0.057520,0.559179,2.869171,0.025052,6.281609
0.010000,0.063364,21.999945,0.063399,0.587874,2.869436,0.026430,6.281449
0.010000,0.069530,21.999934,0.069565,0.616571,2.869714,0.027795,6.281281
0.010000,0.075983,21.999921,0.076017,0.645271,2.870005,0.029146,6.281105
0.010000,0.082722,21.999906,0.082757,0.673974,2.870310,0.030536,6.280922
0.010000,0.089749,21.999890,0.089784,0.702680,2.870629,0.031879,6.280731
0.010000,0.097063,21.999871,0.097098,0.731390,2.870962,0.033269,6.280532
0.010000,0.104664,21.999850,0.104699,0.760103,2.871308,0.034628,6.280326
0.010000,0.112552,21.999827,0.112587,0.788820,2.871668,0.036009,6.280112
0.010000,0.120728,21.999801,0.120762,0.817540,2.872042,0.037377,6.279890
0.010000,0.129190,21.999772,0.129225,0.846264,2.872430,0.038761,6.279661
0.010000,0.137940,21.999740,0.137975,0.874993,2.872831,0.040129,6.279425
0.010000,0.146977,21.999705,0.147012,0.903725,2.873246,0.041525,6.279181
0.010000,0.156302,21.999666,0.156337,0.932462,2.873675,0.042885,6.278930
0.010000,0.165914,21.999624,0.165949,0.961203,2.874118,0.044292,6.278671
0.010000,0.175813,21.999578,0.175848,0.989949,2.874574,0.045658,6.278405
0.010000,0.186000,21.999528,0.186035,1.018699,2.875045,0.047053,6.278132
0.010000,0.196474,21.999474,0.196510,1.047454,2.875530,0.048453,6.277851
0.010000,0.207236,21.999415,0.207272,1.076215,2.876028,0.049824,6.277563
0.010000,0.218286,21.999351,0.218322,1.104980,2.876540,0.051229,6.277268
0.010000,0.229623,21.999282,0.229659,1.133751,2.877066,0.052633,6.276966
0.010000,0.241248,21.999208,0.241285,1.162527,2.877606,0.054011,6.276656
0.010000,0.253161,21.999128,0.253198,1.191308,2.878161,0.055421,6.276340
0.010000,0.265362,21.999043,0.265399,1.220096,2.878729,0.056825,6.276016
0.010000,0.277850,21.998951,0.277887,1.248889,2.879311,0.058230,6.275685
0.010000,0.290627,21.998853,0.290664,1.277688,2.879908,0.059627,6.275347
0.010000,0.303691,21.998749,0.303729,1.306493,2.880518,0.061041,6.275003
0.010000,0.317044,21.998637,0.317082,1.335305,2.881142,0.062452,6.274651
0.010000,0.330685,21.998518,0.330724,1.364122,2.881781,0.063865,6.274292
0.010000,0.344613,21.998392,0.344653,1.392947,2.882434,0.065282,6.273927
0.010000,0.358831,21.998257,0.358871,1.421778,2.883101,0.066692,6.273555
0.010000,0.373336,21.998115,0.373377,1.450616,2.883782,0.068116,6.273176
0.010000,0.388130,21.997964,0.388172,1.479460,2.884477,0.069537,6.272790
0.010000,0.403212,21.997804,0.403255,1.508312,2.885187,0.070961,6.272398
0.010000,0.418583,21.997635,0.418626,1.537171,2.885911,0.072387,6.271999
0.010000,0.434242,21.997457,0.434287,1.566038,2.886649,0.073815,6.271593
0.010000,0.450190,21.997269,0.450236,1.594912,2.887401,0.075246,6.271181
0.010000,0.466427,21.997071,0.466474,1.623793,2.888168,0.076679,6.270763
0.010000,0.482953,21.996862,0.483001,1.652683,2.888949,0.078113,6.270338
0.010000,0.499767,21.996642,0.499816,1.681580,2.889745,0.079550,6.269907
0.010000,0.516870,21.996411,0.516921,1.710486,2.890555,0.080990,6.269469
0.010000,0.534263,21.996169,0.534315,1.739400,2.891379,0.082431,6.269025
0.010000,0.551944,21.995914,0.551998,1.768322,2.892218,0.083874,6.268575
0.010000,0.569914,21.995648,0.569971,1.797253,2.893071,0.085320,6.268119
0.010000,0.588174,21.995368,0.588233,1.826192,2.893939,0.086767,6.267657
0.010000,0.606723,21.995076,0.606784,1.855140,2.894821,0.088217,6.267189
0.010000,0.625562,21.994770,0.625625,1.884097,2.895718,0.089668,6.266714
0.010000,0.644690,21.994450,0.644756,1.913064,2.896629,0.091122,6.266234
0.010000,0.664107,21.994117,0.664176,1.942039,2.897555,0.092577,6.265748
0.010000,0.683815,21.993768,0.683887,1.971024,2.898495,0.094036,6.265257
0.010000,0.703811,21.993404,0.703887,2.000019,2.899450,0.095495,6.264759
0.010000,0.724098,21.993026,0.724177,2.029023,2.900419,0.096953,6.264256
0.010000,0.744675,21.992631,0.744757,2.058037,2.901404,0.098418,6.263748
0.010000,0.765541,21.992220,0.765628,2.087061,2.902402,0.099882,6.263234
0.010000,0.786698,21.991792,0.786789,2.116095,2.903416,0.101348,6.262714
0.010000,0.808145,21.991347,0.808240,2.145140,2.904444,0.102821,6.262189
0.010000,0.829882,21.990885,0.829982,2.174194,2.905487,0.104280,6.261659
0.010000,0.851909,21.990405,0.852015,2.203260,2.906544,0.105755,6.261123
0.010000,0.874227,21.989906,0.874338,2.232336,2.907617,0.107228,6.260583
0.010000,0.896835,21.989389,0.896952,2.261423,2.908704,0.108707,6.260037
0.010000,0.919734,21.988853,0.919858,2.290521,2.909806,0.110171,6.259486
0.010000,0.942924,21.988297,0.943054,2.319630,2.910922,0.111651,6.258931
0.010000,0.966404,21.987720,0.966541,2.348751,2.912053,0.113132,6.258370
0.010000,0.990175,21.987124,0.990320,2.377883,2.913199,0.114608,6.257805
0.010000,1.014238,21.986506,1.014391,2.407026,2.914360,0.116083,6.257235
0.010000,1.038591,21.985867,1.038752,2.436182,2.915536,0.117570,6.256660
0.010000,1.063236,21.985206,1.063406,2.465349,2.916726,0.119049,6.256081
0.010000,1.088172,21.984522,1.088351,2.494528,2.917932,0.120526,6.255497
0.010000,1.113399,21.983816,1.113588,2.523720,2.919152,0.122018,6.254909
0.010000,1.138918,21.983087,1.139118,2.552924,2.920387,0.123493,6.254316
0.010000,1.164728,21.982334,1.164939,2.582140,2.921637,0.124980,6.253720
