dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,23.500000,0.000030,0.005970,0.597015,59.701493,0.000003
0.010000,0.000000,23.500000,0.000149,0.017910,1.194030,59.701493,0.000000
0.010000,0.000267,23.500000,0.000418,0.035821,1.791045,59.701493,6.283178
0.010000,0.000745,23.500000,0.000896,0.059701,2.388060,59.701493,6.283166
0.010000,0.001491,23.500000,0.001642,0.089552,2.985075,59.701493,6.283146
0.010000,0.002536,23.500000,0.002687,0.119403,2.985075,-0.000000,6.283118
0.010000,0.003879,23.500000,0.004030,0.149254,2.985075,0.000000,6.283083
0.010000,0.005521,23.500000,0.005672,0.179104,2.985075,-0.000000,6.283039
0.010000,0.007461,23.499999,0.007612,0.208955,2.985075,-0.000000,6.282988
0.010000,0.009700,23.499999,0.009851,0.238806,2.985075,0.000000,6.282929
0.010000,0.012237,23.499998,0.012388,0.268657,2.985075,0.000000,6.282862
0.010000,0.015073,23.499997,0.015224,0.298507,2.985075,0.000000,6.282787
0.010000,0.018208,23.499996,0.018358,0.328358,2.985075,-0.000000,6.282705
0.010000,0.021640,23.499994,0.021791,0.358209,2.985075,0.000000,6.282614
0.010000,0.025372,23.499992,0.025522,0.388060,2.985075,-0.000000,6.282516
0.010000,0.029402,23.499989,0.029552,0.417910,2.985075,0.000000,6.282410
0.010000,0.033730,23.499985,0.033881,0.447761,2.985075,0.000000,6.282296
0.010000,0.038357,23.499981,0.038507,0.477612,2.985075,0.000000,6.282174
0.010000,0.043282,23.499975,0.043433,0.507463,2.985075,0.000000,6.282044
0.010000,0.048506,23.499969,0.048657,0.537313,2.985075,-0.000000,6.281907
0.010000,0.054028,23.499962,0.054179,0.567164,2.985075,0.000000,6.281762
0.010000,0.059849,23.499953,0.060000,0.597015,2.985075,-0.000000,6.281609
0.010000,0.065969,23.499943,0.066119,0.626866,2.985075,0.000000,6.281449
0.010000,0.072387,23.499931,0.072537,0.656716,2.985075,0.000000,6.281281
0.010000,0.079103,23.499918,0.079254,0.686567,2.985075,0.000000,6.281105
0.010000,0.086118,23.499902,0.086269,0.716418,2.985075,0.000000,6.280922
0.010000,0.093431,23.499885,0.093582,0.746269,2.985075,-0.000000,6.280731
0.010000,0.101043,23.499866,0.101194,0.776119,2.985075,0.000000,6.280532
0.010000,0.108954,23.499844,0.109104,0.805970,2.985075,-0.000000,6.280326
0.010000,0.117163,23.499819,0.117313,0.835821,2.985075,0.000000,6.280112
0.010000,0.125670,23.499792,0.125821,0.865672,2.985075,-0.000000,6.279890
0.010000,0.134476,23.499762,0.134627,0.895522,2.985075,0.000000,6.279661
0.010000,0.143580,23.499729,0.143731,0.925373,2.985075,0.000000,6.279425
0.010000,0.152983,23.499693,0.153134,0.955224,2.985075,0.000000,6.279181
0.010000,0.162685,23.499653,0.162836,0.985075,2.985075,0.000000,6.278930
0.010000,0.172685,23.499609,0.172836,1.014925,2.985075,0.000000,6.278671
0.010000,0.182983,23.499561,0.183134,1.044776,2.985075,0.000000,6.278405
0.010000,0.193580,23.499509,0.193731,1.074627,2.985075,-0.000000,6.278132
