dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,5.166500,0.000029,0.005707,0.570729,57.072935,0.000000
0.010000,0.000113,5.166500,0.000141,0.011268,0.556094,-1.463533,0.000000
0.010000,0.000370,5.166500,0.000398,0.025683,1.441459,88.536467,0.000000
0.010000,0.000826,5.166500,0.000855,0.045658,1.997553,55.609402,0.000000
0.010000,0.001540,5.166500,0.001568,0.071341,2.568282,57.072935,0.000000
0.010000,0.002567,5.166500,0.002595,0.102731,3.139011,57.072935,0.000000
0.010000,0.003965,5.166500,0.003994,0.139829,3.709741,57.072935,0.000000
0.010000,0.005791,5.166500,0.005820,0.182633,4.280470,57.072935,0.000000
0.010000,0.008103,5.166500,0.008131,0.231145,4.851199,57.072935,0.000000
0.010000,0.010957,5.166500,0.010985,0.285365,5.421929,57.072935,0.000000
0.010000,0.014409,5.166500,0.014438,0.345291,5.992658,57.072935,0.000000
0.010000,0.018519,5.166500,0.018547,0.410925,6.563388,57.072935,0.000000
0.010000,0.023341,5.166500,0.023370,0.482266,7.134117,57.072935,0.000000
0.010000,0.028935,5.166500,0.028963,0.559315,7.704846,57.072935,0.000000
0.010000,0.035327,5.166500,0.035355,0.639217,7.990211,28.536467,0.000000
0.010000,0.042518,5.166500,0.042546,0.719119,7.990211,0.000000,0.000000
0.010000,0.050508,5.166500,0.050537,0.799021,7.990211,0.000000,0.000000
0.010000,0.059297,5.166500,0.059326,0.878923,7.990211,-0.000000,0.000000
0.010000,0.068886,5.166500,0.068914,0.958825,7.990211,0.000000,0.000000
0.010000,0.079273,5.166500,0.079301,1.038727,7.990211,-0.000000,0.000000
0.010000,0.090459,5.166500,0.090488,1.118630,7.990211,0.000000,0.000000
0.010000,0.102444,5.166500,0.102473,1.198532,7.990211,-0.000000,0.000000
0.010000,0.115229,5.166500,0.115257,1.278434,7.990211,0.000000,0.000000
0.010000,0.128812,5.166500,0.128841,1.358336,7.990211,0.000000,0.000000
0.010000,0.143195,5.166500,0.143223,1.438238,7.990211,0.000000,0.000000
0.010000,0.158376,5.166500,0.158404,1.518140,7.990211,0.000000,0.000000
0.010000,0.174356,5.166500,0.174385,1.598042,7.990211,-0.000000,0.000000
0.010000,0.191136,5.166500,0.191164,1.677944,7.990211,0.000000,0.000000
0.010000,0.208714,5.166500,0.208743,1.757846,7.990211,0.000000,0.000000
0.010000,0.227092,5.166500,0.227120,1.837749,7.990211,-0.000000,0.000000
0.010000,0.246268,5.166500,0.246297,1.917651,7.990211,0.000000,0.000000
0.010000,0.266244,5.166500,0.266272,1.997553,7.990211,-0.000000,0.000000
