dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000023,9.500000,0.000030,0.005970,0.597015,59.701493,6.283170
0.010000,0.000034,9.500000,0.000041,0.001093,-0.487699,-108.471363,0.000030
0.010000,0.000150,9.500000,0.000157,0.011590,1.049678,153.737636,0.000132
0.010000,0.000356,9.500000,0.000363,0.020615,0.902466,-14.721170,0.000313
0.010000,0.000678,9.500000,0.000685,0.032237,1.162201,25.973532,0.000595
0.010000,0.001130,9.500001,0.001137,0.045185,1.294849,13.264796,0.000991
0.010000,0.001712,9.500001,0.001719,0.058187,1.300226,0.537662,0.001498
0.010000,0.002425,9.500003,0.002432,0.071259,1.307128,0.690262,0.002118
0.010000,0.003269,9.500005,0.003276,0.084414,1.315549,0.842033,0.002848
0.010000,0.004246,9.500008,0.004252,0.097669,1.325475,0.992594,0.003690
0.010000,0.005356,9.500012,0.005363,0.111038,1.336898,1.142333,0.004641
0.010000,0.006601,9.500019,0.006608,0.124536,1.349802,1.290436,0.005701
0.010000,0.007983,9.500028,0.007990,0.138178,1.364172,1.436981,0.006870
0.010000,0.009503,9.500039,0.009510,0.151978,1.379993,1.582047,0.008145
0.010000,0.011162,9.500054,0.011169,0.165950,1.397241,1.724786,0.009526
0.010000,0.012963,9.500072,0.012970,0.180109,1.415899,1.865801,0.011012
0.010000,0.014908,9.500095,0.014915,0.194468,1.435941,2.004247,0.012601
0.010000,0.016998,9.500123,0.017005,0.209042,1.457343,2.140235,0.014292
0.010000,0.019236,9.500157,0.019244,0.223843,1.480080,2.273632,0.016084
0.010000,0.021625,9.500198,0.021633,0.238884,1.504121,2.404077,0.017974
0.010000,0.024166,9.500246,0.024174,0.254178,1.529435,2.531468,0.019961
0.010000,0.026863,9.500303,0.026872,0.269738,1.555991,2.655553,0.022043
0.010000,0.029718,9.500369,0.029727,0.285576,1.583753,2.776263,0.024219
0.010000,0.032734,9.500445,0.032745,0.301702,1.612687,2.893344,0.026486
0.010000,0.035914,9.500533,0.035926,0.318130,1.642753,3.006618,0.028843
0.010000,0.039261,9.500634,0.039275,0.334869,1.673912,3.115910,0.031287
0.010000,0.042778,9.500749,0.042794,0.351930,1.706122,3.220967,0.033816
0.010000,0.046469,9.500878,0.046487,0.369324,1.739340,3.321864,0.036429
