dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000023,6.500000,0.000030,0.005970,0.597015,59.701493,6.283170
0.010000,0.000124,6.500000,0.000177,0.014674,0.870409,27.339440,0.000030
0.010000,0.000545,6.500000,0.000598,0.042141,2.746717,187.630722,0.000132
0.010000,0.001294,6.500000,0.001347,0.074908,3.276637,52.992050,0.000313
0.010000,0.002464,6.500001,0.002517,0.117017,4.210934,93.429699,0.000595
0.010000,0.004102,6.500002,0.004155,0.163770,4.675301,46.436670,0.000991
0.010000,0.006207,6.500005,0.006260,0.210469,4.669922,-0.537854,0.001498
0.010000,0.008778,6.500009,0.008831,0.257100,4.663020,-0.690198,0.002118
0.010000,0.011814,6.500017,0.011867,0.303646,4.654602,-0.841776,0.002848
0.010000,0.015315,6.500028,0.015368,0.350092,4.644671,-0.993117,0.003690
0.010000,0.019279,6.500045,0.019332,0.396425,4.633252,-1.141977,0.004641
0.010000,0.023706,6.500068,0.023759,0.442628,4.620347,-1.290431,0.005701
0.010000,0.028592,6.500098,0.028645,0.488688,4.605974,-1.437343,0.006870
0.010000,0.033938,6.500139,0.033991,0.534590,4.590158,-1.581579,0.008145
0.010000,0.039741,6.500190,0.039795,0.580319,4.572905,-1.725290,0.009526
0.010000,0.045999,6.500254,0.046053,0.625861,4.554250,-1.865490,0.011012
0.010000,0.052711,6.500333,0.052765,0.671203,4.534207,-2.004290,0.012601
0.010000,0.059874,6.500430,0.059928,0.716331,4.512803,-2.140441,0.014292
0.010000,0.067485,6.500545,0.067541,0.761232,4.490067,-2.273562,0.016084
0.010000,0.075543,6.500683,0.075600,0.805892,4.466027,-2.404055,0.017974
0.010000,0.084044,6.500844,0.084103,0.850299,4.440712,-2.531429,0.019961
0.010000,0.092987,6.501032,0.093047,0.894441,4.414155,-2.655712,0.022043
0.010000,0.102367,6.501249,0.102430,0.938305,4.386392,-2.776329,0.024219
0.010000,0.112183,6.501498,0.112249,0.981879,4.357459,-2.893340,0.026486
0.010000,0.122430,6.501781,0.122500,1.025153,4.327393,-3.006565,0.028843
0.010000,0.133107,6.502102,0.133182,1.068116,4.296235,-3.115828,0.031287
0.010000,0.144208,6.502464,0.144289,1.110756,4.264022,-3.221219,0.033816
0.010000,0.155732,6.502869,0.155820,1.153064,4.230804,-3.321821,0.036429
0.010000,0.167674,6.503320,0.167770,1.195030,4.196623,-3.418118,0.039122
0.010000,0.180030,6.503821,0.180137,1.236645,4.161521,-3.510180,0.041894
0.010000,0.192797,6.504374,0.192916,1.277901,4.125554,-3.596755,0.044741
0.010000,0.205971,6.504983,0.206103,1.318789,4.088761,-3.679242,0.047663
0.010000,0.219547,6.505651,0.219697,1.359301,4.051201,-3.756032,0.050655
0.010000,0.233523,6.506381,0.233691,1.399430,4.012918,-3.828294,0.053716
0.010000,0.247892,6.507176,0.248082,1.439169,3.973971,-3.894702,0.056843
0.010000,0.262652,6.508040,0.262868,1.478513,3.934403,-3.956819,0.060033
0.010000,0.277798,6.508975,0.278042,1.517456,3.894281,-4.012216,0.063284
0.010000,0.293325,6.509985,0.293602,1.555993,3.853647,-4.063350,0.066592
0.010000,0.309229,6.511072,0.309543,1.594118,3.812561,-4.108579,0.069956
0.010000,0.325506,6.512241,0.325862,1.631829,3.771078,-4.148306,0.073372
0.010000,0.342150,6.513493,0.342553,1.669122,3.729253,-4.182516,0.076838
0.010000,0.359157,6.514833,0.359613,1.705993,3.687136,-4.211739,0.080351
0.010000,0.376523,6.516262,0.377037,1.742441,3.644791,-4.234506,0.083907
0.010000,0.394242,6.517785,0.394822,1.778464,3.602261,-4.252988,0.087505
0.010000,0.412310,6.519403,0.412962,1.814060,3.559607,-4.265426,0.091141
0.010000,0.430723,6.521120,0.431455,1.849228,3.516881,-4.272536,0.094812
0.010000,0.449474,6.522938,0.450294,1.883970,3.474128,-4.275329,0.098516
0.010000,0.468561,6.524861,0.469477,1.918284,3.431411,-4.271669,0.102250
0.010000,0.487977,6.526890,0.488999,1.952171,3.388766,-4.264479,0.106011
0.010000,0.507718,6.529028,0.508855,1.985634,3.346255,-4.251174,0.109796
0.010000,0.527778,6.531279,0.529042,2.018673,3.303911,-4.234339,0.113602
0.010000,0.548155,6.533643,0.549555,2.051291,3.261790,-4.212175,0.117427
0.010000,0.568841,6.536124,0.570390,2.083490,3.219926,-4.186360,0.121267
0.010000,0.589834,6.538723,0.591543,2.115274,3.178368,-4.155807,0.125120
0.010000,0.611127,6.541443,0.613009,2.146645,3.137151,-4.121720,0.128983
0.010000,0.632717,6.544286,0.634785,2.177609,3.096313,-4.083816,0.132854
0.010000,0.654598,6.547254,0.656867,2.208167,3.055888,-4.042494,0.136729
0.010000,0.676767,6.550348,0.679250,2.238327,3.015909,-3.997820,0.140606
0.010000,0.699217,6.553570,0.701931,2.268091,2.976408,-3.950122,0.144483
0.010000,0.721946,6.556922,0.724906,2.297465,2.937409,-3.899903,0.148357
0.010000,0.744949,6.560405,0.748170,2.326454,2.898943,-3.846650,0.152225
0.010000,0.768220,6.564021,0.771721,2.355064,2.861025,-3.791811,0.156084
0.010000,0.791756,6.567772,0.795554,2.383301,2.823681,-3.734323,0.159933
0.010000,0.815553,6.571657,0.819665,2.411170,2.786926,-3.675575,0.163769
0.010000,0.839605,6.575679,0.844052,2.438678,2.750776,-3.614924,0.167589
0.010000,0.863910,6.579839,0.868711,2.465831,2.715243,-3.553339,0.171391
0.010000,0.888463,6.584137,0.893637,2.492634,2.680334,-3.490857,0.175173
0.010000,0.913261,6.588574,0.918828,2.519095,2.646063,-3.427168,0.178932
0.010000,0.938298,6.593150,0.944280,2.545219,2.612428,-3.363449,0.182666
0.010000,0.963571,6.597868,0.969990,2.571013,2.579432,-3.299620,0.186374
0.010000,0.989078,6.602726,0.995955,2.596484,2.547080,-3.235183,0.190052
0.010000,1.014813,6.607726,1.022171,2.621638,2.515361,-3.171957,0.193698
0.010000,1.040774,6.612867,1.048636,2.646480,2.484278,-3.108306,0.197312
0.010000,1.066956,6.618150,1.075346,2.671019,2.453817,-3.046046,0.200890
0.010000,1.093357,6.623575,1.102299,2.695258,2.423971,-2.984599,0.204430
0.010000,1.119973,6.629142,1.129491,2.719206,2.394728,-2.924320,0.207931
0.010000,1.146801,6.634851,1.156920,2.742866,2.366076,-2.865161,0.211391
0.010000,1.173838,6.640701,1.184582,2.766246,2.337991,-2.808480,0.214808
0.010000,1.201080,6.646693,1.212476,2.789351,2.310467,-2.752464,0.218180
0.010000,1.228525,6.652826,1.240598,2.812186,2.283473,-2.699377,0.221505
0.010000,1.256170,6.659099,1.268945,2.834756,2.256991,-2.648231,0.224781
0.010000,1.284011,6.665513,1.297516,2.857066,2.230997,-2.599389,0.228008
0.010000,1.312047,6.672065,1.326307,2.879120,2.205466,-2.553103,0.231182
0.010000,1.340274,6.678756,1.355316,2.900924,2.180369,-2.509730,0.234302
