dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,8.000000,0.000030,0.005970,0.597015,59.701493,6.283170
0.010000,0.000079,8.000000,0.000149,0.017910,1.194030,59.701493,0.000030
0.010000,0.000347,8.000000,0.000418,0.035821,1.791045,59.701493,0.000132
0.010000,0.000825,8.000000,0.000896,0.059701,2.388060,59.701493,0.000313
0.010000,0.001571,8.000000,0.001642,0.089552,2.985075,59.701493,0.000595
0.010000,0.002616,8.000001,0.002687,0.119403,2.985075,-0.000000,0.000991
0.010000,0.003959,8.000003,0.004030,0.149254,2.985075,0.000000,0.001498
0.010000,0.005601,8.000006,0.005672,0.179104,2.985075,-0.000000,0.002118
0.010000,0.007542,8.000011,0.007612,0.208955,2.985075,-0.000000,0.002848
0.010000,0.009780,8.000018,0.009851,0.238806,2.985075,0.000000,0.003690
0.010000,0.012318,8.000029,0.012388,0.268657,2.985075,0.000000,0.004641
0.010000,0.015153,8.000043,0.015224,0.298507,2.985075,0.000000,0.005701
0.010000,0.018288,8.000063,0.018358,0.328358,2.985075,-0.000000,0.006870
0.010000,0.021720,8.000089,0.021791,0.358209,2.985075,0.000000,0.008145
0.010000,0.025452,8.000122,0.025522,0.388060,2.985075,-0.000000,0.009526
0.010000,0.029481,8.000163,0.029552,0.417910,2.985075,0.000000,0.011012
0.010000,0.033809,8.000214,0.033881,0.447761,2.985075,0.000000,0.012601
0.010000,0.038436,8.000276,0.038507,0.477612,2.985075,0.000000,0.014292
0.010000,0.043361,8.000351,0.043433,0.507463,2.985075,0.000000,0.016084
0.010000,0.048584,8.000440,0.048657,0.537313,2.985075,-0.000000,0.017974
0.010000,0.054105,8.000545,0.054179,0.567164,2.985075,0.000000,0.019961
0.010000,0.059925,8.000667,0.060000,0.597015,2.985075,-0.000000,0.022043
0.010000,0.066042,8.000809,0.066119,0.626866,2.985075,0.000000,0.024219
0.010000,0.072458,8.000971,0.072537,0.656716,2.985075,0.000000,0.026486
0.010000,0.079172,8.001157,0.079254,0.686567,2.985075,0.000000,0.028843
