dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000023,9.500000,0.000030,0.005970,0.597015,59.701493,0.000015
0.010000,0.000124,9.500000,0.000177,0.014674,0.870409,27.339440,6.283155
0.010000,0.000545,9.500000,0.000598,0.042141,2.746717,187.630722,6.283054
0.010000,0.001294,9.500000,0.001347,0.074908,3.276637,52.992050,6.282873
0.010000,0.002464,9.499999,0.002517,0.117017,4.210934,93.429699,6.282590
0.010000,0.004102,9.499998,0.004155,0.163770,4.675301,46.436670,6.282195
0.010000,0.006207,9.499995,0.006260,0.210469,4.669922,-0.537854,6.281687
0.010000,0.008778,9.499991,0.008831,0.257100,4.663020,-0.690198,6.281068
0.010000,0.011814,9.499983,0.011867,0.303646,4.654602,-0.841776,6.280337
0.010000,0.015315,9.499972,0.015368,0.350092,4.644671,-0.993117,6.279495
0.010000,0.019279,9.499955,0.019332,0.396425,4.633252,-1.141977,6.278544
0.010000,0.023706,9.499932,0.023759,0.442628,4.620347,-1.290431,6.277484
0.010000,0.028592,9.499902,0.028645,0.488688,4.605974,-1.437343,6.276315
0.010000,0.033938,9.499861,0.033991,0.534590,4.590158,-1.581579,6.275040
0.010000,0.039741,9.499810,0.039795,0.580319,4.572905,-1.725290,6.273659
0.010000,0.045999,9.499746,0.046053,0.625861,4.554250,-1.865490,6.272173
0.010000,0.052711,9.499667,0.052765,0.671203,4.534207,-2.004290,6.270584
0.010000,0.059874,9.499570,0.059928,0.716331,4.512803,-2.140441,6.268893
0.010000,0.067485,9.499455,0.067541,0.761232,4.490067,-2.273562,6.267102
0.010000,0.075543,9.499317,0.075600,0.805892,4.466027,-2.404055,6.265212
0.010000,0.084044,9.499156,0.084103,0.850299,4.440712,-2.531429,6.263225
0.010000,0.092987,9.498968,0.093047,0.894441,4.414155,-2.655712,6.261142
0.010000,0.102367,9.498751,0.102430,0.938305,4.386392,-2.776329,6.258966
0.010000,0.112183,9.498502,0.112249,0.981879,4.357459,-2.893340,6.256699
0.010000,0.122430,9.498219,0.122500,1.025153,4.327393,-3.006565,6.254342
0.010000,0.133107,9.497898,0.133182,1.068116,4.296235,-3.115828,6.251898
0.010000,0.144208,9.497536,0.144289,1.110756,4.264022,-3.221219,6.249369
0.010000,0.155732,9.497131,0.155820,1.153064,4.230804,-3.321821,6.246756
0.010000,0.167674,9.496680,0.167770,1.195030,4.196623,-3.418118,6.244063
0.010000,0.180030,9.496179,0.180137,1.236645,4.161521,-3.510180,6.241292
0.010000,0.192797,9.495626,0.192916,1.277901,4.125554,-3.596755,6.238444
0.010000,0.205971,9.495017,0.206103,1.318789,4.088761,-3.679242,6.235523
0.010000,0.219547,9.494349,0.219697,1.359301,4.051201,-3.756032,6.232530
0.010000,0.233523,9.493619,0.233691,1.399430,4.012918,-3.828294,6.229469
0.010000,0.247892,9.492824,0.248082,1.439169,3.973971,-3.894702,6.226342
0.010000,0.262652,9.491960,0.262868,1.478513,3.934403,-3.956819,6.223152
0.010000,0.277798,9.491025,0.278042,1.517456,3.894281,-4.012216,6.219902
0.010000,0.293325,9.490015,0.293602,1.555993,3.853647,-4.063350,6.216593
0.010000,0.309229,9.488928,0.309543,1.594118,3.812561,-4.108579,6.213229
0.010000,0.325506,9.487759,0.325862,1.631829,3.771078,-4.148306,6.209813
0.010000,0.342150,9.486507,0.342553,1.669122,3.729253,-4.182516,6.206347
0.010000,0.359157,9.485167,0.359613,1.705993,3.687136,-4.211739,6.202835
0.010000,0.376523,9.483738,0.377037,1.742441,3.644791,-4.234506,6.199278
0.010000,0.394242,9.482215,0.394822,1.778464,3.602261,-4.252988,6.195680
0.010000,0.412310,9.480597,0.412962,1.814060,3.559607,-4.265426,6.192044
0.010000,0.430723,9.478880,0.431455,1.849228,3.516881,-4.272536,6.188373
0.010000,0.449474,9.477062,0.450294,1.883970,3.474128,-4.275329,6.184669
0.010000,0.468561,9.475139,0.469477,1.918284,3.431411,-4.271669,6.180935
0.010000,0.487977,9.473110,0.488999,1.952171,3.388766,-4.264479,6.177174
0.010000,0.507718,9.470972,0.508855,1.985634,3.346255,-4.251174,6.173389
0.010000,0.527778,9.468721,0.529042,2.018673,3.303911,-4.234339,6.169583
0.010000,0.548155,9.466357,0.549555,2.051291,3.261790,-4.212175,6.165759
0.010000,0.568841,9.463876,0.570390,2.083490,3.219926,-4.186360,6.161919
0.010000,0.589834,9.461277,0.591543,2.115274,3.178368,-4.155807,6.158066
0.010000,0.611127,9.458557,0.613009,2.146645,3.137151,-4.121720,6.154202
0.010000,0.632717,9.455714,0.634785,2.177609,3.096313,-4.083816,6.150332
0.010000,0.654598,9.452746,0.656867,2.208167,3.055888,-4.042494,6.146456
0.010000,0.676767,9.449652,0.679250,2.238327,3.015909,-3.997820,6.142579
0.010000,0.699217,9.446430,0.701931,2.268091,2.976408,-3.950122,6.138702
