dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000023,6.500000,0.000030,0.005970,0.597015,59.701493,0.000015
0.010000,0.000034,6.500000,0.000041,0.001093,-0.487699,-108.471363,6.283155
0.010000,0.000150,6.500000,0.000157,0.011590,1.049678,153.737636,6.283054
0.010000,0.000356,6.500000,0.000363,0.020615,0.902466,-14.721170,6.282873
0.010000,0.000678,6.500000,0.000685,0.032237,1.162201,25.973532,6.282590
0.010000,0.001130,6.499999,0.001137,0.045185,1.294849,13.264796,6.282195
0.010000,0.001712,6.499999,0.001719,0.058187,1.300226,0.537662,6.281687
0.010000,0.002425,6.499997,0.002432,0.071259,1.307128,0.690262,6.281068
0.010000,0.003269,6.499995,0.003276,0.084414,1.315549,0.842033,6.280337
0.010000,0.004246,6.499992,0.004252,0.097669,1.325475,0.992594,6.279495
0.010000,0.005356,6.499988,0.005363,0.111038,1.336898,1.142333,6.278544
0.010000,0.006601,6.499981,0.006608,0.124536,1.349802,1.290436,6.277484
0.010000,0.007983,6.499972,0.007990,0.138178,1.364172,1.436981,6.276315
0.010000,0.009503,6.499961,0.009510,0.151978,1.379993,1.582047,6.275040
0.010000,0.011162,6.499946,0.011169,0.165950,1.397241,1.724786,6.273659
0.010000,0.012963,6.499928,0.012970,0.180109,1.415899,1.865801,6.272173
0.010000,0.014908,6.499905,0.014915,0.194468,1.435941,2.004247,6.270584
0.010000,0.016998,6.499877,0.017005,0.209042,1.457343,2.140235,6.268893
0.010000,0.019236,6.499843,0.019244,0.223843,1.480080,2.273632,6.267102
0.010000,0.021625,6.499802,0.021633,0.238884,1.504121,2.404077,6.265212
0.010000,0.024166,6.499754,0.024174,0.254178,1.529435,2.531468,6.263225
0.010000,0.026863,6.499697,0.026872,0.269738,1.555991,2.655553,6.261142
0.010000,0.029718,6.499631,0.029727,0.285576,1.583753,2.776263,6.258966
0.010000,0.032734,6.499555,0.032745,0.301702,1.612687,2.893344,6.256699
0.010000,0.035914,6.499467,0.035926,0.318130,1.642753,3.006618,6.254342
0.010000,0.039261,6.499366,0.039275,0.334869,1.673912,3.115910,6.251898
0.010000,0.042778,6.499251,0.042794,0.351930,1.706122,3.220967,6.249369
0.010000,0.046469,6.499122,0.046487,0.369324,1.739340,3.321864,6.246756
0.010000,0.050337,6.498976,0.050358,0.387059,1.773523,3.418246,6.244063
0.010000,0.054385,6.498811,0.054409,0.405145,1.808622,3.509888,6.241292
0.010000,0.058617,6.498628,0.058645,0.423591,1.844592,3.597014,6.238444
0.010000,0.063037,6.498424,0.063069,0.442405,1.881382,3.678994,6.235523
0.010000,0.067647,6.498197,0.067685,0.461594,1.918944,3.756198,6.232530
0.010000,0.072452,6.497946,0.072497,0.481167,1.957225,3.828094,6.229469
0.010000,0.077456,6.497669,0.077508,0.501128,1.996175,3.895002,6.226342
0.010000,0.082662,6.497364,0.082723,0.521486,2.035737,3.956274,6.223152
0.010000,0.088074,6.497030,0.088145,0.542244,2.075864,4.012661,6.219902
0.010000,0.093696,6.496664,0.093779,0.563409,2.116496,4.063233,6.216593
0.010000,0.099532,6.496265,0.099629,0.584985,2.157582,4.108509,6.213229
0.010000,0.105586,6.495831,0.105699,0.606976,2.199065,4.148320,6.209813
0.010000,0.111863,6.495358,0.111993,0.629385,2.240891,4.182660,6.206347
0.010000,0.118365,6.494846,0.118515,0.652215,2.283005,4.211341,6.202835
0.010000,0.125096,6.494292,0.125270,0.675468,2.325354,4.234953,6.199278
0.010000,0.132062,6.493694,0.132261,0.699147,2.367882,4.252731,6.195680
0.010000,0.139266,6.493048,0.139494,0.723252,2.410536,4.265423,6.192044
0.010000,0.146712,6.492354,0.146971,0.747785,2.453264,4.272869,6.188373
0.010000,0.154403,6.491608,0.154699,0.772745,2.496012,4.274782,6.184669
0.010000,0.162344,6.490808,0.162680,0.798133,2.538734,4.272178,6.180935
0.010000,0.170539,6.489952,0.170920,0.823946,2.581374,4.264041,6.177174
0.010000,0.178991,6.489036,0.179422,0.850185,2.623891,4.251632,6.173389
0.010000,0.187705,6.488059,0.188190,0.876848,2.666232,4.234086,6.169583
0.010000,0.196684,6.487017,0.197229,0.903931,2.708356,4.212401,6.165759
0.010000,0.205932,6.485908,0.206544,0.931433,2.750217,4.186113,6.161919
0.010000,0.215453,6.484729,0.216137,0.959351,2.791777,4.155973,6.158066
0.010000,0.225250,6.483477,0.226014,0.987681,2.832994,4.121744,6.154202
0.010000,0.235327,6.482150,0.236178,1.016419,2.873833,4.083858,6.150332
0.010000,0.245688,6.480745,0.246634,1.045562,2.914257,4.042458,6.146456
0.010000,0.256336,6.479259,0.257385,1.075104,2.954236,3.997852,6.142579
0.010000,0.267274,6.477689,0.268435,1.105042,2.993738,3.950239,6.138702
0.010000,0.278506,6.476032,0.279789,1.135369,3.032735,3.899735,6.134828
0.010000,0.290036,6.474286,0.291450,1.166081,3.071205,3.846963,6.130961
0.010000,0.301866,6.472448,0.303421,1.197172,3.109121,3.791589,6.127101
0.010000,0.313999,6.470515,0.315708,1.228637,3.146466,3.734523,6.123252
0.010000,0.326439,6.468483,0.328313,1.260469,3.183221,3.675458,6.119416
0.010000,0.339188,6.466351,0.341239,1.292663,3.219372,3.615113,6.115596
0.010000,0.352251,6.464116,0.354491,1.325212,3.254906,3.553382,6.111794
0.010000,0.365628,6.461774,0.368072,1.358110,3.289812,3.490632,6.108012
0.010000,0.379324,6.459323,0.381986,1.391351,3.324086,3.427431,6.104253
0.010000,0.393341,6.456761,0.396235,1.424928,3.357722,3.363536,6.100519
0.010000,0.407682,6.454084,0.410824,1.458835,3.390715,3.299369,6.096812
0.010000,0.422349,6.451291,0.425754,1.493066,3.423071,3.235603,6.093134
0.010000,0.437345,6.448377,0.441030,1.527614,3.454787,3.171586,6.089487
0.010000,0.452672,6.445342,0.456655,1.562473,3.485874,3.108628,6.085874
0.010000,0.468332,6.442182,0.472631,1.597636,3.516334,3.046052,6.082296
0.010000,0.484329,6.438895,0.488962,1.633098,3.546180,2.984546,6.078755
0.010000,0.500664,6.435478,0.505651,1.668852,3.575422,2.924258,6.075254
0.010000,0.517340,6.431929,0.522700,1.704893,3.604078,2.865569,6.071794
0.010000,0.534358,6.428247,0.540112,1.741214,3.632157,2.807972,6.068377
