dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,8.000000,0.000030,0.005970,0.597015,59.701493,0.000015
0.010000,0.000079,8.000000,0.000149,0.017910,1.194030,59.701493,6.283155
0.010000,0.000347,8.000000,0.000418,0.035821,1.791045,59.701493,6.283054
0.010000,0.000825,8.000000,0.000896,0.059701,2.388060,59.701493,6.282873
0.010000,0.001571,8.000000,0.001642,0.089552,2.985075,59.701493,6.282590
0.010000,0.002616,7.999999,0.002687,0.119403,2.985075,-0.000000,6.282195
0.010000,0.003959,7.999997,0.004030,0.149254,2.985075,0.000000,6.281687
0.010000,0.005601,7.999994,0.005672,0.179104,2.985075,-0.000000,6.281068
0.010000,0.007542,7.999989,0.007612,0.208955,2.985075,-0.000000,6.280337
0.010000,0.009780,7.999982,0.009851,0.238806,2.985075,0.000000,6.279495
0.010000,0.012318,7.999971,0.012388,0.268657,2.985075,0.000000,6.278544
0.010000,0.015153,7.999957,0.015224,0.298507,2.985075,0.000000,6.277484
0.010000,0.018288,7.999937,0.018358,0.328358,2.985075,-0.000000,6.276315
0.010000,0.021720,7.999911,0.021791,0.358209,2.985075,0.000000,6.275040
0.010000,0.025452,7.999878,0.025522,0.388060,2.985075,-0.000000,6.273659
0.010000,0.029481,7.999837,0.029552,0.417910,2.985075,0.000000,6.272173
0.010000,0.033809,7.999786,0.033881,0.447761,2.985075,0.000000,6.270584
0.010000,0.038436,7.999724,0.038507,0.477612,2.985075,0.000000,6.268893
0.010000,0.043361,7.999649,0.043433,0.507463,2.985075,0.000000,6.267102
0.010000,0.048584,7.999560,0.048657,0.537313,2.985075,-0.000000,6.265212
0.010000,0.054105,7.999455,0.054179,0.567164,2.985075,0.000000,6.263225
0.010000,0.059925,7.999333,0.060000,0.597015,2.985075,-0.000000,6.261142
0.010000,0.066042,7.999191,0.066119,0.626866,2.985075,0.000000,6.258966
0.010000,0.072458,7.999029,0.072537,0.656716,2.985075,0.000000,6.256699
0.010000,0.079172,7.998843,0.079254,0.686567,2.985075,0.000000,6.254342
0.010000,0.086184,7.998632,0.086269,0.716418,2.985075,0.000000,6.251898
0.010000,0.093493,7.998394,0.093582,0.746269,2.985075,-0.000000,6.249369
0.010000,0.101101,7.998127,0.101194,0.776119,2.985075,0.000000,6.246756
0.010000,0.109005,7.997828,0.109104,0.805970,2.985075,-0.000000,6.244063
0.010000,0.117208,7.997495,0.117313,0.835821,2.985075,0.000000,6.241292
0.010000,0.125707,7.997127,0.125821,0.865672,2.985075,-0.000000,6.238444
0.010000,0.134504,7.996720,0.134627,0.895522,2.985075,0.000000,6.235523
0.010000,0.143597,7.996273,0.143731,0.925373,2.985075,0.000000,6.232530
0.010000,0.152987,7.995782,0.153134,0.955224,2.985075,0.000000,6.229469
0.010000,0.162674,7.995246,0.162836,0.985075,2.985075,0.000000,6.226342
0.010000,0.172657,7.994662,0.172836,1.014925,2.985075,0.000000,6.223152
0.010000,0.182936,7.994028,0.183134,1.044776,2.985075,0.000000,6.219902
0.010000,0.193511,7.993340,0.193731,1.074627,2.985075,-0.000000,6.216593
0.010000,0.204381,7.992596,0.204627,1.104478,2.985075,0.000000,6.213229
0.010000,0.215546,7.991795,0.215821,1.134328,2.985075,0.000000,6.209813
0.010000,0.227006,7.990933,0.227313,1.164179,2.985075,-0.000000,6.206347
0.010000,0.238761,7.990007,0.239104,1.194030,2.985075,0.000000,6.202835
0.010000,0.250810,7.989015,0.251194,1.223881,2.985075,-0.000000,6.199278
0.010000,0.263152,7.987954,0.263582,1.253731,2.985075,0.000000,6.195680
0.010000,0.275788,7.986823,0.276269,1.283582,2.985075,0.000000,6.192044
0.010000,0.288717,7.985617,0.289254,1.313433,2.985075,-0.000000,6.188373
0.010000,0.301939,7.984335,0.302537,1.343284,2.985075,0.000000,6.184669
0.010000,0.315452,7.982974,0.316119,1.373134,2.985075,-0.000000,6.180935
0.010000,0.329258,7.981531,0.330000,1.402985,2.985075,0.000000,6.177174
0.010000,0.343354,7.980004,0.344179,1.432836,2.985075,0.000000,6.173389
0.010000,0.357742,7.978390,0.358657,1.462687,2.985075,-0.000000,6.169583
0.010000,0.372419,7.976687,0.373433,1.492537,2.985075,0.000000,6.165759
0.010000,0.387387,7.974892,0.388507,1.522388,2.985075,-0.000000,6.161919
0.010000,0.402643,7.973003,0.403881,1.552239,2.985075,0.000000,6.158066
0.010000,0.418189,7.971017,0.419552,1.582090,2.985075,0.000000,6.154202
0.010000,0.434022,7.968932,0.435522,1.611940,2.985075,-0.000000,6.150332
0.010000,0.450143,7.966746,0.451791,1.641791,2.985075,0.000000,6.146456
0.010000,0.466551,7.964456,0.468358,1.671642,2.985075,-0.000000,6.142579
0.010000,0.483246,7.962060,0.485224,1.701493,2.985075,0.000000,6.138702
0.010000,0.500226,7.959555,0.502388,1.731343,2.985075,-0.000000,6.134828
0.010000,0.517492,7.956941,0.519851,1.761194,2.985075,0.000000,6.130961
0.010000,0.535043,7.954213,0.537612,1.791045,2.985075,-0.000000,6.127101
0.010000,0.552877,7.951371,0.555672,1.820896,2.985075,0.000000,6.123252
0.010000,0.570996,7.948413,0.574030,1.850746,2.985075,-0.000000,6.119416
0.010000,0.589397,7.945336,0.592687,1.880597,2.985075,0.000000,6.115596
0.010000,0.608080,7.942139,0.611642,1.910448,2.985075,-0.000000,6.111794
0.010000,0.627046,7.938819,0.630896,1.940299,2.985075,0.000000,6.108012
0.010000,0.646292,7.935375,0.650448,1.970149,2.985075,-0.000000,6.104253
0.010000,0.665820,7.931805,0.670299,2.000000,2.985075,0.000000,6.100519
0.010000,0.685627,7.928108,0.690448,2.029851,2.985075,0.000000,6.096812
0.010000,0.705713,7.924282,0.710896,2.059701,2.985075,0.000000,6.093134
0.010000,0.726079,7.920326,0.731642,2.089552,2.985075,0.000000,6.089487
0.010000,0.746723,7.916237,0.752687,2.119403,2.985075,-0.000000,6.085874
0.010000,0.767644,7.912016,0.774030,2.149254,2.985075,0.000000,6.082296
0.010000,0.788843,7.907660,0.795672,2.179104,2.985075,0.000000,6.078755
0.010000,0.810319,7.903168,0.817612,2.208955,2.985075,0.000000,6.075254
0.010000,0.832070,7.898539,0.839851,2.238806,2.985075,-0.000000,6.071794
